Gene = Pus7
index = 1394
Annotated 5SS: [ 201  449  882 1040]
Annotated 3SS: [ 260  509  936 1098]
SMsplice 5SS: [ 201  445  882 1040]
SMsplice 3SS: [ 273  509  936 1098]
top_k =  1000
Partition function (log Z): 3.604404026957803

Sorted 5' Splice Sites (High to Low Probability):
Position 1040: 0.9997372290504207
Position 882: 0.9330898729749401
Position 201: 0.7585917492029222
Position 445: 0.7402696551065571
Position 1430: 0.22256853406338686
Position 449: 0.16474817411110487
Position 857: 0.022310428192695377
Position 798: 0.020221778945952673
Position 1626: 0.016628053145626934
Position 188: 0.008725723545448552
Position 632: 0.00460677431316701
Position 827: 0.003660690274113971
Position 453: 0.0032357616880550875
Position 403: 0.0029394698206836427
Position 436: 0.0023820962073900893
Position 1928: 0.002340249557511897
Position 2527: 0.0016179425810186401
Position 2063: 0.0011783121277161208
Position 1723: 0.0007650992002373111
Position 2041: 0.0007354410950328671
Position 152: 0.0006381582979486675
Position 354: 0.0006181437346728816
Position 182: 0.0005766086536023633
Position 1199: 0.0005368574431279533
Position 425: 0.0004376591530813848
Position 1966: 0.0004315976607839439
Position 1396: 0.0003670187812776664
Position 1877: 0.0003612842311288016
Position 107: 0.00034789355975493625
Position 886: 0.00031333058682867513
Position 1176: 0.00026523300322635687
Position 557: 0.00023746916612902444
Position 298: 0.00022376443911805024
Position 1585: 0.00020688974404912567
Position 376: 0.00018929929784938223
Position 3: 0.00017811860266206842
Position 427: 0.00013318561986540244
Position 677: 0.00012195058601181923
Position 1044: 0.00011852416720741751
Position 1179: 0.00011093084093897672
Position 2173: 0.00010636737883270965
Position 572: 7.8899152022771e-05
Position 755: 7.731958641313671e-05
Position 1223: 7.187543967850684e-05
Position 22: 2.857624980507325e-05
Position 34: 2.51984242108425e-05
Position 644: 2.49054662639513e-05
Position 2158: 1.686234087206904e-05
Position 1434: 1.6519499145322682e-05
Position 229: 1.3578569714795428e-05
Position 2417: 1.33050499554606e-05
Position 1293: 1.111782815970802e-05
Position 1115: 9.167480064315642e-06
Position 149: 7.276982566133302e-06
Position 2518: 6.815420435901868e-06
Position 312: 3.219538065411292e-06
Position 25: 2.8010946754278516e-06
Position 1162: 9.354036556051854e-07
Position 260: 2.942130318417084e-07
Position 249: 2.270335793452668e-07
Position 1287: 1.6904968155682242e-07
Position 232: 1.5154289505343599e-07
Position 999: 1.4247078171785365e-07
Position 937: 1.3287265326814693e-07
Position 1169: 1.2775706762380454e-07
Position 1534: 1.249755754247548e-07
Position 1531: 1.1915254090587996e-07
Position 981: 1.1208448532585139e-07
Position 718: 8.41360154773474e-08
Position 1741: 7.309240855081837e-08
Position 1515: 5.3261992287964284e-08
Position 242: 4.033144857856664e-08
Position 1502: 2.5861461819720655e-08
Position 1415: 1.6848532058179987e-08
Position 1011: 1.7733327839476391e-09
Position 1436: 1.1665215957425054e-09
Position 1507: 3.266455989315394e-11
Position 1413: 1.9924179921264536e-11
Position 969: 1.8677704165945372e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 936: 0.9820636759094852
Position 1098: 0.9577169032424143
Position 509: 0.927289748719145
Position 273: 0.3822242790547907
Position 260: 0.36823376067836133
Position 1786: 0.09397274874833779
Position 1716: 0.08667270521201015
Position 1114: 0.041721829209678866
Position 1507: 0.01183330073170722
Position 1943: 0.009826674741973265
Position 2022: 0.008384282565380687
Position 1528: 0.006982269576457982
Position 1657: 0.004937696630970183
Position 1646: 0.004675216874554979
Position 2951: 0.004039598434810871
Position 1701: 0.0038636891255760595
Position 2243: 0.002573597145891365
Position 2383: 0.0025121557738063682
Position 697: 0.0022740120448493176
Position 739: 0.001457235526682824
Position 2148: 0.001364994963294374
Position 685: 0.0013010627126597662
Position 736: 0.0010450675688574997
Position 1946: 0.0009628960362850037
Position 871: 0.0008030551032365784
Position 1949: 0.0007362172851399365
Position 706: 0.00043081607031567504
Position 2554: 0.0003518334189378645
Position 903: 0.00033001355969574655
Position 2089: 0.00032573119246906814
Position 2344: 0.0003255003225316596
Position 1927: 0.00030518143273487047
Position 2169: 0.0002627900526203946
