Gene = Cpr62Bc
index = 1093
Annotated 5SS: [ 95 324]
Annotated 3SS: [191 896]
SMsplice 5SS: [ 95 324]
SMsplice 3SS: [191 896]
top_k =  1000
Partition function (log Z): -2.329742971217665

Sorted 5' Splice Sites (High to Low Probability):
Position 324: 0.9919202598164942
Position 95: 0.958084338055051
Position 612: 0.009603042045868367
Position 1685: 0.007646040232006726
Position 129: 0.004871405061597679
Position 1359: 0.002471809237803773
Position 328: 0.001139512025025977
Position 1305: 0.0009677271515820706
Position 969: 0.0005110774715299933
Position 1026: 0.0004380029383331009
Position 1297: 0.0004240648544892459
Position 136: 0.0003340743263530567
Position 364: 0.0003176484629068455
Position 578: 0.0002817733686778036
Position 1236: 0.0002811362603845096
Position 116: 0.00027644390493447997
Position 99: 0.00022455976094041597
Position 626: 0.00016105691516753466
Position 29: 0.00012549700102534612
Position 1021: 8.834023678886709e-05
Position 1714: 6.805544381887137e-05
Position 1119: 6.428809284913217e-05
Position 745: 5.260658915212441e-05
Position 979: 3.9407687513210185e-05
Position 818: 2.413396617695128e-05
Position 1040: 1.988922080935869e-05
Position 1375: 8.711929233702517e-06
Position 697: 6.664164339383348e-06
Position 813: 6.1907450978348444e-06
Position 1008: 5.459332254700146e-06
Position 475: 3.955156378338935e-06
Position 751: 3.1523155857808055e-06
Position 1122: 2.978002365575954e-06
Position 951: 2.803227120182129e-06
Position 1531: 2.706059500115164e-06
Position 735: 2.571747039619807e-06
Position 46: 2.412060542765782e-06
Position 1732: 1.7832298780710856e-06
Position 1560: 1.6676200053893888e-06
Position 645: 1.404376753823204e-06
Position 250: 1.401313172635735e-06
Position 973: 1.3832219922806295e-06
Position 1098: 1.355855526095717e-06
Position 1587: 1.004923593942075e-06
Position 295: 6.647684994762427e-07
Position 1730: 3.403008987202124e-07
Position 5: 2.9585226961221966e-07
Position 1607: 2.458042030945714e-07
Position 12: 1.828680930719228e-07
Position 1035: 1.3679660481401302e-08
Position 725: 7.095696222887551e-09
Position 820: 4.713952559760028e-09
Position 432: 4.383035643433968e-09
Position 405: 3.890203013334633e-09
Position 486: 1.5812573911881791e-09
Position 256: 9.988049344039389e-10
Position 1077: 7.098278852210879e-10
Position 1074: 2.0968186424988409e-10
Position 234: 1.190090454790215e-10
Position 183: 7.972722933176749e-11
Position 861: 6.387678460482615e-11
Position 908: 1.8089025828898187e-11
Position 210: 1.1902942617902863e-13
Position 191: 2.2396824000461366e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.8836256028860908
Position 191: 0.8288007497714945
Position 153: 0.13394146691438463
Position 455: 0.030781296010444516
Position 528: 0.015951058794277845
Position 856: 0.014051263639100278
Position 853: 0.009800053923153527
Position 395: 0.00899453798959386
Position 697: 0.008586887282087183
Position 1371: 0.0071511766031661025
Position 1743: 0.006968803845077756
Position 1433: 0.005143723027523552
Position 785: 0.00474779217266623
Position 768: 0.004551983533288383
Position 1787: 0.003163177184591301
Position 840: 0.002744208639498108
Position 908: 0.0021065292238001444
Position 1607: 0.002105778358802113
Position 1173: 0.0014075388735387924
Position 1416: 0.001262752174230953
Position 634: 0.0006890208962710145
Position 616: 0.0006330864597600992
Position 1441: 0.0005327062523282462
Position 1235: 0.0004298375279448077
Position 535: 0.0004250181025946463
Position 530: 0.0002951866799624811
Position 1488: 0.0002556499825183879
Position 794: 0.0002260568707760957
Position 1537: 0.0001929890002736392
Position 626: 0.00019208827985516932
Position 367: 0.0001245886143402032
Position 992: 0.00011015759751558089
Position 1085: 0.00010991269514715222
Position 743: 9.397210760614684e-05
Position 1750: 7.862306381081053e-05
Position 486: 5.480196861958579e-05
Position 962: 2.4136014200829637e-05
Position 948: 2.3575557187398705e-05
Position 803: 1.97248720711992e-05
Position 1040: 1.8554301491189784e-05
Position 956: 1.2723111274797795e-05
Position 95: 1.1566648733832916e-05
Position 1293: 1.0797332636847678e-05
Position 1789: 9.944090167481071e-06
Position 1611: 9.35235722250607e-06
Position 1305: 7.154743966927602e-06
Position 234: 6.909769342449711e-06
Position 1328: 4.300256740651795e-06
Position 1645: 3.638600020760233e-06
Position 1648: 1.9465690521767077e-06
Position 106: 6.105704391047397e-07
Position 217: 4.542497721320349e-07
Position 122: 4.205124442363921e-08
Position 99: 3.346704192862827e-08
Position 111: 5.4787482112869975e-09
Position 349: 5.31426100325812e-09
Position 364: 4.02895454688999e-09
Position 129: 3.990129000337006e-09
Position 54: 1.6518655770531885e-09
Position 377: 2.059942864966042e-10
Position 336: 1.926328055336312e-10
Position 328: 1.7325600276092927e-10
Position 308: 3.8002871095790005e-15
