Gene = lama
index = 1756
Annotated 5SS: [  230  8296 10087 10268]
Annotated 3SS: [ 8239  9422 10150 10327]
SMsplice 5SS: [  230 10087 10268]
SMsplice 3SS: [ 9422 10150 10327]
top_k =  1000
Partition function (log Z): 1.7120042343853499

Sorted 5' Splice Sites (High to Low Probability):
Position 10268: 0.9998286134668862
Position 10087: 0.973096743455993
Position 8296: 0.7382645483100454
Position 230: 0.48264733976924995
Position 2245: 0.44600939101681586
Position 1309: 0.3411604701345983
Position 9232: 0.33788559225375997
Position 105: 0.17270347096747862
Position 10743: 0.11029288612621373
Position 4605: 0.08571895513517899
Position 4454: 0.04306489790397776
Position 2249: 0.0415769552567607
Position 374: 0.03409366530370462
Position 9497: 0.032873488812799084
Position 2577: 0.028199874231141217
Position 11904: 0.02271345515329912
Position 4508: 0.021137570398357328
Position 12039: 0.01887199196726884
Position 189: 0.017870685190670917
Position 9986: 0.015655206708323016
Position 11924: 0.013893145321715785
Position 303: 0.012632220947356245
Position 3981: 0.01103490647791007
Position 9504: 0.010873606821143467
Position 1394: 0.008046858749108406
Position 1130: 0.0057121128593200995
Position 11151: 0.004673628929296976
Position 10811: 0.0036490830862336834
Position 2094: 0.003444801832267919
Position 1609: 0.003103896358884504
Position 1357: 0.002670543371178487
Position 11942: 0.002588898812223946
Position 12189: 0.0023892022746914536
Position 2069: 0.0022313566053948877
Position 3213: 0.002018614359934169
Position 331: 0.0019291454314699413
Position 2949: 0.0016825401581053473
Position 11037: 0.0016742088116188105
Position 11915: 0.0016243256538928615
Position 5302: 0.001447483130135119
Position 235: 0.001353313266034724
Position 164: 0.001164265285369672
Position 389: 0.0011555653646340136
Position 97: 0.0010178529595306378
Position 4514: 0.0009740187372009473
Position 4153: 0.0008522852942525574
Position 10639: 0.0007596815118845959
Position 10780: 0.0007021637755888097
Position 12132: 0.0006902269602711758
Position 1675: 0.0006808405903833586
Position 581: 0.000638651836643267
Position 11715: 0.0005491307255597939
Position 11001: 0.0004925639419058113
Position 667: 0.00045286764447394147
Position 2977: 0.00043804605792597016
Position 2707: 0.0004274255622314866
Position 751: 0.0004218237308798403
Position 3935: 0.0003678787063274911
Position 2193: 0.0003667628217776593
Position 2517: 0.0003498284162229214
Position 1002: 0.00034126705385024693
Position 10953: 0.00033917007240696754
Position 4493: 0.0003363452635248512
Position 4124: 0.0003360331019927428
Position 1000: 0.0003253082933947875
Position 998: 0.00030996832242858783
Position 994: 0.0002758701341832794
Position 1004: 0.0002752595242437589
Position 12087: 0.00026405617613034537
Position 10864: 0.0002584378911365905
Position 1006: 0.0002570337833211687
Position 2934: 0.0002545534159066322
Position 12193: 0.00020332309787571696
Position 10857: 0.0001905666169695446
Position 1008: 0.00018574208287217199
Position 1059: 0.00018121722243886898
Position 12200: 0.00017322245340141854
Position 884: 0.0001469301040748371
Position 996: 0.00013666782069688026
Position 11477: 0.00012909296380524785
Position 401: 0.00012406013094810512
Position 1010: 0.0001196373007051541
Position 599: 0.0001044149194951364
Position 57: 0.00010160772666219666
Position 2047: 8.56186971264465e-05
Position 2972: 8.375348369938765e-05
Position 1492: 8.072601325438394e-05
Position 10259: 7.917012962671677e-05
Position 10751: 7.434072774433243e-05
Position 1105: 7.33624378361789e-05
Position 2551: 7.111528599409317e-05
Position 10262: 6.294583148365373e-05
Position 10849: 6.201686053187309e-05
Position 10885: 5.839186763912173e-05
Position 125: 5.587032210198127e-05
Position 1871: 5.5327264819562025e-05
Position 1581: 5.2900282525252865e-05
Position 1380: 4.877261268960459e-05
Position 3559: 4.715803247519657e-05
Position 893: 4.6257878251728844e-05
Position 2316: 4.54791911570708e-05
Position 1073: 4.239286273497611e-05
Position 548: 4.013279819346828e-05
Position 10793: 4.0098485653436176e-05
Position 4471: 3.9455477500453234e-05
Position 10817: 3.939502457677039e-05
Position 632: 3.8953859822804e-05
Position 1798: 3.875817689411904e-05
Position 728: 3.812802950547907e-05
Position 9943: 3.4215341068307186e-05
Position 3254: 3.227343911491746e-05
Position 11465: 3.067880968983165e-05
Position 9761: 3.061598991707491e-05
Position 112: 3.058550336461855e-05
Position 2475: 2.982656590822638e-05
Position 4626: 2.6792711350069683e-05
Position 11469: 2.6660394156245686e-05
Position 11120: 2.5835651753227924e-05
Position 1781: 2.545690135085203e-05
Position 585: 2.4090926677391656e-05
Position 1651: 2.046122244398936e-05
Position 2324: 2.0261462951961497e-05
Position 2204: 1.7206900664853338e-05
Position 495: 1.5931584574185998e-05
Position 10378: 1.5023056723155883e-05
Position 1624: 1.4167514243869916e-05
Position 3403: 1.2816091316112826e-05
Position 3067: 8.619892792238638e-06
Position 3359: 7.082163651805411e-06
Position 3393: 5.282218263000184e-06
Position 11208: 3.708167186120567e-06
Position 208: 3.1246038649302194e-06
Position 1057: 2.9230690075618814e-06
Position 11130: 2.3347205318817413e-06
Position 2493: 2.0344187719497645e-06
Position 263: 1.1604366923680371e-06
Position 11019: 7.435096687081847e-07
Position 10835: 7.014293958994728e-07
Position 11028: 6.957106066139208e-07
Position 181: 4.849651031693482e-07
Position 480: 3.5469734242339255e-07
Position 506: 3.0944866219609514e-07
Position 498: 2.942928383287249e-07
Position 1387: 2.0129939813009168e-07
Position 3017: 1.7713049862963072e-07
