Gene = vri
index = 1930
Annotated 5SS: [17223 18969]
Annotated 3SS: [18620 19076]
SMsplice 5SS: [  566 18969]
SMsplice 3SS: [18620 19076]
top_k =  1000
Partition function (log Z): -3.597910501332986

Sorted 5' Splice Sites (High to Low Probability):
Position 18969: 0.9990681013116752
Position 566: 0.9650968801931271
Position 13324: 0.6802258776811732
Position 11801: 0.42428140008957194
Position 19649: 0.39408502522098104
Position 10502: 0.3659083819044021
Position 13521: 0.25559520200499136
Position 10808: 0.140128150352433
Position 12366: 0.09357158267765231
Position 21373: 0.09284244751030989
Position 6493: 0.08895984039471444
Position 10918: 0.07388659269482013
Position 11796: 0.05862394762945197
Position 21099: 0.04615169602773005
Position 20949: 0.03811061204609559
Position 8810: 0.03623519640579213
Position 19484: 0.035822257518479075
Position 14150: 0.024828887217522362
Position 10149: 0.024477495693159816
Position 12488: 0.024170574986567987
Position 10846: 0.021714772223918127
Position 600: 0.02066709825295921
Position 15115: 0.017622835604399124
Position 9820: 0.011955583819357768
Position 10812: 0.011941337657484064
Position 3192: 0.011831799318560826
Position 20213: 0.011750693253608025
Position 22102: 0.010202022099315991
Position 6076: 0.009681031876778837
Position 1307: 0.00826041614826745
Position 10814: 0.007507290167640655
Position 604: 0.006571087467740207
Position 21391: 0.006521571591209042
Position 8674: 0.006332401919080753
Position 13858: 0.00622300105553956
Position 13490: 0.00544791209960814
Position 615: 0.005100940915285833
Position 12604: 0.004734577386968458
Position 946: 0.0045053507456662995
Position 20773: 0.004093314399332603
Position 13690: 0.0037895534739298734
Position 6388: 0.003670237794691426
Position 20684: 0.003668431200306878
Position 13463: 0.003499023588790295
Position 6357: 0.0034328279498868396
Position 6092: 0.0033999385065271955
Position 13450: 0.0030538360008569485
Position 21095: 0.002703937221539311
Position 21192: 0.0026424201584573136
Position 6082: 0.0026298762075004155
Position 19712: 0.0025947078672727674
Position 20933: 0.0025465672489561443
Position 10822: 0.0024313022081038998
Position 9824: 0.002414544673597677
Position 10824: 0.002360244050936514
Position 4317: 0.0022532999051575135
Position 13785: 0.002247995752483092
Position 9187: 0.0020144397590177165
Position 2115: 0.0019909819369623664
Position 926: 0.001965480375186436
Position 6072: 0.0018636527012390347
Position 10818: 0.0018036814899850286
Position 10957: 0.0017588531114366083
Position 21369: 0.0014388363600389095
Position 3527: 0.0014217601111153003
Position 7745: 0.0013696928288901562
Position 21608: 0.0013402235053350921
Position 12260: 0.001291114518195704
Position 12647: 0.001200863390538722
Position 21345: 0.001160078450583839
Position 10820: 0.0011507782879335486
Position 1148: 0.0010281307710782658
Position 13748: 0.0008908492810003556
Position 389: 0.0008903578612216571
Position 19629: 0.0007922479928791229
Position 2729: 0.0007617605241306537
Position 204: 0.0007123089617425323
Position 20937: 0.0006829323369492779
Position 15158: 0.0005969382743121821
Position 3451: 0.0004869899570290702
Position 18975: 0.00043577104026392273
Position 8113: 0.00038768550831477474
Position 22227: 0.00037737014445483766
Position 3420: 0.0003613890107216458
Position 2814: 0.00033037749360127224
Position 19976: 0.000227167884014586
Position 20189: 0.0002039151771152993
Position 579: 0.0001445157027214258
Position 2333: 0.00013919704302374698
Position 20078: 0.00012930302322282256
Position 2818: 0.00011989596140896328
Position 8130: 0.00011889952588274152
Position 2796: 6.623370199673024e-05
Position 624: 6.555072127199796e-05
Position 4753: 5.28357746016222e-05
Position 5784: 5.184105771353082e-05
Position 20912: 4.44040812105298e-05
Position 827: 4.365849278426957e-05
Position 5546: 4.193056671662441e-05
Position 4354: 4.0265381648190876e-05
Position 2835: 3.7666949459496154e-05
Position 331: 3.711821390349564e-05
Position 5236: 3.498987994084917e-05
Position 2459: 3.054971883533355e-05
Position 860: 3.0293698557348742e-05
Position 2807: 2.96994779640272e-05
Position 19529: 2.7808701986088723e-05
Position 2620: 2.753187450588449e-05
Position 3182: 2.480456001553425e-05
Position 18845: 2.1105070380043128e-05
Position 18905: 2.069899777609626e-05
Position 5325: 1.915019261729472e-05
Position 2668: 1.848598660589189e-05
Position 19914: 1.6847289187972427e-05
Position 1570: 1.3938560306314174e-05
Position 7711: 1.338459062228846e-05
Position 6515: 1.1078835304924347e-05
Position 456: 8.560104944095675e-06
Position 19774: 7.629665190606086e-06
Position 651: 7.140420707454359e-06
Position 1753: 6.120156857096207e-06
Position 20681: 5.846963342668995e-06
Position 572: 5.096476132033982e-06
Position 2762: 4.29718324569101e-06
Position 7673: 4.151109193739202e-06
Position 964: 4.06370722841659e-06
Position 21118: 3.7046776662388925e-06
Position 2779: 3.2339995312682655e-06
Position 69: 2.9492001564063084e-06
Position 1048: 2.4507600651537735e-06
Position 972: 2.2965977255640658e-06
Position 1424: 2.282636722040666e-06
Position 1389: 1.54923970681922e-06
Position 215: 1.4999831600100978e-06
Position 1416: 1.422255500040492e-06
Position 1129: 1.2755083818297284e-06
Position 588: 1.2367058421485109e-06
Position 1412: 1.173871268377721e-06
Position 19896: 1.1651453602696602e-06
Position 175: 1.1394058643439836e-06
Position 1780: 9.115178737763996e-07
Position 1858: 8.3216561227535e-07
Position 1311: 7.717014870303966e-07
Position 1035: 6.964245649159808e-07
Position 570: 6.166801907190513e-07
Position 1368: 4.310150647160792e-07
Position 19382: 3.4315454275455427e-07
Position 20879: 3.3888285498359065e-07
Position 1009: 3.017354833429858e-07
Position 240: 2.922477266426931e-07
Position 446: 2.8157740947941264e-07
Position 19459: 2.5804894023823546e-07
Position 311: 2.473933078697791e-07
Position 19209: 2.087307993362399e-07
Position 1073: 1.9348270556949644e-07
Position 162: 1.9122056554019942e-07
Position 998: 1.4229212269662735e-07
Position 1076: 1.3744139839406017e-07
Position 1689: 1.1102951781233025e-07
