Gene = mtDNA-helicase
index = 1801
Annotated 5SS: [319 815]
Annotated 3SS: [376 983]
SMsplice 5SS: [319 815]
SMsplice 3SS: [376 983]
top_k =  1000
Partition function (log Z): -4.79568890439541

Sorted 5' Splice Sites (High to Low Probability):
Position 319: 0.9685813378569792
Position 815: 0.7925910249325648
Position 734: 0.1190469684410424
Position 303: 0.009228092001653197
Position 880: 0.005728081605416916
Position 2099: 0.0037900067000107692
Position 152: 0.003559372239087402
Position 1322: 0.0025575406519032307
Position 353: 0.002496372306554351
Position 1528: 0.0018864890721729218
Position 1669: 0.0017832473302839622
Position 763: 0.0013668007633339321
Position 652: 0.0009977829699964697
Position 757: 0.000990553195976108
Position 1407: 0.0008971309021619729
Position 594: 0.0007685131396279236
Position 922: 0.0006845569648059492
Position 936: 0.0006355480962837398
Position 864: 0.0005220901570043489
Position 520: 0.0005041713605549651
Position 1691: 0.00042493664403358715
Position 1313: 0.0004002559191074055
Position 664: 0.00036700155725037913
Position 356: 0.0003578413986872205
Position 819: 0.00022229848371296834
Position 1327: 0.0001660778808430285
Position 1072: 9.524861007246701e-05
Position 646: 8.280947321942534e-05
Position 258: 7.881358910263575e-05
Position 853: 6.775747252405588e-05
Position 517: 5.675298990505468e-05
Position 1343: 5.5490045793394676e-05
Position 627: 5.343012667272808e-05
Position 454: 3.836835173831968e-05
Position 40: 3.333530613611201e-05
Position 1682: 3.0982604059264254e-05
Position 1532: 2.4920242193902054e-05
Position 1238: 2.4159978113748812e-05
Position 111: 2.1344062876944033e-05
Position 61: 2.0196278996398434e-05
Position 1747: 1.8485888168998624e-05
Position 403: 1.2912983001202441e-05
Position 1555: 1.2794396237067224e-05
Position 1666: 8.551723498707025e-06
Position 82: 8.0929066900796e-06
Position 1463: 7.1468034861871655e-06
Position 212: 6.7073830252126325e-06
Position 487: 6.6177064799969295e-06
Position 1564: 5.098764308550938e-06
Position 1126: 3.802172495772011e-06
Position 84: 2.4652641751718034e-06
Position 787: 2.353686407657993e-06
Position 114: 6.981406116412978e-07
Position 156: 5.895383315133548e-07
Position 536: 4.801135064831118e-07
Position 131: 4.153928399081639e-07
Position 56: 3.625692884491488e-07
Position 227: 2.913139192582595e-07
Position 666: 1.0777015391858403e-07
Position 1724: 5.1371233370091686e-08
