Gene = mRpS18B
index = 1776
Annotated 5SS: [388]
Annotated 3SS: [449]
SMsplice 5SS: [388]
SMsplice 3SS: [449]
top_k =  1000
Partition function (log Z): -5.12997599327172

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9998068445215558
Position 78: 0.002165286608074224
Position 88: 0.0017715400626531522
Position 732: 0.0006670057488376865
Position 747: 0.0003336203645285661
Position 702: 0.00020854017774179882
Position 559: 6.695324906074736e-05
Position 264: 4.8030429668926644e-05
Position 665: 4.4638748425157964e-05
Position 52: 3.935891957482717e-05
Position 468: 2.97031676686344e-05
Position 9: 2.5131000156102416e-05
Position 382: 1.6599044842148435e-05
Position 545: 1.131168188641419e-05
Position 371: 1.1099172967423184e-05
Position 267: 9.434079332258107e-06
Position 512: 7.844834044865417e-06
Position 594: 6.895236002140026e-06
Position 647: 4.812701916690719e-06
Position 821: 4.074928030911223e-06
Position 4: 3.4154445159542425e-06
Position 619: 3.0616510316262794e-06
Position 57: 2.5982390876027867e-06
Position 799: 1.9140739175098085e-06
Position 412: 1.7313476196687485e-06
Position 835: 1.078757224871953e-06
Position 673: 9.760241508781553e-07
Position 495: 8.274878592903519e-07
Position 308: 5.678639807734912e-07
Position 718: 4.1818263573954995e-07
Position 373: 1.750841777354941e-07
Position 645: 1.0154185294189557e-07
Position 106: 9.142880687200831e-08
Position 533: 7.254918562428988e-08
Position 140: 4.555392830194589e-08
Position 120: 3.3873947989802576e-08
Position 679: 1.6032289447212853e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9975199035083627
Position 159: 0.0037395492797987523
Position 812: 0.0010933119068424286
Position 507: 0.000919296318063282
Position 611: 0.0004974278823445665
Position 834: 0.00035496821860552517
Position 492: 0.0002580745466313887
Position 462: 0.00020573982066567138
Position 728: 0.00013098285665896601
Position 684: 0.00012529065336663606
Position 334: 0.00010671233940256853
Position 518: 9.211206536553485e-05
Position 864: 5.734754345152487e-05
Position 242: 4.826986322131706e-05
Position 308: 3.36718927883327e-05
Position 640: 2.1226871896137117e-05
Position 626: 1.7080892818716113e-05
Position 87: 1.555470404716871e-05
Position 594: 1.0042231039888911e-05
Position 78: 6.903938792277775e-06
Position 636: 5.734060693514812e-06
Position 183: 5.625063213405691e-06
Position 278: 5.151852261955228e-06
Position 881: 5.143477254275468e-06
Position 349: 4.0804311579849335e-06
Position 654: 3.6169989918786443e-06
Position 868: 3.3102009317444087e-06
Position 688: 1.5060912731063787e-06
Position 743: 1.2313308349575521e-06
Position 294: 1.1220250532879221e-06
Position 616: 9.861632226201257e-07
Position 582: 8.6524139537333e-07
Position 382: 8.38027127618937e-07
Position 218: 7.650070627415502e-07
Position 199: 5.884923309892615e-07
Position 286: 4.5843498367433e-07
Position 759: 3.4119117436900574e-07
Position 765: 3.104682338168751e-07
Position 762: 1.930468981436604e-07
Position 313: 1.608600896132492e-07
Position 591: 1.1182039967206689e-07
Position 891: 5.951610024951999e-08
Position 768: 4.229297441325551e-08
Position 732: 3.1080376640470263e-08
Position 192: 2.8801312459112773e-08
Position 848: 2.2143648142664012e-08
Position 656: 2.1881467746232846e-08
Position 248: 1.476682665356194e-08
Position 264: 1.3595994733898516e-08
Position 403: 5.397433592555517e-09
Position 336: 1.652360964926986e-09
Position 253: 5.938130458951638e-10
Position 205: 2.707979163195445e-10
Position 364: 1.1988394755722204e-10
Position 167: 8.139778474260142e-11
Position 392: 4.512419120741758e-14
