Gene = aph-1
index = 1611
Annotated 5SS: [475]
Annotated 3SS: [533]
SMsplice 5SS: [237 475]
SMsplice 3SS: [300 533]
top_k =  1000
Partition function (log Z): -3.691787760567342

Sorted 5' Splice Sites (High to Low Probability):
Position 475: 0.9656673838204978
Position 237: 0.911124109629528
Position 490: 0.014984130832999007
Position 234: 0.008224590703596537
Position 636: 0.00754222398398139
Position 27: 0.0055351072209536495
Position 141: 0.002166207210014456
Position 883: 0.002015318937536552
Position 63: 0.001432345840214469
Position 869: 0.001262451911407405
Position 854: 0.0009458159463787744
Position 169: 0.0009246914208392556
Position 454: 0.0001298773246988395
Position 602: 0.00010192519138610629
Position 704: 8.303230292465347e-05
Position 896: 6.438155165770065e-05
Position 807: 4.8559722453878656e-05
Position 829: 4.5429211423371494e-05
Position 460: 4.051769626480519e-05
Position 605: 3.5514722746450896e-05
Position 479: 2.6822810155454585e-05
Position 687: 2.2037031585758747e-05
Position 145: 1.5783886607136962e-05
Position 444: 1.4699513240203884e-05
Position 312: 1.016717392488148e-05
Position 494: 9.436186415026039e-06
Position 379: 5.560449155484755e-06
Position 928: 5.2483320816770716e-06
Position 6: 5.048220659216944e-06
Position 289: 3.4097450067033958e-06
Position 690: 2.229458053554021e-06
Position 96: 1.3015986548800496e-06
Position 280: 1.2554995490503896e-06
Position 943: 1.1348500300770153e-06
Position 499: 1.069052834296007e-06
Position 526: 1.0058688705029562e-06
Position 535: 9.601051994857023e-07
Position 277: 3.0642764083108405e-07
Position 87: 2.045040947167905e-07
Position 708: 1.5003779192090758e-07
Position 792: 1.3112670512638708e-07
Position 774: 1.043460861028972e-07
Position 409: 6.505907999354538e-08
Position 582: 6.389213545466156e-08
Position 261: 5.2331172190948546e-08
Position 291: 4.165176337454897e-08
Position 538: 1.5520902790352956e-08
Position 361: 1.2171536186104511e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 533: 0.956391869544077
Position 300: 0.9276451826426518
Position 681: 0.017123017309165885
Position 697: 0.012175824761062045
Position 943: 0.004706343882651708
Position 560: 0.001126165052702279
Position 76: 0.0009022889260296175
Position 993: 0.0007125973318215153
Position 81: 0.0005066238190445599
Position 517: 0.00039257134181838103
Position 599: 0.0002660642522624615
Position 304: 0.00017401927586281187
Position 890: 8.497210526425388e-05
Position 1018: 6.860036906899006e-05
Position 338: 6.773235596777653e-05
Position 258: 5.450319770302423e-05
Position 835: 3.6898907076891e-05
Position 1010: 2.6679580791225558e-05
Position 169: 1.891109633692762e-05
Position 96: 9.924071061506197e-06
Position 883: 6.506629320286452e-06
Position 535: 2.6612274825459394e-06
Position 854: 5.936124375864444e-07
Position 869: 5.222464334423597e-07
Position 829: 2.0145074249774328e-07
Position 348: 1.115583494816948e-07
Position 63: 1.0110719778003499e-07
Position 261: 7.081985339150371e-08
Position 489: 5.3358928871363755e-08
Position 634: 4.904578931161105e-08
Position 48: 4.7020489220047686e-08
Position 999: 4.6872034365024715e-08
Position 393: 4.4524888593708614e-08
Position 484: 2.9052994369321403e-08
Position 369: 2.8117349636002677e-08
Position 345: 1.9275923659858702e-08
Position 508: 1.7582991432946624e-08
Position 792: 1.612475556910348e-08
Position 572: 8.652547332378567e-09
Position 54: 7.087903879978331e-09
Position 379: 6.733329206786575e-09
Position 479: 1.0827261685912311e-10
