Gene = cold
index = 1651
Annotated 5SS: [ 65 408 800]
Annotated 3SS: [342 488 852]
SMsplice 5SS: [ 65 408 800]
SMsplice 3SS: [149 488 852]
top_k =  1000
Partition function (log Z): -0.19100530734920695

Sorted 5' Splice Sites (High to Low Probability):
Position 408: 0.995008642515748
Position 65: 0.9397325325978952
Position 800: 0.5602322005430054
Position 739: 0.08470664508010746
Position 804: 0.04907483010949256
Position 1076: 0.0195111294312096
Position 781: 0.008893490279451957
Position 1144: 0.006992626198407
Position 670: 0.003489236448783754
Position 1114: 0.003477462049104352
Position 278: 0.002619435242057595
Position 986: 0.0007682696468807583
Position 282: 0.0007005305767850329
Position 216: 0.0004678587780409153
Position 69: 0.0003283705209326814
Position 811: 0.0003279421155969457
Position 18: 0.00031266711874321874
Position 1018: 0.00030467477587638517
Position 639: 0.0002566686576575839
Position 270: 0.00023067511880194691
Position 1068: 0.00015587703455685774
Position 721: 0.0001319101621411735
Position 258: 0.0001174136002852957
Position 794: 0.00011318748522412749
Position 273: 0.00011113226921234348
Position 883: 0.00010961267376473611
Position 98: 9.179247318830586e-05
Position 763: 8.05125621333198e-05
Position 1055: 5.977410468668258e-05
Position 625: 5.679227681070622e-05
Position 220: 4.99636032822041e-05
Position 412: 4.571517493416067e-05
Position 236: 3.875215537289623e-05
Position 754: 2.2676067236006585e-05
Position 249: 1.9639344011165447e-05
Position 1155: 1.943125683524813e-05
Position 399: 1.290503984615218e-05
Position 590: 1.2022903997632274e-05
Position 374: 1.0190224357987986e-05
Position 881: 8.632068851919498e-06
Position 173: 7.080676404125457e-06
Position 688: 6.3781436340795005e-06
Position 846: 2.983237217742767e-06
Position 191: 2.3691364630515874e-06
Position 661: 2.349793413644397e-06
Position 358: 2.175590033380065e-06
Position 1049: 2.060014393121013e-06
Position 550: 1.8275968596760191e-06
Position 371: 1.6038448421481599e-06
Position 295: 1.2164117344799586e-06
Position 854: 7.377433196659585e-07
Position 1171: 5.922082375070239e-07
Position 694: 4.925744658958236e-07
Position 659: 3.834552251359227e-07
Position 149: 2.6463837777706083e-07
Position 329: 2.4573551779420246e-07
Position 887: 2.377466444408786e-07
Position 389: 1.9024363688356389e-07
Position 488: 1.7086712792026443e-07
Position 397: 1.5875665918443473e-07
Position 222: 1.189633368080338e-07
Position 196: 6.428376726094095e-08
Position 122: 6.264658665663865e-08
Position 120: 5.28106916783898e-08
Position 504: 3.863741233010845e-08
Position 380: 2.5888656266849886e-08
Position 511: 3.092871905387637e-09
Position 518: 4.4219832023862e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 488: 0.9633104983414806
Position 149: 0.8842616842994844
Position 852: 0.6687903786598463
Position 1201: 0.04497575981383102
Position 342: 0.026649373121081493
Position 807: 0.020862775621867623
Position 532: 0.01766029918646762
Position 160: 0.017328199034675088
Position 459: 0.012833946809916556
Position 172: 0.011254097217687154
Position 1171: 0.003473568010613769
Position 1179: 0.0020022353908477316
Position 196: 0.0011256199240882107
Position 228: 0.0006694945481477075
Position 913: 0.0006679222047598088
Position 164: 0.0006599074461819919
Position 869: 0.0003063243711673867
Position 1301: 0.00026203536733874876
Position 874: 0.00025948016859192696
Position 945: 0.00023765637476224488
Position 1055: 0.00020330835628164882
Position 1002: 0.00018046562575713785
Position 1412: 0.00017609395737992232
Position 1068: 6.0149673663412234e-05
Position 718: 5.612236884503749e-05
Position 368: 5.4840171919758753e-05
Position 811: 5.469104263110927e-05
Position 270: 4.7730570629264054e-05
Position 1340: 4.2481884106275374e-05
Position 649: 3.585273576485617e-05
Position 568: 3.4555896838144876e-05
Position 511: 3.232512388772704e-05
Position 1013: 3.2066595012549425e-05
Position 669: 1.9078353887655812e-05
Position 550: 1.8399986102654544e-05
Position 1114: 1.5753631847346176e-05
Position 1321: 1.4251283750304602e-05
Position 1231: 1.2685743420873132e-05
Position 970: 7.069068979116307e-06
Position 1315: 5.645018487773123e-06
Position 1360: 5.600659046903846e-06
Position 622: 5.420452128357217e-06
Position 685: 5.254011723526203e-06
Position 745: 5.147603087042147e-06
Position 216: 5.000966970476607e-06
Position 206: 3.2649875038630823e-06
Position 667: 2.338337347589524e-06
Position 688: 2.212615267249807e-06
Position 1351: 1.7095932669706454e-06
Position 1109: 1.4557521531718677e-06
Position 1018: 8.775004984796114e-07
Position 637: 8.497808223947479e-07
Position 1021: 7.562877882786758e-07
Position 682: 6.765872852356312e-07
Position 407: 5.726364183443021e-07
Position 310: 4.1384995568133066e-07
Position 380: 3.551750966012379e-07
Position 694: 2.7839811989367303e-07
Position 604: 2.5224072618908414e-07
Position 179: 2.0826946227241223e-07
Position 547: 8.361539519280306e-08
Position 426: 6.679086342295353e-08
Position 700: 4.36353709726706e-08
Position 706: 2.0857843390723203e-08
Position 60: 1.482557505613303e-08
Position 64: 6.253463534758038e-09
Position 364: 3.818078283740389e-10
Position 412: 3.916210906539926e-14
