Gene = l(2)gd1
index = 1747
Annotated 5SS: [ 179 1865 2355 2565 3307]
Annotated 3SS: [ 265 1922 2412 3161 3372]
SMsplice 5SS: [ 179 1865 2355 2565 3307]
SMsplice 3SS: [ 265 1922 2412 3215 3372]
top_k =  1000
Partition function (log Z): 16.3707860675971

Sorted 5' Splice Sites (High to Low Probability):
Position 3307: 0.9988982098921108
Position 2355: 0.9988816949937678
Position 1865: 0.9948503202133939
Position 2565: 0.9945178058360199
Position 179: 0.9859925527348047
Position 3018: 0.3278971976061382
Position 3474: 0.09170544109355462
Position 2160: 0.04646443501399182
Position 2868: 0.023510190337474986
Position 3528: 0.022288900686101405
Position 2117: 0.02009775322698404
Position 1100: 0.010883503509770577
Position 2883: 0.007428020548304138
Position 3167: 0.007054183653377788
Position 3573: 0.006898230907782698
Position 3471: 0.005084419114092457
Position 2660: 0.0020743176201062966
Position 3394: 0.0020589017907809213
Position 806: 0.0020183367274219577
Position 2872: 0.0016152267874931813
Position 3678: 0.0012744501997474422
Position 3478: 0.0011863565387245094
Position 1050: 0.0011213949202013836
Position 1103: 0.0011063463162904782
Position 1114: 0.0009321285578501995
Position 42: 0.0008677905567786578
Position 3608: 0.0008513812490802199
Position 2705: 0.0007803961697522169
Position 3569: 0.0006981335735262474
Position 198: 0.0006134754723503057
Position 1082: 0.0005985722912871065
Position 423: 0.0005333509897936365
Position 2544: 0.0005258875597374663
Position 315: 0.0004968609534784568
Position 3311: 0.0004871556156358816
Position 1417: 0.00044137636444447964
Position 2060: 0.00043510513172957216
Position 812: 0.00030617632210012984
Position 2719: 0.00028347901166903943
Position 2334: 0.00028103518389012357
Position 2722: 0.00027587472720753313
Position 2981: 0.0002640814544225866
Position 2507: 0.0002545461060774928
Position 2328: 0.0002511939469320164
Position 2198: 0.0002499660183813043
Position 2100: 0.0001945861715871525
Position 3562: 0.00018584800524169172
Position 2257: 0.00018388464585436333
Position 3542: 0.00018322135612600213
Position 2946: 0.00016826684791056384
Position 3282: 0.00015466306702087597
Position 661: 0.00014805254747255012
Position 1836: 0.00013617635372806242
Position 1470: 0.00013601590209534947
Position 1085: 0.00013096001780606766
Position 531: 0.00013067361116643478
