Gene = Slmap
index = 1504
Annotated 5SS: [ 181 2062 5611]
Annotated 3SS: [ 748 5049 5669]
SMsplice 5SS: [ 181 5611]
SMsplice 3SS: [5049 5669]
top_k =  1000
Partition function (log Z): -5.5741786659986525

Sorted 5' Splice Sites (High to Low Probability):
Position 5611: 0.8250943080099747
Position 181: 0.7046146355398571
Position 4821: 0.4025712074363122
Position 2062: 0.3481142552801068
Position 210: 0.21578852190469716
Position 4943: 0.1386710245929962
Position 5001: 0.10798807051651406
Position 5401: 0.06607108765424409
Position 4991: 0.059513317350682
Position 5983: 0.05911477563511916
Position 1499: 0.04949655310356029
Position 1477: 0.0403326646813306
Position 5867: 0.029329805001419164
Position 1382: 0.02555733064676197
Position 4791: 0.020137786982949157
Position 1508: 0.013626008690397479
Position 5344: 0.00946793096932265
Position 5187: 0.008945136375563323
Position 5871: 0.008829432925825083
Position 1696: 0.008572417013824803
Position 749: 0.008311551981206321
Position 1580: 0.008003010357596933
Position 4734: 0.007959417426640776
Position 3686: 0.004828663989005019
Position 56: 0.004752949237216527
Position 5823: 0.004747354882171737
Position 1123: 0.004618273484877965
Position 5250: 0.00413398613523009
Position 85: 0.003597788123912145
Position 6262: 0.003230105862974124
Position 522: 0.0032142727603839964
Position 526: 0.0031281135228368884
Position 6227: 0.0029917684906095566
Position 199: 0.002688455738436683
Position 518: 0.002639838943942256
Position 514: 0.0019769063299765774
Position 6109: 0.0018643208547914681
Position 5797: 0.001670717968942214
Position 6424: 0.0015569627875493452
Position 142: 0.0014998980346443006
Position 697: 0.0014121486752658656
Position 1720: 0.0012882466625406624
Position 510: 0.0012324366812088902
Position 6220: 0.0010990987018815964
Position 5626: 0.0010683685688100907
Position 5209: 0.0007709515610723997
Position 135: 0.0007645037207341213
Position 476: 0.0006903089704188415
Position 5430: 0.0005746126031005566
Position 315: 0.000451477660077379
Position 5895: 0.00042328361819231927
Position 6073: 0.00038533293799946863
Position 1288: 0.00036519757675248273
Position 3855: 0.00032734191721236827
Position 1210: 0.0003124211655051297
Position 1058: 0.00028482312771578025
Position 1222: 0.0002791690307207143
Position 5587: 0.0002667740650582716
Position 1616: 0.0002610514723862177
Position 1643: 0.00023643484650467798
Position 1532: 0.00020273678073703404
Position 4271: 0.0001961968139266388
Position 766: 0.00018057007187792764
Position 530: 0.00017493017837123316
Position 5292: 0.00016634431431191787
Position 5565: 0.00016117338804577376
Position 93: 0.0001607104755769446
Position 546: 0.00013310947891650925
Position 3759: 0.0001280758406638435
Position 3523: 0.00012296797600347685
Position 3457: 0.00011590747286720974
Position 695: 0.00011023054503568528
Position 1537: 9.785255808062242e-05
Position 2855: 9.108586080496926e-05
Position 2695: 8.979879068334793e-05
Position 4230: 8.851312912905082e-05
Position 952: 8.55634729502767e-05
Position 5113: 8.155764624636323e-05
Position 2945: 8.003250082229467e-05
Position 111: 7.705355466519524e-05
Position 2674: 6.540134776640041e-05
Position 761: 5.570691874434005e-05
Position 2954: 4.8550086293162246e-05
Position 2217: 4.6105028742252e-05
Position 1238: 4.281554412061389e-05
Position 2159: 3.906914960826121e-05
Position 488: 3.6928933053614816e-05
Position 1388: 3.569993533624685e-05
Position 367: 3.5434699190302125e-05
Position 1258: 3.443187353416155e-05
Position 1127: 3.048948485344348e-05
Position 4016: 2.7701506930974202e-05
Position 1566: 2.2429122787948166e-05
Position 434: 2.0261192117904933e-05
Position 355: 1.922791859280476e-05
Position 3023: 1.9128456935817302e-05
Position 1342: 1.86616759575504e-05
Position 1431: 1.8167501385820622e-05
Position 258: 1.751023284771837e-05
Position 22: 1.7305690304378117e-05
Position 1783: 1.6761723583005448e-05
Position 2517: 1.4757878205813766e-05
Position 2932: 1.380239274261605e-05
Position 192: 1.2337389125692562e-05
Position 652: 1.1867046241818663e-05
Position 104: 1.100070883146303e-05
Position 275: 1.0131911070755791e-05
Position 668: 9.79561371527483e-06
Position 1071: 9.067661424624086e-06
Position 658: 8.82460121711613e-06
Position 284: 7.16314272068193e-06
Position 610: 5.7360209344074564e-06
Position 677: 5.141258999471793e-06
Position 218: 4.561783637187295e-06
Position 5271: 4.054221957539779e-06
Position 1216: 2.9430171630423298e-06
Position 5546: 1.9781860143534523e-06
Position 1638: 1.2376678573735316e-06
Position 1365: 1.1699543898297612e-06
Position 550: 7.750224222932069e-07
Position 361: 6.816908098962518e-07
Position 9: 5.252413002778006e-07
Position 564: 4.1021192506959155e-07
Position 6080: 3.9206553641316467e-07
Position 441: 3.706091340110679e-07
Position 332: 3.189072848885204e-07
Position 1271: 3.131054373109594e-07
Position 1109: 1.8793526360901766e-07
Position 2247: 1.8746156112271065e-07
Position 11: 1.6313399143323766e-07
Position 1150: 8.397932514991054e-08
Position 792: 6.360156802477006e-08
Position 2255: 6.294928400494113e-08
Position 87: 4.7399357239271565e-08
Position 717: 1.8338533931441954e-08
Position 561: 1.2758116818828037e-08
Position 737: 1.0256787593360478e-08
Position 29: 5.485324371061147e-09
Position 4: 4.668497926094706e-09
Position 753: 4.622749095459518e-09
Position 778: 4.3771259648880166e-09
Position 1242: 2.5487056718741972e-09
Position 548: 2.1875676426236092e-09
Position 2642: 1.0622495474611802e-09
Position 827: 2.9014480888322683e-10
Position 364: 2.767348262916185e-10
Position 772: 4.398078805065447e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5049: 0.9802864101165857
Position 5669: 0.5594570099584917
Position 4659: 0.33413532754378183
Position 748: 0.3141169384857176
Position 5697: 0.23130714278618592
Position 4627: 0.19349288535815432
Position 4868: 0.18518753876316377
Position 6197: 0.06731723677361491
Position 5476: 0.04969421630348351
Position 1576: 0.047550494253705985
Position 5672: 0.03422063638597949
Position 5940: 0.03367819785516031
