Gene = bbg
index = 1624
Annotated 5SS: [   238   2716  25373  28663 121510 121707 122197 122702]
Annotated 3SS: [  2553  23005  26356 119080 121577 121781 122560 122765]
SMsplice 5SS: [   795   2716  16179  16388  55577 121510 121707 122197 122702]
SMsplice 3SS: [  1596  15609  16249  55499 119080 121577 121781 122560 122765]
top_k =  1000
Partition function (log Z): -137.80265692894935

Sorted 5' Splice Sites (High to Low Probability):
Position 16179: 0.891972492573116
Position 2716: 0.7975864866862866
Position 795: 0.6281825905408813
Position 10909: 0.21530117362383863
Position 16388: 0.21199771717014235
Position 16449: 0.1952227318825443
Position 1734: 0.16427650687544157
Position 16407: 0.14482347720922323
Position 16763: 0.1359945167377376
Position 2503: 0.1292194791051566
Position 238: 0.1008655343082842
Position 545: 0.06983736036740032
Position 2431: 0.05242729803044198
Position 1019: 0.04726257724769706
Position 154: 0.03755361155654295
Position 1824: 0.03382489622207017
Position 11219: 0.024908695072212068
Position 1920: 0.02467888430185417
Position 11908: 0.02398084104038814
Position 8186: 0.02118858210408
Position 1727: 0.01857389668952366
Position 18038: 0.017446693393583575
Position 17690: 0.014523674975571627
Position 844: 0.013009646057763035
Position 437: 0.009599173928628961
Position 502: 0.007347281597743595
Position 1419: 0.007162742099119008
Position 539: 0.006866319864430128
Position 1493: 0.005532698927265354
Position 12: 0.004761269499909026
Position 222: 0.004572260945014572
Position 1390: 0.004572230507614975
Position 747: 0.004473069469994262
Position 269: 0.003328717917139666
Position 479: 0.003310097174368864
Position 883: 0.0032381732302083897
Position 2191: 0.003157507052906488
Position 10937: 0.0027534046573398424
Position 529: 0.0027026513821488286
Position 964: 0.002438201997014817
Position 1172: 0.002170766569774405
Position 340: 0.00209423297105461
Position 662: 0.0018948177504616486
Position 147: 0.0017892072816555577
Position 190: 0.0016497038345208825
Position 1926: 0.0013931720216276626
Position 1999: 0.0011067637593815212
Position 40: 0.0010374574666404688
Position 2493: 0.000856887930823633
Position 5474: 0.0007947483711476646
Position 650: 0.0007943809828345684
Position 15882: 0.0007864963478689241
Position 160: 0.000659681834186553
