Gene = mrn
index = 1795
Annotated 5SS: [330]
Annotated 3SS: [384]
SMsplice 5SS: [330]
SMsplice 3SS: [384]
top_k =  1000
Partition function (log Z): -7.99005095825288

Sorted 5' Splice Sites (High to Low Probability):
Position 330: 0.9568808195100036
Position 975: 0.034445468142987316
Position 131: 0.025518143243378213
Position 1148: 0.010473590825677517
Position 981: 0.00843019487411978
Position 1161: 0.00757870170714205
Position 1120: 0.0056734286435936206
Position 311: 0.00447511049454125
Position 788: 0.0037347876540871345
Position 320: 0.00311628865042889
Position 1285: 0.002748346865266224
Position 732: 0.001974367170852858
Position 494: 0.0016655742671619269
Position 1590: 0.00163747355534108
Position 503: 0.0016336673541133713
Position 267: 0.0011304642856312282
Position 295: 0.0009276077198001718
Position 338: 0.0009161076541927622
Position 717: 0.0006742447610831288
Position 1372: 0.00043719877078102334
Position 1097: 0.000384688861428193
Position 820: 0.00030223217876007856
Position 1156: 0.00028899911898470324
Position 189: 0.00023723864473011255
Position 1248: 0.00023357743848449514
Position 50: 0.00020434402500433405
Position 323: 0.00018032804709532956
Position 1100: 0.00015197591096088785
Position 1310: 0.00014204927593435015
Position 1625: 0.00010137570642066967
Position 1315: 9.587517404236324e-05
Position 1086: 9.005572501295388e-05
Position 808: 7.308032415189864e-05
Position 629: 3.1828967792258545e-05
Position 209: 3.0895893514807344e-05
Position 463: 2.7368143869064082e-05
Position 1273: 2.268894420182696e-05
Position 147: 2.1173340542310827e-05
Position 129: 1.9947929232512047e-05
Position 80: 1.7787782049668938e-05
Position 113: 1.537835048316716e-05
Position 1613: 1.4399226265492573e-05
Position 56: 1.2228724673523487e-05
Position 1118: 1.1988852022092725e-05
Position 249: 1.1953072002952595e-05
Position 1154: 1.0136217204415618e-05
Position 298: 9.713316032415288e-06
Position 174: 8.646100254720756e-06
Position 921: 8.407563048185119e-06
Position 271: 7.176741396955526e-06
Position 1226: 5.9421960639974485e-06
Position 862: 5.7050561736297105e-06
Position 1355: 5.329760665911072e-06
Position 1352: 4.949709387450802e-06
Position 1564: 4.76055390918222e-06
Position 1578: 3.934763493134831e-06
Position 1575: 3.834066274643557e-06
Position 1551: 3.102030935273127e-06
Position 217: 2.904434190798772e-06
Position 283: 2.659141737262892e-06
Position 965: 3.7673283354828995e-07
Position 672: 2.4300933484763627e-07
Position 683: 2.2909915058376025e-07
Position 760: 1.3503156546058507e-07
Position 1022: 1.2538511278604064e-07
Position 876: 1.057738985517545e-07
Position 434: 1.0382485404988077e-07
Position 955: 5.958507826890603e-08
Position 903: 5.571685997972556e-08
Position 609: 5.322752021130107e-08
Position 450: 4.7332495333606764e-08
Position 91: 3.975927282552822e-08
Position 614: 3.919492805550197e-08
Position 53: 3.774242072618308e-08
Position 865: 3.7022306825837977e-08
Position 425: 1.3944104355009838e-08
Position 28: 1.2516379755936537e-08
Position 1165: 8.079738919934124e-09
Position 598: 6.279403228862801e-09
Position 4: 2.443521674218223e-09
Position 856: 1.5479563984603125e-09
Position 790: 1.0717959811379729e-09
Position 96: 6.686804046892889e-10
Position 616: 4.466933902701512e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 384: 0.9891353690213681
Position 1442: 0.02725441529120165
Position 1036: 0.016509896621505916
Position 1226: 0.015428212560579522
Position 1147: 0.006537581126338809
Position 1352: 0.004182515498742006
Position 1033: 0.0028098427979912203
Position 871: 0.0024496786621293785
Position 1382: 0.002359500089615993
Position 1029: 0.0015055938656981067
Position 1652: 0.0014253679452766736
Position 943: 0.0009743371177537028
Position 808: 0.0007923687402031802
Position 1409: 0.0006118885395408701
Position 876: 0.0005810601996857139
