Gene = Piezo
index = 1380
Annotated 5SS: [  446 10137 10468 10836 11195 11396 11626 12325 13734 14001 14617 15325
 15879 16743 16957 18977 19378 19806 20491 20634 21778 22206 23183 23603
 23812 24020 25022 25603 25805]
Annotated 3SS: [ 9942 10202 10527 11067 11275 11462 12102 13499 13802 14056 14705 15385
 15937 16798 18910 19231 19553 20115 20556 21741 22052 23043 23240 23664
 23874 24087 25094 25662 25858]
SMsplice 5SS: [  446 10137 10468 10836 11195 11396 11626 13422 13734 14001 14617 15325
 15879 16743 16957 19378 20491 21778 23183 23603 23812 24020 25022 25603
 25805]
SMsplice 3SS: [ 9942 10202 10527 11067 11275 11462 12921 13499 13802 14056 14705 15385
 15937 16798 18910 20067 20556 23043 23240 23664 23874 24087 25094 25662
 25858]
top_k =  1000
Partition function (log Z): 77.00341545132633

Sorted 5' Splice Sites (High to Low Probability):
Position 23603: 0.9997667596033714
Position 20491: 0.9990340202331232
Position 24020: 0.998950345612858
Position 23183: 0.9988824806939102
Position 23812: 0.9987219918143656
Position 13734: 0.9974187390287561
Position 25022: 0.9966181688074975
Position 16957: 0.9960838843651891
Position 25603: 0.9884261360926565
Position 14001: 0.9879394646922283
Position 10137: 0.9712438057998899
Position 19378: 0.9683682328917564
Position 15325: 0.96071916389491
Position 11195: 0.954007930306466
Position 11626: 0.9527109244476752
Position 25805: 0.9521410199690908
Position 11396: 0.9402970450399757
Position 16743: 0.9296458271351795
Position 10468: 0.9168185200675425
Position 10836: 0.9102542105503418
Position 14617: 0.8820627453117849
Position 21778: 0.8068528769114164
Position 15879: 0.7677929870694081
Position 446: 0.6803657361468758
Position 22206: 0.4508614587224878
Position 12325: 0.38046951515794
Position 13422: 0.3648353193503015
Position 13347: 0.3547538935867371
Position 19806: 0.33775231739193523
Position 22720: 0.2257458799994326
Position 22545: 0.2148815913069675
Position 25373: 0.1944351345464522
Position 21321: 0.19121756908461968
Position 15851: 0.17524132192831
Position 14345: 0.14450483771476888
