Gene = Hakai
index = 1206
Annotated 5SS: [ 468 1119]
Annotated 3SS: [ 570 1188]
SMsplice 5SS: [ 468 1119]
SMsplice 3SS: [ 597 1188]
top_k =  1000
Partition function (log Z): -3.5516295006193475

Sorted 5' Splice Sites (High to Low Probability):
Position 468: 0.9982745729144271
Position 1126: 0.4897247481743348
Position 699: 0.1717314861155744
Position 1123: 0.0150848709827861
Position 720: 0.0024145393047879386
Position 1087: 0.0021091213270935526
Position 1083: 0.0016572032621773349
Position 815: 0.0003630584789789166
Position 801: 0.0003564564512122716
Position 1286: 0.00027102164819452944
Position 1277: 0.0002636251419364377
Position 752: 0.0002355409559366211
Position 1295: 0.0001941422095335143
Position 864: 0.000189805209390617
Position 492: 0.0001575741998332581
Position 505: 0.00012884548990568667
Position 946: 0.0001281771010259134
Position 1777: 0.00010940781524409722
Position 472: 0.00010528741479558468
Position 1729: 8.852908489863544e-05
Position 369: 7.511177228740489e-05
Position 1556: 5.470096317044342e-05
Position 1100: 5.373812107990884e-05
Position 543: 4.523935131271832e-05
Position 1464: 4.474028505014997e-05
Position 905: 3.261878686735484e-05
Position 897: 2.5357024201046608e-05
Position 1470: 2.477317101637746e-05
Position 1720: 2.2340535052184175e-05
Position 686: 2.1599643488192562e-05
Position 771: 2.130161484954024e-05
Position 1040: 2.048976808364515e-05
Position 440: 1.6112438122743177e-05
Position 1767: 1.5133512715323423e-05
Position 1019: 1.3229085950317438e-05
Position 841: 1.1454532092142308e-05
Position 428: 1.0743182305802304e-05
Position 452: 8.496584898842882e-06
Position 1298: 6.815434592420036e-06
Position 899: 5.372242923559417e-06
Position 873: 3.961824405567825e-06
Position 1273: 3.6762357414372325e-06
Position 922: 3.6048856172954326e-06
Position 883: 2.9821747390930203e-06
Position 1474: 2.228884254428903e-06
Position 1775: 1.3226996262720763e-06
Position 267: 9.05780357077214e-07
Position 1619: 8.567254591212737e-07
Position 495: 7.712018977317961e-07
Position 1289: 6.911605264844685e-07
Position 999: 4.853751785241776e-07
Position 249: 3.347352694871965e-07
Position 91: 3.003962035886371e-07
Position 119: 2.4666379889280023e-07
Position 1655: 1.8133400568331214e-07
Position 299: 1.731029425481775e-07
Position 97: 1.1445290022834786e-07
Position 189: 6.328355535978712e-08
Position 186: 4.358869843485824e-08
Position 383: 3.569209144227972e-08
Position 144: 3.378080758197295e-08
Position 866: 1.9051799192928194e-08
Position 171: 1.5633902315999797e-08
Position 1538: 4.5260765946022295e-10
Position 844: 1.7472921069670966e-11
