Gene = l(2)SH0834
index = 1746
Annotated 5SS: [201]
Annotated 3SS: [314]
SMsplice 5SS: [201]
SMsplice 3SS: [314]
top_k =  1000
Partition function (log Z): -3.8799062799858497

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.7714063282763566
Position 245: 0.10674447070452836
Position 220: 0.08135753745206394
Position 234: 0.019825448761158344
Position 259: 0.010869597760843792
Position 651: 0.010640315749656735
Position 181: 0.008516543398921645
Position 681: 0.00527728048438119
Position 418: 0.0043721366287526936
Position 790: 0.003716580323508091
Position 698: 0.0033642118313388157
Position 353: 0.0022121761189379473
Position 643: 0.0015239559329598275
Position 598: 0.0014892644956336968
Position 446: 0.0014237692966601598
Position 676: 0.0012203358067038425
Position 761: 0.0010680851129860486
Position 921: 0.0005283680029617963
Position 707: 0.0005035089414385173
Position 232: 0.000488819022926315
Position 926: 0.00038824131405281647
Position 175: 0.0002861705545160513
Position 607: 0.0002643678146067679
Position 955: 0.00024913783983587134
Position 20: 0.0002334738750601015
Position 530: 0.0001906729160617141
Position 48: 0.0001798655298862791
Position 8: 0.00016811067114377967
Position 670: 0.0001074601564658565
Position 378: 0.00010536944549928357
Position 136: 9.810051059910141e-05
Position 711: 9.622041410448814e-05
Position 318: 7.610260987288425e-05
Position 704: 4.247833279825568e-05
Position 504: 3.437476295122131e-05
Position 271: 3.322507954789587e-05
Position 702: 2.1111809906388135e-05
Position 936: 2.0459877961899154e-05
Position 29: 1.1962846529293813e-05
Position 792: 1.0750271280191752e-05
Position 31: 9.613360732648733e-06
Position 777: 9.594260296845645e-06
Position 506: 6.982509589064974e-06
Position 269: 4.8660486062345434e-06
Position 862: 3.094049108560381e-06
Position 830: 1.7586051272835907e-06
Position 895: 1.7397775301090346e-07
Position 88: 9.81843580315133e-08
Position 293: 5.5109433898244524e-09
Position 518: 2.0852706937205797e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9900065720971546
Position 539: 0.015407688279952099
Position 741: 0.012389783059334606
Position 852: 0.00952969135138896
Position 787: 0.00466525083170652
Position 716: 0.0025389217116180618
Position 670: 0.0010639123596754571
Position 988: 0.0008767734678127909
Position 858: 0.0007253993818665097
Position 556: 0.0004352846019858684
Position 1015: 0.00037687606211006666
Position 826: 0.000253603352024751
Position 902: 0.00019399854216193933
Position 88: 0.00018017500614710624
Position 830: 0.0001399080353285602
Position 68: 0.00010233802999081861
Position 65: 8.18062783646229e-05
Position 504: 6.352994744562172e-05
Position 352: 3.708330120871025e-05
Position 806: 2.3433227615916167e-05
Position 630: 1.6636585504885516e-05
Position 59: 1.538060901331114e-05
Position 117: 1.3942051398967512e-05
Position 392: 1.2583953704828174e-05
Position 720: 7.739086766540333e-06
Position 995: 7.040832859155998e-06
Position 411: 6.665368135529387e-06
Position 375: 5.0196283439808915e-06
Position 439: 4.564638343670061e-06
Position 810: 4.2957957290648485e-06
Position 444: 4.027431616874945e-06
Position 585: 3.603822968731857e-06
Position 569: 3.5395496609036786e-06
Position 229: 2.2679180991720367e-06
Position 643: 9.625904360589517e-07
Position 446: 6.076512782058598e-07
Position 911: 5.322213874942962e-07
Position 651: 3.4364328772052623e-07
Position 358: 1.7121129296860495e-07
Position 566: 1.526025166727722e-07
Position 121: 1.107215960729214e-07
Position 187: 1.0629991146683799e-07
Position 866: 8.280648499212421e-08
Position 920: 8.119350751685743e-08
Position 165: 2.884320757225212e-08
Position 168: 2.7471710185094907e-08
Position 142: 2.127790894062551e-08
Position 134: 1.2115891164124082e-08
Position 541: 5.847566374245233e-10
Position 441: 1.822730368114483e-11
