Gene = Gart
index = 1181
Annotated 5SS: [ 370 4764 5468 5750 6354 7462]
Annotated 3SS: [4515 4817 5523 5931 6411 7523]
SMsplice 5SS: [ 370 4764 5468 5750 6354 7462]
SMsplice 3SS: [4515 4817 5523 5931 6411 7523]
top_k =  1000
Partition function (log Z): 4.422824681502212

Sorted 5' Splice Sites (High to Low Probability):
Position 5468: 0.9952584422306706
Position 7462: 0.9936258672042417
Position 370: 0.9525110487098569
Position 4764: 0.9354925832788689
Position 6354: 0.8800338865785028
Position 5750: 0.6437605185050458
Position 1624: 0.36403538153294684
Position 5839: 0.0743584618283167
Position 6350: 0.06460128031817705
Position 99: 0.039006141538234604
Position 6532: 0.03404083771576128
Position 374: 0.033492505811130495
Position 1619: 0.02534857219045206
Position 6340: 0.024026243517028725
Position 652: 0.01937382836989688
Position 7014: 0.018023108772177686
Position 5760: 0.017487181265011212
Position 2590: 0.017320347129280114
Position 1163: 0.010109625316317225
Position 7905: 0.00887436690671374
Position 2161: 0.006949835851714444
Position 5299: 0.005528120767164367
Position 2018: 0.004371086787382477
Position 103: 0.004312714972774003
Position 2818: 0.003976534740750422
Position 2778: 0.0033214092067140885
Position 2399: 0.003320647281783963
Position 6698: 0.0030186821196178594
Position 3296: 0.0029645618778636135
Position 550: 0.0029448871808837314
Position 1759: 0.0027029880629186724
Position 5395: 0.0022879005130289633
Position 4346: 0.0022369440430228017
Position 1002: 0.0021982341206496824
Position 440: 0.0020123182296698044
Position 3735: 0.0019717636466248293
Position 2535: 0.0018853752569737386
Position 1206: 0.0016544288746522722
Position 1667: 0.001534789236097566
Position 7035: 0.0014286800865651987
Position 4122: 0.0014268350910218023
Position 1794: 0.001285684542034626
Position 1430: 0.001281885592310874
Position 5714: 0.0012745686408039976
Position 721: 0.0011991526373258225
Position 4724: 0.0011862346140737241
Position 2751: 0.0011477687487199515
Position 6547: 0.0011249020851874236
Position 6615: 0.00100779522397897
Position 3696: 0.001005610713093033
Position 5787: 0.0009403747398069622
Position 3856: 0.0009325705778882795
Position 7293: 0.0009320669355546294
Position 1561: 0.0009216990776197868
Position 6415: 0.0009122979726100129
Position 6175: 0.0009023327993163304
Position 716: 0.0008933446238000268
Position 1815: 0.0008401653263650353
Position 1454: 0.0007425970306999305
