Gene = DOR
index = 1128
Annotated 5SS: [  442 11552 12320 12721]
Annotated 3SS: [10876 11838 12485 12796]
SMsplice 5SS: [   78 11552 12230 12721]
SMsplice 3SS: [10876 11838 12485 12796]
top_k =  1000
Partition function (log Z): 11.583487196984557

Sorted 5' Splice Sites (High to Low Probability):
Position 12721: 0.9965081051399557
Position 11552: 0.9953763453447075
Position 78: 0.6735965940154364
Position 12320: 0.49890201490002123
Position 12230: 0.4756423716317234
Position 442: 0.313266394908243
Position 13044: 0.09823000703308789
Position 2469: 0.056595317431333995
Position 2765: 0.050060855234078376
Position 11731: 0.04418750480766754
Position 692: 0.03137257080162981
Position 10427: 0.02671476538386854
Position 2945: 0.02089141168394969
Position 11774: 0.01850406196186569
Position 7515: 0.016796399210122458
Position 11943: 0.012133781893827201
Position 1688: 0.010993502721699733
Position 5608: 0.010769722989275098
Position 11733: 0.009290478679288762
Position 1751: 0.008628021287264401
Position 11174: 0.008041931344745372
Position 11706: 0.006997858026456297
Position 12425: 0.006849525777431522
Position 2104: 0.006733521360188141
Position 1373: 0.0056484160722159015
Position 11181: 0.004830036973062513
Position 9143: 0.0047690487144364715
Position 11532: 0.003746235453019237
Position 6261: 0.0028181528295264193
Position 1812: 0.002795965900981618
Position 5209: 0.002672718219138069
Position 12747: 0.0025577893942936697
Position 971: 0.0024634924460404423
Position 12152: 0.002388923243358136
Position 2835: 0.002384236021707011
Position 2365: 0.0022460806194218625
Position 304: 0.0021112951086180386
Position 995: 0.0017772467018540281
Position 82: 0.0017133194759629045
Position 8261: 0.001481175710050922
Position 7916: 0.001270519333413916
Position 4253: 0.0012192367277667191
Position 12234: 0.0011356186043963408
Position 6877: 0.0011254065291552706
Position 9123: 0.0010333209459762642
Position 283: 0.0008610030230974848
Position 8755: 0.0008304044718598943
Position 7633: 0.0008060175709497721
Position 13509: 0.0007805649163837934
Position 7179: 0.0007481677235522606
Position 1402: 0.0007246576914889418
Position 1798: 0.0007039815391831338
Position 12920: 0.0006841395440505064
Position 12857: 0.0005739712593097412
Position 10934: 0.0005499935018417963
Position 12713: 0.0005120956885737833
Position 400: 0.000509463715539586
Position 12202: 0.0004919693904139642
Position 4216: 0.00045414817479796693
Position 2613: 0.0004495141798290576
Position 1160: 0.00044564178556630486
Position 3488: 0.00037513277234084387
Position 12324: 0.00034583260232557014
Position 2876: 0.00032741249400474755
Position 12184: 0.00031284281291976733
Position 12336: 0.00023946618667423114
Position 13221: 0.0002101557291428289
Position 11917: 0.0002030468046083659
Position 13273: 0.0001666001206508413
Position 1960: 0.00016263319050714508
Position 2369: 0.00014819195871535896
Position 11757: 0.00013889853141021738
Position 12013: 0.00013704266678475592
Position 13089: 0.00011774101737565676
Position 12103: 0.00010664744528062765
Position 12210: 0.00010420847592260382
Position 2610: 0.00010402194261256149
Position 1757: 9.19104189672758e-05
Position 11898: 8.910563831242643e-05
Position 13575: 7.136087167785112e-05
Position 12060: 7.114467670946773e-05
Position 13587: 6.940616212612185e-05
Position 2560: 6.87229935696877e-05
Position 11737: 6.720913813888729e-05
Position 993: 6.515020564782062e-05
Position 119: 6.23620064989933e-05
Position 11949: 5.5650145175019884e-05
Position 214: 5.087448609919777e-05
Position 287: 4.948398607546578e-05
Position 11635: 4.636648201773116e-05
Position 1859: 4.163719809730567e-05
Position 12707: 3.94597332664408e-05
Position 11966: 3.753318303831345e-05
Position 1505: 3.6912708940365344e-05
Position 177: 3.6256356850467083e-05
Position 12008: 3.612720207327348e-05
Position 12949: 3.4994437052904966e-05
Position 11717: 3.4690331677791035e-05
Position 13598: 3.385170287431106e-05
Position 1137: 3.379526524560444e-05
Position 1796: 3.365595223068273e-05
Position 811: 3.1458612761333356e-05
Position 11892: 3.0350892954343774e-05
Position 1170: 2.901605736393348e-05
Position 2055: 2.8685193392270328e-05
Position 12753: 2.723313027313536e-05
Position 2591: 2.7140728502555455e-05
Position 2574: 2.713128742386579e-05
Position 185: 2.678570609841877e-05
Position 13591: 2.6349995339432468e-05
Position 11623: 2.551048022750196e-05
Position 11592: 2.198918233910065e-05
Position 2569: 2.0648571875121784e-05
Position 11889: 1.8382639042200966e-05
Position 2446: 1.7725928066942934e-05
Position 12349: 1.5973730368033218e-05
Position 13265: 1.5369580254249165e-05
Position 1873: 1.327551541362683e-05
Position 2454: 1.324001056187751e-05
Position 11735: 1.1788846003760895e-05
Position 12377: 9.33785703406983e-06
Position 4370: 9.239180328261101e-06
Position 13530: 8.77201903083752e-06
Position 99: 8.12493981336504e-06
Position 12679: 8.092478599422885e-06
Position 4255: 7.664327588766746e-06
Position 12224: 6.806777404796174e-06
Position 13448: 6.503127925721035e-06
Position 1770: 6.4253993207137705e-06
Position 446: 6.3591356277914206e-06
Position 13571: 5.939228323070281e-06
Position 13277: 5.8316333489417605e-06
Position 11991: 5.801880461779671e-06
Position 781: 5.658000499797376e-06
Position 607: 5.494400618628846e-06
Position 13534: 5.424004135404516e-06
Position 591: 5.363438523163822e-06
Position 13596: 5.228246241690963e-06
Position 12684: 4.935411035760699e-06
Position 11539: 4.8117100778917555e-06
Position 11559: 4.8084494699326385e-06
Position 936: 4.7500085383547125e-06
Position 11556: 4.666134754753936e-06
Position 3974: 4.3291145863489945e-06
Position 13547: 4.111574755645691e-06
Position 12503: 3.947145738553828e-06
Position 567: 3.588707903005052e-06
Position 11329: 3.194212679796837e-06
Position 3993: 3.0043951117945734e-06
Position 1181: 2.9964710159205995e-06
Position 3967: 2.8063929887631893e-06
Position 13414: 2.3294259873652995e-06
Position 359: 1.802376267971236e-06
Position 11383: 1.7110929381313035e-06
Position 1554: 1.6023426175121604e-06
Position 1391: 1.443967067685314e-06
Position 251: 1.3048309846757325e-06
Position 189: 1.2316615869064519e-06
Position 11049: 1.0833923150480715e-06
Position 13219: 1.0432760429706118e-06
Position 1477: 1.0367151301118196e-06
Position 1836: 1.0340984394991842e-06
Position 375: 1.0084845068219888e-06
Position 221: 9.681353834924762e-07
