Gene = CG12984
index = 169
Annotated 5SS: [488]
Annotated 3SS: [921]
SMsplice 5SS: [488]
SMsplice 3SS: [921]
top_k =  1000
Partition function (log Z): -5.834969632938933

Sorted 5' Splice Sites (High to Low Probability):
Position 488: 0.6787838850919121
Position 859: 0.2559776250527491
Position 484: 0.19042682819804593
Position 849: 0.06655213443037801
Position 862: 0.05318247095096991
Position 215: 0.03993444243604605
Position 122: 0.013591127029990276
Position 554: 0.012229313860998008
Position 134: 0.0028391492174231793
Position 1172: 0.0023157507960565762
Position 545: 0.0015627925208821355
Position 1084: 0.0009305782835259817
Position 314: 0.000663414320954465
Position 492: 0.0006441009258421987
Position 469: 0.0005412471529425903
Position 91: 0.000506188038115376
Position 1114: 0.00045093505146029904
Position 1125: 0.00043743739276321094
Position 789: 0.0004122447611487528
Position 778: 0.00020245434058400997
Position 770: 0.00019212806445005387
Position 255: 0.0001891580196009057
Position 878: 0.00018903148240627206
Position 588: 0.0001829808997864936
Position 764: 0.00016815159502825975
Position 695: 0.00015881919977460052
Position 510: 9.104975629897112e-05
Position 1028: 8.986743107504881e-05
Position 774: 7.971852195581414e-05
Position 481: 7.310018474005794e-05
Position 1007: 6.287789302648479e-05
Position 532: 4.9391130805242115e-05
Position 13: 4.9236498803125256e-05
Position 811: 3.452342883992126e-05
Position 449: 3.312993243108402e-05
Position 529: 3.2630477807202554e-05
Position 1089: 3.0271596120454728e-05
Position 339: 2.8991847262115858e-05
Position 507: 2.3585635983680608e-05
Position 1000: 1.8169227954816412e-05
Position 597: 1.64693898949632e-05
Position 435: 1.5598461411276312e-05
Position 410: 1.5577112066325163e-05
Position 881: 1.1856497386866311e-05
Position 721: 7.653039080880108e-06
Position 748: 4.35258930834105e-06
Position 1176: 3.6661887172161075e-06
Position 142: 3.151010214893436e-06
Position 1201: 1.896254428251875e-06
Position 81: 1.392523696239895e-06
Position 907: 1.316207351069701e-06
Position 111: 9.096744469257748e-07
Position 885: 7.856911949317761e-07
Position 1193: 6.676960755018923e-07
Position 1158: 6.289635828501414e-07
Position 647: 5.108158746715482e-07
Position 1096: 4.2371134944318447e-07
Position 1205: 2.996834028429904e-07
Position 93: 5.299319772789828e-08
Position 49: 3.01002453008293e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 921: 0.9800647486781088
Position 695: 0.22183482991546943
Position 597: 0.02933445469653036
Position 289: 0.027678038402304272
Position 721: 0.01820492009081983
Position 538: 0.00965738852588985
Position 658: 0.007420708470656938
Position 302: 0.004715663490575114
Position 182: 0.004586615330255184
Position 582: 0.003919879720257198
Position 527: 0.0028707156273934734
Position 1250: 0.002615130534073511
Position 655: 0.0020241126167362586
Position 1201: 0.0018557333909647385
Position 764: 0.0014579719510253077
Position 625: 0.001256057563504765
Position 554: 0.000860964152623579
Position 174: 0.0006723125301399272
Position 194: 0.0004905974576984865
Position 551: 0.000470184494764642
Position 389: 0.00042311318854933004
Position 847: 0.0002574692593323914
Position 1143: 0.0002474361580667656
Position 320: 0.0001772820828670087
Position 335: 0.00016624790740914973
Position 858: 0.00014155399267580635
Position 1064: 0.00011280506045851309
Position 988: 0.00011135392856603277
Position 804: 7.90878372787669e-05
Position 384: 5.1754196777700016e-05
Position 663: 4.20238941097162e-05
Position 402: 3.685134993817264e-05
Position 1176: 3.106657474066503e-05
Position 940: 2.5311526473054912e-05
Position 90: 2.1967468585851058e-05
Position 426: 1.8156400414215006e-05
Position 219: 1.5544543853411296e-05
Position 1084: 1.53827710542459e-05
Position 996: 1.3727388077550808e-05
Position 228: 1.3318381298178182e-05
Position 1087: 1.3261099235941873e-05
Position 435: 9.164405218747285e-06
Position 979: 7.124470799387937e-06
Position 474: 4.884462748574219e-06
Position 665: 4.6338042931303285e-06
Position 153: 3.2782179805770164e-06
Position 138: 2.834014550506415e-06
Position 235: 2.0137971733185957e-06
Position 62: 1.2661217541645776e-06
Position 344: 1.1065697663967707e-06
Position 1145: 9.265031556398591e-07
Position 999: 8.682529003121377e-07
Position 58: 7.227090959269343e-07
Position 159: 7.056974428068497e-07
Position 417: 5.435872877931768e-07
Position 408: 5.001245375639711e-07
Position 87: 4.4027333981380935e-07
Position 1122: 3.897965213104578e-07
Position 443: 3.5674053378122244e-07
Position 64: 2.677064546270163e-07
Position 150: 2.501347100008001e-07
Position 189: 1.1369943558757592e-07
Position 468: 1.2938678395590266e-08
Position 111: 7.157158603807433e-09
Position 69: 5.0569715457759255e-09
Position 222: 4.387569787118429e-09
Position 495: 4.256971300797707e-09
Position 108: 1.7450460666559414e-09
Position 540: 1.2788975360912083e-09
Position 99: 6.696825637925116e-10
Position 78: 2.7477686368108424e-11
Position 410: 1.4498189041750707e-11
Position 121: 5.6117301026575286e-12
Position 119: 2.0478926317666116e-12
