Gene = ND-B22
index = 1302
Annotated 5SS: [269 487]
Annotated 3SS: [346 545]
SMsplice 5SS: [269 487]
SMsplice 3SS: [346 545]
top_k =  1000
Partition function (log Z): -4.1510209832714695

Sorted 5' Splice Sites (High to Low Probability):
Position 269: 0.9891071058386023
Position 487: 0.5407981906718566
Position 789: 0.08980127079139615
Position 755: 0.047560058338173124
Position 502: 0.03231278731224501
Position 691: 0.03197906339377741
Position 703: 0.008554248263207182
Position 257: 0.005736592927604188
Position 750: 0.003114753386876487
Position 896: 0.001806545697757167
Position 679: 0.000997075664285904
Position 894: 0.0008241001188332102
Position 529: 0.00018410248715723123
Position 833: 0.00015680887480222307
Position 584: 0.00014386003786785563
Position 131: 0.00013864468547864365
Position 507: 6.354495138134819e-05
Position 514: 5.7086135235646644e-05
Position 907: 5.70233799333847e-05
Position 683: 5.2027705601511296e-05
Position 254: 3.345174131680946e-05
Position 213: 3.309459950980734e-05
Position 828: 3.128690931758806e-05
Position 520: 2.8293995649782552e-05
Position 646: 2.643397783287477e-05
Position 24: 2.6091701266358447e-05
Position 779: 2.6035843788302064e-05
Position 315: 2.27626007708017e-05
Position 110: 1.9467565670601992e-05
Position 107: 1.8582932249464822e-05
Position 830: 1.5825070019674383e-05
Position 814: 1.5656635411129417e-05
Position 273: 1.4063560352994446e-05
Position 637: 1.0319511351452224e-05
Position 113: 9.976803213178137e-06
Position 251: 8.036022893203759e-06
Position 325: 7.905572940978192e-06
Position 161: 6.644719893031248e-06
Position 439: 5.5465591644127796e-06
Position 539: 4.688685044224617e-06
Position 846: 2.3386055594019153e-06
Position 542: 2.1191024053771074e-06
Position 224: 9.300445583048505e-07
Position 518: 8.231504203022686e-07
Position 561: 5.798185595564743e-07
Position 951: 2.0504110209543006e-07
Position 30: 1.5787697139785922e-07
Position 379: 3.1415417475302564e-08
Position 215: 3.0825495200415707e-08
Position 180: 1.146938603204685e-08
Position 567: 1.0507383428025654e-08
Position 328: 1.0101725499952517e-08
Position 116: 8.125284248075922e-09
Position 602: 7.171953880435812e-09
Position 369: 6.64535465396662e-09
Position 351: 3.4852319456898437e-09
Position 555: 3.2691162887458207e-09
Position 531: 8.646081288029554e-10
Position 195: 5.813502235588644e-10
Position 533: 5.219830944122038e-10
Position 545: 8.839894026278901e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 346: 0.8618042867391612
Position 545: 0.586099139105118
Position 950: 0.13462569821653944
Position 374: 0.0593221320074174
Position 555: 0.042022946610937986
Position 990: 0.02675208674207593
Position 846: 0.025485577710506153
Position 927: 0.005650767140031097
Position 894: 0.005124505411111133
Position 915: 0.003960471331998367
Position 408: 0.0007732305260701199
Position 789: 0.0007443332390054782
Position 970: 0.0003892881069584633
Position 748: 0.0002717324329036438
Position 631: 0.00013538188769827105
Position 667: 0.00012762787009522862
Position 583: 0.00010820472009577581
Position 206: 9.89695770720922e-05
Position 628: 5.9815521002006486e-05
Position 315: 4.710850556491447e-05
Position 161: 4.639077818918186e-05
Position 658: 4.396894197973068e-05
Position 71: 2.3688467760265787e-05
Position 1002: 2.1285110716974953e-05
Position 180: 1.5742094875958607e-05
Position 995: 1.5339261927592656e-05
Position 435: 1.2849094209121454e-05
Position 703: 9.073022910188257e-06
Position 967: 7.3820365554588136e-06
Position 637: 5.903778834016161e-06
Position 212: 5.488510825279963e-06
Position 77: 2.1495549134068976e-06
Position 581: 1.96737458159317e-06
Position 700: 5.613162037031265e-07
Position 476: 3.864689867662651e-07
Position 220: 3.051653184091839e-07
Position 104: 1.2847704574302797e-07
Position 448: 1.018177363917512e-07
Position 646: 9.867293934794387e-08
Position 249: 9.025834233723726e-08
Position 311: 5.059215642811139e-08
Position 664: 2.6885695490081754e-08
Position 724: 1.9324206912263422e-08
Position 287: 1.1436768284623678e-08
Position 466: 6.117165368954823e-09
Position 85: 4.66129532123134e-09
Position 273: 4.6331674810119215e-09
Position 134: 2.9114105346723393e-09
Position 230: 1.584924831668536e-09
Position 697: 1.0270641771466218e-09
Position 750: 6.118985721549322e-10
Position 676: 5.516167610369511e-10
Position 461: 2.294263848446676e-10
Position 234: 1.333429229673343e-10
Position 419: 4.8630202886090747e-11
Position 452: 1.9224679770501682e-11
Position 251: 7.786831667526249e-12
Position 87: 6.204296085624701e-17
