Gene = Nopp140
index = 1326
Annotated 5SS: [ 204 2056 2456]
Annotated 3SS: [ 405 2296 3208]
SMsplice 5SS: [ 204 2056 2456 3112 3332]
SMsplice 3SS: [ 405 2125 2692 3208 3442]
top_k =  1000
Partition function (log Z): 1.8077125413194117

Sorted 5' Splice Sites (High to Low Probability):
Position 2456: 0.978875306802372
Position 204: 0.9674080807099696
Position 2056: 0.9349101894679525
Position 3332: 0.7541488575712607
Position 3112: 0.7024744741636294
Position 23: 0.05031739945568468
Position 2183: 0.013328925877902057
Position 59: 0.011054037274344983
Position 3318: 0.008068848047658995
Position 3116: 0.0070633933577669
Position 2487: 0.006173915346199409
Position 2483: 0.0036098946359021827
Position 1303: 0.0033947585955897185
Position 3338: 0.0027493638078132524
Position 3684: 0.002222753404506567
Position 351: 0.0021087864489947373
Position 868: 0.002067620406714208
Position 3564: 0.0014351668021003836
Position 3660: 0.0012171746872957382
Position 2396: 0.001043152952293043
Position 3511: 0.0009093638735722878
Position 2808: 0.0008998086629355678
Position 358: 0.0007962463421885198
Position 43: 0.0007614948742309842
Position 1105: 0.0007128111915498205
Position 2066: 0.0006992806868797858
Position 793: 0.0006212382322069834
Position 2491: 0.0005126160678179981
Position 2163: 0.0004084412832339645
Position 2079: 0.00040645593936466115
Position 180: 0.0003343953533770741
Position 2788: 0.00029046006556575983
Position 2572: 0.000259826743119309
Position 2022: 0.0002531794197074598
Position 3030: 0.0002520016171955428
Position 3018: 0.00024390089836970978
Position 27: 0.00022238077027334605
Position 266: 0.00020516609604219496
Position 2141: 0.0001996521712679611
Position 3635: 0.00018276428453994765
Position 2489: 0.00017770157873011897
Position 3455: 0.00017172828623703124
Position 2268: 0.0001582067611375459
Position 3064: 0.00014082372918665332
Position 2064: 0.00011466417932415782
Position 21: 7.55437134443676e-05
Position 432: 7.304562208803145e-05
Position 3630: 6.482356211311215e-05
Position 1166: 6.376961772800088e-05
Position 3491: 5.250764241848119e-05
Position 93: 5.03495065059875e-05
Position 10: 5.031099493141882e-05
Position 1901: 4.903627479391686e-05
Position 2248: 4.903204934558951e-05
Position 3821: 4.093914981703105e-05
Position 242: 3.579883597559319e-05
