Gene = Ssb-c31a
index = 1525
Annotated 5SS: [156]
Annotated 3SS: [211]
SMsplice 5SS: [156]
SMsplice 3SS: [211]
top_k =  1000
Partition function (log Z): -3.435318909532691

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.998758039297121
Position 515: 0.0037157498451660855
Position 323: 0.0018303488804184984
Position 518: 0.0010676652550174605
Position 186: 0.0010584616892002055
Position 528: 0.0005546967380316143
Position 493: 0.00022041167386331457
Position 160: 8.126065779237387e-05
Position 195: 6.019847137334324e-05
Position 370: 3.524471411073864e-05
Position 356: 2.8561422530738286e-05
Position 213: 1.868405258660572e-05
Position 464: 1.398825050296554e-05
Position 27: 1.1380283393066422e-05
Position 288: 6.034806892036892e-06
Position 452: 4.428258123894873e-06
Position 345: 2.5734365656548397e-06
Position 337: 2.1613415191628085e-06
Position 145: 1.5932838186799714e-06
Position 8: 1.3419773069865866e-06
Position 68: 2.317851398769349e-07
Position 77: 6.156046242939001e-08
Position 125: 5.442487138815392e-08
Position 63: 3.3541697038131474e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 211: 0.9744970047242889
Position 263: 0.023518928405844863
Position 576: 0.007297510861226836
Position 220: 0.0010373643902581605
Position 272: 0.000560255004346347
Position 409: 0.00013144548524363043
Position 382: 8.807671661258924e-05
Position 406: 8.451637575983078e-05
Position 228: 6.084438274900038e-05
Position 439: 5.947786204584366e-05
Position 311: 3.8233111837191504e-05
Position 540: 3.346043009505927e-05
Position 452: 2.877947802928446e-05
Position 322: 1.716715597718532e-05
Position 235: 6.112604688062561e-06
Position 232: 3.858376365405744e-06
Position 113: 2.8377625529431863e-06
Position 515: 2.1603274407479702e-06
Position 241: 1.06207531908987e-06
Position 116: 7.824524033762071e-07
Position 521: 7.592823763635789e-07
Position 493: 7.143505007930064e-07
Position 464: 6.547975916775052e-07
Position 461: 3.37423608126446e-07
Position 368: 2.805796180943508e-07
Position 185: 2.7566814870205525e-07
Position 132: 1.991495214068814e-07
Position 119: 5.2340019456505965e-08
Position 136: 2.9385950082301586e-08
Position 370: 1.3350292473119435e-08
Position 481: 4.03118005744385e-09
Position 337: 3.0072889826454306e-09
Position 150: 1.774469537695713e-09
Position 195: 1.0178486149913275e-09
Position 142: 8.562477289045346e-10
Position 168: 6.497170228163838e-10
Position 160: 4.1840294218987894e-14
