Gene = msd1
index = 1800
Annotated 5SS: [75]
Annotated 3SS: [129]
SMsplice 5SS: [75]
SMsplice 3SS: [129]
top_k =  1000
Partition function (log Z): -7.452775984501802

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9913599560605115
Position 485: 0.021681695844475896
Position 61: 0.0026269719431925957
Position 427: 0.00036424491775513134
Position 40: 0.0002611131875550206
Position 269: 0.00023175564298879068
Position 3: 0.00017029308539807112
Position 423: 6.677441591953172e-05
Position 453: 2.8579434859527618e-05
Position 235: 2.22134129429912e-05
Position 50: 4.266079098878006e-06
Position 343: 4.213208181754035e-06
Position 243: 3.5890215160710207e-06
Position 188: 1.6133460951307026e-06
Position 435: 1.4127902880450376e-06
Position 251: 6.987519841851802e-07
Position 335: 6.606264035301736e-07
Position 215: 4.7628060245406174e-07
Position 402: 1.228384895660624e-07
Position 104: 9.789425856426248e-08
Position 114: 3.134156386828152e-08
Position 302: 8.390395779250222e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 129: 0.9848858931170362
Position 544: 0.022145589811538476
Position 143: 0.009056684897365044
Position 340: 0.0002646462289455995
Position 343: 0.0001542087288233625
Position 223: 8.684304059101545e-05
Position 158: 7.826781821428452e-05
Position 524: 2.2665479080559668e-05
Position 394: 1.804619016979564e-05
Position 235: 1.7925639296820504e-05
Position 227: 1.770584925737907e-05
Position 308: 1.559503879886648e-05
Position 280: 1.4109695105173746e-05
Position 266: 1.1875638513978897e-05
Position 263: 1.156874139461646e-05
Position 239: 1.0384505472222681e-05
Position 167: 5.056393493729444e-06
Position 257: 2.6670401531652967e-06
Position 171: 2.3267154716690963e-06
Position 418: 1.650236195801298e-06
Position 356: 1.5289472243969201e-06
Position 215: 1.38294539224967e-06
Position 326: 1.0665810360238818e-06
Position 476: 7.398524875856204e-07
Position 293: 6.065573535954936e-07
Position 509: 5.691408609746393e-07
Position 350: 5.38698989978873e-07
Position 431: 2.319577649469082e-07
Position 317: 2.0279830375164036e-07
Position 485: 7.842816081987166e-08
Position 185: 5.000072164185246e-08
Position 377: 2.6309081267974457e-08
Position 367: 1.983361526148621e-08
Position 461: 1.2171378970915365e-08
Position 467: 9.345734780103507e-09
Position 480: 9.220226021724855e-09
Position 287: 1.8509828616602645e-09
Position 482: 1.5654211801070554e-09
Position 407: 1.4079736543138248e-09
Position 497: 6.179414910288157e-11
Position 493: 3.505442451557814e-11
Position 176: 1.645147657971482e-18
Position 359: 1.655203200376107e-19
