Gene = Aatf
index = 5
Annotated 5SS: [1450]
Annotated 3SS: [1511]
SMsplice 5SS: [1450]
SMsplice 3SS: [1511]
top_k =  1000
Partition function (log Z): -4.612618761167505

Sorted 5' Splice Sites (High to Low Probability):
Position 1450: 0.9920346235945577
Position 686: 0.10812849083708866
Position 39: 0.027386820727130366
Position 501: 0.01863579757671138
Position 1618: 0.012447066733372501
Position 1084: 0.0073231221909201335
Position 232: 0.004326534154259454
Position 1464: 0.0042329586666263195
Position 1018: 0.0036281527473375806
Position 1060: 0.0035070867615656655
Position 967: 0.0032104229889014122
Position 36: 0.002572031126131329
Position 1454: 0.0025048769647294366
Position 621: 0.002227742806867104
Position 868: 0.0018363643282391848
Position 1605: 0.001809214157756108
Position 492: 0.0016823325354386536
Position 131: 0.0013786587866710972
Position 48: 0.0010501704317512274
Position 1095: 0.0010458704452748922
Position 374: 0.0009802430828382896
Position 872: 0.0006882828804307007
Position 562: 0.00043480307787115537
Position 1584: 0.0004180922461185138
Position 971: 0.00039752720921490235
Position 1638: 0.00031950676830534307
Position 1593: 0.0002752988933306452
Position 300: 0.000273291639283389
Position 541: 0.00021959182967309053
Position 1002: 0.00020031687957519382
Position 278: 0.0001713499288389743
Position 1590: 0.00015756071168240607
Position 1415: 0.00015468891026687465
Position 8: 0.0001520817086752359
Position 1023: 0.00014594941629306782
Position 691: 0.00013303806362651777
Position 793: 0.00011486776900977751
Position 376: 0.00010274058775557274
Position 1073: 6.531027126003429e-05
Position 1010: 6.300814792154436e-05
Position 1078: 4.735148641327588e-05
Position 430: 3.4566620213945334e-05
Position 931: 2.9175132572652998e-05
Position 84: 2.622040345177366e-05
Position 337: 2.1202780939443762e-05
Position 212: 1.839185546994822e-05
Position 1676: 1.5261612564732152e-05
Position 1028: 1.3512156721946243e-05
Position 30: 1.1119950100856708e-05
Position 1609: 8.303620258600798e-06
Position 762: 6.3126973252581384e-06
Position 1559: 5.168213816962207e-06
Position 894: 4.933146930436433e-06
Position 1372: 2.8534245231918303e-06
Position 207: 1.8873497534310899e-06
Position 1327: 6.961449663476357e-07
Position 97: 3.853772612801817e-07
Position 1210: 1.1070370374365071e-07
Position 119: 4.026497235854554e-08
Position 1202: 4.0196818548406056e-08
Position 1376: 3.94819422972815e-08
Position 1124: 3.446722344006038e-08
Position 1667: 2.4027133027276102e-08
Position 327: 1.24698797615472e-08
Position 55: 5.420489723406718e-09
Position 734: 1.7395870454233768e-09
Position 191: 7.687802409853312e-10
Position 1135: 3.88924813237422e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1511: 0.999511066661485
Position 745: 0.10878756842689562
Position 1144: 0.02981901850238824
Position 84: 0.015937126276208607
Position 1694: 0.010453352719783291
Position 81: 0.007092594990561573
Position 1309: 0.005362380243982394
Position 1306: 0.004876820529095372
Position 931: 0.004031113873481709
Position 1708: 0.002909362929356661
Position 1036: 0.002397546159561929
Position 109: 0.0015300942196799928
Position 1084: 0.0012732652298712063
Position 725: 0.0010512466924418654
Position 1744: 0.0009441870788612915
Position 427: 0.0009343219970803417
Position 115: 0.0008789458880655537
Position 793: 0.0007505907473671022
Position 1705: 0.000715098733200755
Position 1264: 0.000694259841060765
Position 103: 0.0005570193230337172
Position 935: 0.0005221815202202883
Position 1168: 0.00047202067479648515
Position 1648: 0.0004127269508552933
Position 200: 0.000406309387736512
Position 577: 0.0003926865909284777
Position 1147: 0.0003282123770535986
Position 298: 0.0003197675985298168
Position 777: 0.0002445894608199475
Position 710: 0.00023864723243758828
Position 1290: 0.00022223018020236469
Position 1135: 0.00021898448228066262
Position 1073: 0.0001852377539950418
Position 1176: 0.00018444879456235334
Position 801: 0.00018174197425129685
Position 1118: 0.00016894910749482256
Position 562: 0.00013943939260575394
Position 580: 0.00012766487385332595
Position 97: 0.00012621525068636806
Position 1372: 0.00011484165485812218
Position 541: 0.00011403579706500875
Position 527: 0.00010448996464435496
Position 913: 9.496332094014079e-05
Position 1225: 8.833576616005498e-05
Position 160: 7.470863032097834e-05
Position 946: 6.764469122928183e-05
Position 772: 6.443633787703378e-05
Position 130: 5.434209487965804e-05
Position 1530: 5.223103546919347e-05
