Gene = rhea
index = 1856
Annotated 5SS: [15322 16617 17085 17336 17474 18036 18188 18634 19095 23744 24001 26084
 26661 27677 28472]
Annotated 3SS: [16357 16685 17143 17394 17531 18098 18544 18977 19155 23809 25966 26144
 27016 27896 28529]
SMsplice 5SS: [   32 10971 16617 17085 17336 17474 18036 18188 18634 19095 19528 23744
 24001 26084 26661 27677 28472]
SMsplice 3SS: [10729 16357 16685 17143 17394 17531 18098 18544 18977 19155 23338 23809
 25966 26144 27016 27896 28529]
top_k =  1000
Partition function (log Z): 50.42421730933042

Sorted 5' Splice Sites (High to Low Probability):
Position 19095: 0.9997743582279219
Position 26084: 0.9997228542464497
Position 26661: 0.9991910332395618
Position 24001: 0.9987507886989688
Position 17336: 0.9986483217016712
Position 18036: 0.9971893880206398
Position 18188: 0.9959372429818104
Position 23744: 0.9955814153029643
Position 16617: 0.9901322634428014
Position 17085: 0.9880641385313784
Position 18634: 0.9742144012155274
Position 28472: 0.9699462691967105
Position 10971: 0.9686269752789597
Position 17474: 0.9524684539882954
Position 27677: 0.36988136034344515
Position 32: 0.2934424493871142
Position 18907: 0.2684735497138153
Position 11916: 0.24971032729695955
Position 19528: 0.24340042666694092
Position 89: 0.2240482469575792
Position 19360: 0.2224906254027194
Position 28649: 0.20025478603591915
Position 27180: 0.1954054352643647
Position 438: 0.18548906514598149
Position 28078: 0.17521455527964042
Position 462: 0.12791592654781425
Position 19234: 0.1180812369144911
Position 13646: 0.08523261580492661
Position 27652: 0.078634321218114
Position 25521: 0.07582248342071109
Position 10590: 0.06534452617682647
Position 28821: 0.06211979736290793
Position 19372: 0.061346073280684095
Position 249: 0.06102286094804413
Position 835: 0.05018511002645182
Position 19532: 0.04787110506339819
Position 28204: 0.041107510340767116
Position 19724: 0.03905041165179322
Position 24254: 0.03564715084483173
Position 25252: 0.032946790161011166
Position 23059: 0.03206180356353432
Position 27098: 0.031347046763959545
Position 27504: 0.029660340487429097
Position 27642: 0.028858682358789595
Position 27840: 0.02804951109426966
Position 1875: 0.02797575700939492
Position 27350: 0.02769153832688285
Position 16827: 0.02687176793147758
Position 19576: 0.022165172590935932
Position 27587: 0.021676049272119656
Position 25: 0.02146518041820759
Position 20215: 0.020790610208895693
Position 753: 0.019230440093834608
Position 12410: 0.018190632229088
Position 1010: 0.016030122497676387
Position 12143: 0.013709447512771256
Position 27263: 0.012443060638869857
Position 20071: 0.01223970413076831
Position 12534: 0.011317409648593367
Position 19957: 0.011004015730707757
Position 20044: 0.010929228762845983
Position 10981: 0.010648900503117184
Position 7332: 0.010268586334536707
Position 26944: 0.009887956480990404
Position 19202: 0.009854230668819004
Position 24231: 0.009626913931057789
Position 25860: 0.008860635799686864
Position 11793: 0.008845165033377952
Position 12087: 0.008802177508331606
Position 19768: 0.008257862992805964
Position 12551: 0.008240169826803435
Position 446: 0.00817923346124585
Position 7324: 0.008035734488453251
Position 27824: 0.007996325276459208
Position 27543: 0.0078112348922650746
Position 656: 0.007803689861072998
Position 12543: 0.0077719896099189036
Position 591: 0.007645948436031152
Position 4509: 0.0075667569150042815
Position 12547: 0.00743064044278646
Position 9576: 0.0071902075820552405
Position 27817: 0.006505740809746881
Position 8283: 0.006371436133588697
Position 5184: 0.006208373841346104
