Gene = mtRNApol
index = 1802
Annotated 5SS: [ 358  562 1001 1213 2018 3215 4495]
Annotated 3SS: [ 423  615 1056 1266 2074 3271 4552]
SMsplice 5SS: [ 358  562 1001 1213 2018 3215 4495]
SMsplice 3SS: [ 423  615 1056 1266 2074 3271 4552]
top_k =  1000
Partition function (log Z): 16.962896916451616

Sorted 5' Splice Sites (High to Low Probability):
Position 562: 0.9991807209904522
Position 358: 0.9970551831174952
Position 4495: 0.9949055722024668
Position 3215: 0.9927409934907755
Position 1001: 0.9715095562937534
Position 1213: 0.8929932584422017
Position 2018: 0.8812388081833689
Position 1355: 0.05883451212083675
Position 1418: 0.052628892947194375
Position 1576: 0.05147951643111468
Position 70: 0.030894029402094316
Position 2294: 0.02217435698007534
Position 3476: 0.01820399641120062
Position 1006: 0.016590935876447412
Position 2022: 0.015895704777384046
Position 778: 0.013763736267905839
Position 1357: 0.010423302972835755
Position 2540: 0.008966496066759172
Position 4667: 0.006619246569971161
Position 2327: 0.005548677459407627
Position 897: 0.005160934984770789
Position 759: 0.005160645138590936
Position 4835: 0.0044191870850406
Position 4843: 0.004167887612509762
Position 786: 0.00327969489478833
Position 74: 0.003270459783651715
Position 2397: 0.0031510264840948566
Position 3196: 0.002890601216362034
Position 2162: 0.0028787170343147384
Position 2510: 0.0028467311616988413
Position 3872: 0.002819703589261793
Position 273: 0.0027295862966711
Position 1201: 0.002302552152011901
Position 3493: 0.001993988461152334
Position 2878: 0.0019160858267202134
Position 1220: 0.0013370357671486008
Position 3178: 0.0011414934189958165
Position 918: 0.0011236793387295213
Position 2200: 0.0007596610143665192
Position 2820: 0.0007577924619854605
Position 2298: 0.0007377130892246758
Position 1529: 0.0007024319691667967
Position 2467: 0.000674393292201885
Position 4951: 0.000497172534842183
Position 3617: 0.0004625397775049807
Position 4117: 0.0003632657382624372
Position 3017: 0.00032880139414128215
Position 1705: 0.0002994443383932597
Position 1602: 0.0002990678519538053
Position 2963: 0.00029683916812032503
Position 60: 0.0002894906269758318
Position 3556: 0.0002733548675174417
Position 1996: 0.0002658529663954317
Position 94: 0.00025020222515003554
Position 32: 0.0002480007671500114
Position 3166: 0.0002453417887859474
Position 3595: 0.00023540878538312306
Position 1699: 0.00022909409403705679
Position 362: 0.0002081177800035416
Position 4653: 0.00020401525852915454
Position 4499: 0.00020265025233105662
Position 4716: 0.0002019405649260336
Position 757: 0.00019516269920141324
Position 4700: 0.00018983217139199385
Position 1361: 0.0001675379430811194
Position 379: 0.00016705389504791682
Position 37: 0.00016443507749239457
Position 3675: 0.00015823771677567767
Position 96: 0.0001575170997441572
Position 1157: 0.0001557952435303028
Position 4036: 0.00015532424963307
Position 2406: 0.00015062681390049749
Position 644: 0.00014715537338880617
Position 2996: 0.00014680008023933462
Position 3651: 0.00013431680560851189
Position 3423: 0.00013284175169363792
Position 2687: 0.00012060462330565825
Position 843: 0.00011678792845416238
Position 2949: 0.00010262959426177341
Position 2941: 9.681546566584199e-05
Position 3908: 8.505881243988366e-05
Position 4732: 7.619075528901453e-05
Position 4015: 7.391918138194406e-05
Position 1471: 6.884520662181537e-05
Position 1594: 6.737229404433935e-05
Position 3410: 6.441824975022002e-05
Position 884: 6.334188340009543e-05
Position 3559: 6.25393819376817e-05
Position 3372: 5.624905198682046e-05
Position 1649: 5.2892012760126155e-05
Position 4417: 4.982669347720938e-05
Position 1280: 4.7606540210086534e-05
Position 4225: 4.646365901598949e-05
Position 4665: 4.225609407810311e-05
Position 2714: 4.187419924712854e-05
Position 1286: 3.8330024158783244e-05
Position 3175: 3.8307374732761895e-05
Position 2699: 3.752554649933511e-05
Position 4719: 3.651450390656003e-05
Position 1832: 3.442860454998381e-05
Position 1359: 3.2020736988746196e-05
Position 4953: 3.0099557380697265e-05
Position 3732: 2.8658619049018504e-05
Position 3887: 2.7195245876912536e-05
Position 2554: 2.577269774163674e-05
Position 3980: 2.4390689713153583e-05
Position 3562: 2.3096375256021424e-05
Position 1975: 2.309579785465759e-05
Position 323: 2.2647743779105934e-05
Position 4726: 2.1346077559924814e-05
Position 5022: 2.0504533855174872e-05
Position 3899: 1.9776944887980225e-05
Position 3782: 1.8957146659729928e-05
Position 3219: 1.8339974127558628e-05
Position 1444: 1.4593456017846071e-05
Position 546: 1.310605079550691e-05
Position 2413: 1.2091426189222629e-05
Position 566: 1.1854172898672064e-05
Position 1841: 1.0040757661238689e-05
Position 173: 9.968332692175924e-06
Position 4978: 9.66988974099185e-06
Position 275: 8.988553752534872e-06
Position 1951: 7.578391635155664e-06
Position 651: 7.246731739376104e-06
Position 836: 7.222668769879468e-06
Position 72: 5.755406169508002e-06
Position 1190: 5.041128074393742e-06
Position 117: 4.46032985596082e-06
Position 595: 4.424549048958684e-06
Position 3105: 4.042156927672184e-06
Position 1561: 3.815968241404572e-06
Position 277: 3.7955564851994154e-06
Position 1428: 3.7479832855479365e-06
Position 4462: 3.5767685438364287e-06
Position 1558: 3.30548781826993e-06
Position 4199: 2.9844298345230697e-06
Position 3486: 2.9506878941361155e-06
Position 1172: 2.8086868466973366e-06
Position 144: 2.6950715836593743e-06
Position 1677: 2.389179691747939e-06
Position 2132: 2.2769843199368302e-06
Position 4342: 2.144046776494281e-06
Position 2984: 1.5240038640522232e-06
Position 649: 1.5117554369135943e-06
Position 1123: 1.3234344861494766e-06
Position 592: 1.2209136022006427e-06
Position 2254: 1.0681573490988565e-06
Position 187: 1.0522804348539727e-06
Position 4916: 9.989913288192714e-07
Position 309: 7.985034882466335e-07
Position 4744: 4.7175524125772537e-07
Position 5037: 4.707696517342761e-07
Position 137: 4.527631141823316e-07
Position 3777: 4.2569870875607863e-07
Position 161: 4.226896162920605e-07
Position 207: 3.238382417681118e-07
Position 225: 2.814103454808918e-07
Position 4903: 2.3416580328545088e-07
Position 4516: 2.2382618923724517e-07
Position 5032: 2.216865492820894e-07
Position 1772: 1.5367929446595525e-07
Position 1073: 1.2373062944836852e-07
Position 384: 1.1771652118313687e-07
Position 128: 1.0728553007726717e-07
Position 146: 8.623545687546861e-08
Position 1273: 7.359492044233175e-08
Position 1225: 6.625793110146424e-08
Position 1152: 6.259335718035614e-08
Position 585: 4.981057225609228e-08
Position 386: 4.550731124914762e-08
