Gene = Mis12
index = 1280
Annotated 5SS: [184 540]
Annotated 3SS: [246 651]
SMsplice 5SS: [184 540]
SMsplice 3SS: [246 651]
top_k =  1000
Partition function (log Z): 3.3117638129808

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.9908688387991061
Position 540: 0.9507725255901581
Position 20: 0.0434832126128484
Position 509: 0.03588256245392431
Position 570: 0.011053688866632392
Position 74: 0.008156537809010997
Position 547: 0.0011058174727349441
Position 802: 0.0005131221494645562
Position 6: 0.0002733819443707881
Position 55: 0.00023845351567346564
Position 458: 0.00017810365521385963
Position 853: 9.848004125091897e-05
Position 66: 9.07509483809833e-05
Position 188: 7.246276411922566e-05
Position 49: 4.206561679751496e-05
Position 473: 2.608943728737243e-05
Position 280: 2.565586304886582e-05
Position 170: 1.4208551032967428e-05
Position 907: 1.2819270823361216e-05
Position 286: 1.056238058442377e-05
Position 417: 1.0546244902622545e-05
Position 893: 1.0520642973436852e-05
Position 358: 8.076435594007782e-06
Position 361: 6.879393042015017e-06
Position 693: 6.622725562410069e-06
Position 745: 6.315217377960106e-06
Position 98: 6.3101711517163114e-06
Position 173: 6.177481894036856e-06
Position 217: 4.576906228828523e-06
Position 351: 2.7904966323199297e-06
Position 258: 2.7641211989807066e-06
Position 438: 2.213295864104257e-06
Position 419: 2.067568385156548e-06
Position 462: 1.955081725739372e-06
Position 426: 1.431638694461879e-06
Position 101: 2.2606580455677435e-07
Position 146: 2.0170778246935276e-07
Position 108: 2.7426339076853158e-08
Position 620: 6.57164092488294e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 651: 0.9984007780987921
Position 246: 0.959476139942546
Position 66: 0.025122728441725337
Position 127: 0.020154967003877873
Position 263: 0.015783375393167026
Position 290: 0.013186668932426593
Position 132: 0.0035026632173813365
Position 162: 0.0018545116631793392
Position 368: 0.0015490606536575577
Position 321: 0.0013931033628603515
Position 678: 0.0010052708747350333
Position 893: 0.00041590656030340096
Position 143: 0.00031638375733018104
Position 970: 0.00026842779464972694
Position 604: 0.00013428444897499144
Position 278: 9.327775189970528e-05
Position 275: 8.40678074581556e-05
Position 146: 8.208232713392348e-05
Position 302: 5.8316432132996015e-05
Position 308: 2.4765870086154266e-05
Position 344: 1.166337063985056e-05
Position 170: 1.1384013285918511e-05
Position 400: 9.467500693504126e-06
Position 720: 8.0737987557179e-06
Position 853: 7.463612644731882e-06
Position 473: 5.6621378236042e-06
Position 347: 5.531478668641559e-06
Position 383: 4.533382798913787e-06
Position 750: 4.243038528706477e-06
Position 336: 3.4623315660904756e-06
Position 925: 2.519346160242113e-06
Position 693: 2.499590782844789e-06
Position 813: 2.309644550274212e-06
Position 180: 2.2611779776952833e-06
Position 723: 1.8727053535046609e-06
Position 412: 1.6691356337107833e-06
Position 738: 1.168750485552128e-06
Position 690: 1.1268045335792058e-06
Position 907: 9.073460031233768e-07
Position 393: 8.251170230458048e-07
Position 215: 8.176944143834453e-07
Position 452: 7.553783493471219e-07
Position 684: 5.648423156791578e-07
Position 486: 3.5104684339848135e-07
Position 726: 3.0589865864438567e-07
Position 708: 1.238876964125444e-07
Position 341: 1.2040364320729572e-07
Position 780: 1.1968487331674873e-07
Position 687: 1.1548654065637493e-07
Position 417: 1.0058315050736176e-07
Position 802: 4.8439243785863585e-08
Position 494: 4.481419499517143e-08
Position 481: 3.7726250117560434e-08
Position 755: 3.656007817023939e-08
Position 491: 2.3937599747774067e-08
Position 488: 1.7183790055432105e-08
Position 497: 1.0479321547770306e-08
Position 550: 7.498695032579696e-09
Position 535: 6.788953211474659e-09
Position 188: 3.2576029277048083e-09
Position 819: 2.221333547213774e-09
Position 467: 1.3493475735813422e-09
Position 515: 9.539126195524014e-10
Position 500: 8.806701718834359e-10
Position 822: 4.555114664576912e-10
Position 524: 4.1250493615354657e-10
Position 786: 2.5181380340290524e-10
Position 825: 1.8090710878315706e-10
Position 508: 9.77008529602063e-11
Position 182: 6.634623191609478e-12
