Gene = Qtzl
index = 1398
Annotated 5SS: [204]
Annotated 3SS: [261]
SMsplice 5SS: [204]
SMsplice 3SS: [261]
top_k =  1000
Partition function (log Z): -6.226151300499148

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9988561801700334
Position 411: 0.0069264912548157274
Position 279: 0.0020490322207701362
Position 519: 0.0013381378441832215
Position 751: 0.001213565165660403
Position 532: 0.0005670730426919776
Position 415: 0.0004364111078144425
Position 653: 0.0003782428504344522
Position 313: 0.00030497492986803214
Position 637: 0.00022861626008027712
Position 707: 0.0001904063218769093
Position 363: 0.00017932336742968225
Position 146: 0.00017582110430313885
Position 728: 0.0001125301530547981
Position 21: 8.168591295911209e-05
Position 9: 7.688833842922927e-05
Position 790: 7.122704382995841e-05
Position 716: 7.097130935239385e-05
Position 651: 6.485436922521907e-05
Position 521: 4.6851284352304834e-05
Position 254: 3.707558718329438e-05
Position 30: 3.111385314480455e-05
Position 361: 3.095551858571489e-05
Position 143: 2.0141660856928834e-05
Position 603: 1.694973183332229e-05
Position 619: 1.2166360188457746e-05
Position 584: 1.1107104744525103e-05
Position 481: 5.926486807818443e-06
Position 601: 5.143434084212324e-06
Position 815: 5.045068603167586e-06
Position 765: 4.4959237520255645e-06
Position 107: 4.306915494528408e-06
Position 248: 3.867656894479505e-06
Position 229: 3.6912911083607556e-06
Position 805: 1.901690042874586e-06
Position 595: 1.2505360728974618e-06
Position 258: 4.3933215235272784e-07
Position 733: 4.212276866284596e-07
Position 755: 2.970398605166503e-07
Position 726: 2.956467618851643e-07
Position 621: 1.9470750591122137e-07
Position 83: 1.6635621242871904e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 261: 0.9646038826977952
Position 595: 0.009520515080236599
Position 564: 0.008777613467863196
Position 726: 0.005684977811754525
Position 305: 0.005504333221497983
Position 278: 0.004073198345505436
Position 839: 0.0024405889860538146
Position 338: 0.0024353725928974103
Position 879: 0.002290949624787048
Position 716: 0.0013227951635617215
Position 580: 0.0013079222963869666
Position 768: 0.0011374936966654073
Position 524: 0.0010605761890354398
Position 296: 0.0009921722477335235
Position 519: 0.0008120440399973088
Position 545: 0.000571479540869151
Position 751: 0.00039385967902695043
Position 316: 0.0001326369547110896
Position 614: 0.00012905210973012388
Position 72: 0.0001007820896119781
Position 311: 6.848254866252124e-05
Position 444: 4.3814080016764533e-05
Position 61: 3.630222135784273e-05
Position 528: 2.6481886342691045e-05
Position 660: 2.6198659290455616e-05
Position 83: 2.4323574381086344e-05
Position 52: 1.313856776799311e-05
Position 203: 1.0059581928574362e-05
Position 645: 7.96996227642226e-06
Position 106: 6.303231249371177e-06
Position 100: 6.171034322482767e-06
Position 171: 1.5278892218024373e-06
Position 272: 1.2867797426579376e-06
Position 668: 8.524262328338427e-07
Position 208: 3.3840831650318273e-07
Position 137: 3.086485091371552e-07
Position 150: 2.60670957412095e-07
Position 229: 1.4931961982293606e-07
Position 157: 1.0104859148488136e-08
Position 176: 7.350209204181712e-09
Position 188: 3.6763765296562214e-09
Position 221: 7.233468956277917e-10
Position 274: 3.155389160315656e-14
