Gene = SelT
index = 1482
Annotated 5SS: [414]
Annotated 3SS: [489]
SMsplice 5SS: [414]
SMsplice 3SS: [489]
top_k =  1000
Partition function (log Z): -6.499580624951354

Sorted 5' Splice Sites (High to Low Probability):
Position 414: 0.9691520411152822
Position 563: 0.36150371453820485
Position 171: 0.028956550510416002
Position 208: 0.01668977037583714
Position 210: 0.015604346368769676
Position 662: 0.011722186678075206
Position 653: 0.011655702149421384
Position 72: 0.007695029234416617
Position 866: 0.00719487021455405
Position 418: 0.0038124771108759043
Position 591: 0.002760145449008775
Position 547: 0.0020501236744400724
Position 911: 0.001485598679765029
Position 153: 0.0012899013857912644
Position 163: 0.0005955273698489026
Position 699: 0.0003710231323503932
Position 646: 0.00023375577484267064
Position 666: 0.00015329987174405799
Position 829: 0.00010099611641421383
Position 91: 6.363349061964087e-05
Position 96: 4.926602678118137e-05
Position 76: 4.8486847478693074e-05
Position 703: 4.3876931538514056e-05
Position 824: 3.53641067603671e-05
Position 364: 3.412845543752647e-05
Position 84: 3.342603680917378e-05
Position 986: 2.8211119796565627e-05
Position 826: 2.6242759371987827e-05
Position 818: 2.4364090706175985e-05
Position 181: 1.8636942967440455e-05
Position 787: 1.8505604657543216e-05
Position 650: 1.75711626615113e-05
Position 657: 1.1843204107418233e-05
Position 1078: 9.84104777490832e-06
Position 932: 7.755361554925623e-06
Position 527: 5.791089603192081e-06
Position 898: 3.1095325391522017e-06
Position 670: 2.2534135233127397e-06
Position 334: 2.0849444905463993e-06
Position 336: 1.5408171768941737e-06
Position 134: 1.293828236794457e-06
Position 304: 1.009220646387119e-06
Position 315: 9.780084858961185e-07
Position 1055: 4.352950048400926e-07
Position 644: 3.185167828759902e-07
Position 461: 3.976191148106272e-08
Position 309: 1.3070931322767804e-08
Position 463: 1.0167671623745644e-08
Position 292: 9.998398751036155e-09
Position 514: 4.205023331105522e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 489: 0.9565797839278296
Position 631: 0.12741380183099865
Position 613: 0.09969586462195228
Position 1104: 0.07898864814841315
Position 253: 0.052936686009956414
Position 1075: 0.04423354669348234
Position 898: 0.02725729447018029
Position 657: 0.016313836406332473
Position 511: 0.0066238568186030074
Position 275: 0.006450178292540507
Position 943: 0.005772696799334092
Position 699: 0.004725961725800955
Position 125: 0.0031599734002163197
Position 910: 0.0028140387379481445
Position 134: 0.002250973913990646
Position 261: 0.0019479009300383337
Position 287: 0.0019399987522894617
Position 1169: 0.001502271338016022
Position 718: 0.0014302681371313323
Position 841: 0.0006876987492415921
Position 562: 0.000272084366914665
Position 916: 0.00010120193029717763
Position 156: 8.415573206812439e-05
Position 727: 8.278040375237129e-05
Position 666: 5.7948156901132604e-05
Position 1049: 5.311324842913299e-05
Position 1011: 2.989999719968789e-05
Position 865: 2.9518109738049317e-05
Position 1005: 2.3612158271600568e-05
Position 778: 1.530160080309649e-05
Position 1182: 9.925792966892189e-06
Position 919: 9.197682120866417e-06
Position 547: 7.916435747105362e-06
Position 201: 6.456928349877973e-06
Position 153: 2.6780860041399107e-06
Position 381: 2.4372824551635035e-06
Position 983: 1.5302646150320285e-06
Position 208: 8.455190259780354e-07
Position 181: 6.232929047816391e-07
Position 354: 2.657872859155998e-07
Position 160: 7.948718519364253e-08
Position 163: 6.703436446782888e-08
Position 166: 6.419004802716645e-08
Position 214: 5.0659576268016586e-08
Position 388: 3.831201166900404e-08
Position 351: 2.464706694933774e-08
Position 345: 3.044818357434399e-09
Position 357: 2.139727375628516e-09
Position 520: 2.127032571828038e-09
Position 772: 3.92678423426971e-10
Position 544: 2.9485332169135525e-10
