Gene = aurB
index = 1616
Annotated 5SS: [ 251 1024]
Annotated 3SS: [ 305 1083]
SMsplice 5SS: [ 251 1024]
SMsplice 3SS: [ 305 1083]
top_k =  1000
Partition function (log Z): -2.1457573775931276

Sorted 5' Splice Sites (High to Low Probability):
Position 1024: 0.9781233702281299
Position 251: 0.9730633840629377
Position 255: 0.002608492085867924
Position 1243: 0.0006144305154441854
Position 177: 0.0005500045926484231
Position 463: 0.00045294164138573017
Position 764: 0.0004403532586533984
Position 418: 0.0003958630611506577
Position 642: 0.00038997897787267387
Position 1225: 0.00019548954546359142
Position 212: 0.00017146605064157365
Position 633: 0.0001426636777897418
Position 1232: 0.00014092178028342342
Position 876: 0.00012066535305276497
Position 1241: 8.932007292388382e-05
Position 655: 5.240542402037432e-05
Position 691: 3.92339803136242e-05
Position 1028: 2.7923943627466405e-05
Position 227: 1.944861401764477e-05
Position 570: 1.7604540668568337e-05
Position 900: 1.5565062797331213e-05
Position 458: 1.3673166925403244e-05
Position 838: 1.2401876028575632e-05
Position 768: 1.029026669505289e-05
Position 528: 7.744420151181442e-06
Position 865: 5.748401683351303e-06
Position 1144: 4.999187824934847e-06
Position 873: 4.80040046641917e-06
Position 451: 3.5505071913227057e-06
Position 486: 1.8653809810189213e-06
Position 406: 1.8377848314875894e-06
Position 914: 1.1908047946148923e-06
Position 274: 9.874007919170973e-07
Position 599: 9.285793049915541e-07
Position 423: 7.817929199039463e-07
Position 108: 7.231480410772359e-07
Position 993: 5.763239068799923e-07
Position 585: 5.495030318253967e-07
Position 804: 4.396747981440404e-07
Position 891: 3.5929375461054224e-07
Position 1126: 3.291487110451295e-07
Position 1120: 2.3474439677378875e-07
Position 927: 2.2965582379246682e-07
Position 907: 2.2895304949782968e-07
Position 904: 1.2228682030809711e-07
Position 368: 5.913632309441097e-08
Position 370: 3.8501313601475143e-08
Position 677: 3.680860412827915e-08
Position 1038: 2.132243010132866e-08
Position 317: 1.3845783249624026e-08
Position 284: 9.125328112552564e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 305: 0.9758635621099869
Position 1083: 0.9731065539028882
Position 1066: 0.0036482726577783306
Position 1095: 0.0013504047041364322
Position 1293: 0.001068402837294405
Position 797: 0.0007051375036237995
Position 734: 0.0005474886663797949
Position 834: 0.00035932732119395457
Position 935: 0.000269783872130958
Position 711: 0.00026685093210188505
Position 1149: 0.0001686725805071931
Position 1259: 0.0001438875594856793
Position 750: 3.053206813095915e-05
Position 333: 2.5483236786492137e-05
Position 873: 2.1249358935770506e-05
Position 462: 2.05100677432492e-05
Position 1104: 1.7286139137456324e-05
Position 317: 1.697196698516793e-05
Position 717: 1.6853015746538726e-05
Position 792: 1.2962685166014205e-05
Position 417: 1.1512365359440928e-05
Position 456: 1.119008223155503e-05
Position 900: 1.0501957895307223e-05
Position 642: 1.0000514562478527e-05
Position 1100: 9.852408959270672e-06
Position 655: 7.896626097630796e-06
Position 999: 7.6179421168903725e-06
Position 480: 4.5677432009269695e-06
Position 486: 4.288811862866814e-06
Position 591: 1.1284067312997593e-06
Position 498: 9.139832741866054e-07
Position 430: 8.526570179590141e-07
Position 1176: 6.769182741905182e-07
Position 1008: 5.834822101872852e-07
Position 953: 5.783176235376451e-07
Position 248: 5.634353750397189e-07
Position 1182: 5.070396047801511e-07
Position 221: 3.833209834294794e-07
Position 576: 3.776228036875445e-07
Position 1166: 3.774358826556202e-07
Position 957: 3.6212178021756784e-07
Position 927: 3.5620388545030245e-07
Position 176: 2.2148776724024118e-07
Position 435: 1.8847494628702216e-07
Position 540: 1.5685191910250102e-07
Position 1170: 9.144673174232131e-08
Position 582: 7.80620089983653e-08
Position 474: 7.525410161509237e-08
Position 942: 7.123541249458381e-08
Position 432: 5.099438769766874e-08
Position 1203: 4.847810918125761e-08
Position 444: 1.49331487015068e-08
Position 268: 6.336300823245924e-09
Position 387: 6.212631849366811e-09
Position 1232: 2.681714421125743e-09
Position 261: 2.107399681246874e-09
Position 1200: 4.982623880782438e-10
Position 194: 1.6094914017885415e-10
Position 185: 7.252453585271374e-11
Position 188: 3.143655923550637e-11
Position 206: 6.5245243549409265e-12
Position 197: 2.2478985601608166e-12
