Gene = Gr39b
index = 1198
Annotated 5SS: [ 885 1684]
Annotated 3SS: [1515 1741]
SMsplice 5SS: [1684]
SMsplice 3SS: [1741]
top_k =  1000
Partition function (log Z): -8.239834161862117

Sorted 5' Splice Sites (High to Low Probability):
Position 1684: 0.5535108877894216
Position 1371: 0.3011019134681312
Position 1009: 0.25359154730495403
Position 528: 0.19930372421707515
Position 777: 0.16694390879422127
Position 783: 0.14517697357393694
Position 333: 0.11947176264361602
Position 1688: 0.11147354436210653
Position 1149: 0.06813107054342062
Position 83: 0.05951377807257521
Position 195: 0.05761646823942067
Position 189: 0.042380458086790966
Position 98: 0.03804639117866339
Position 67: 0.0372541507336335
Position 1680: 0.03579524502377514
Position 1435: 0.02722698265849172
Position 771: 0.02025340695694797
Position 399: 0.019869989536084195
Position 1329: 0.013117506198024627
Position 59: 0.013011914510945324
Position 96: 0.010898510280334969
Position 885: 0.009777867730636991
Position 379: 0.009265319466298504
Position 87: 0.008564917339351975
Position 163: 0.00576662161259971
Position 314: 0.00569495223945942
Position 430: 0.0055259894081175235
Position 1356: 0.004819445803514416
Position 356: 0.004190162689961472
Position 341: 0.002968274952751275
Position 219: 0.0024885335725409784
Position 246: 0.0022118017910399902
Position 1627: 0.002155082452424769
Position 293: 0.001873123617499873
Position 635: 0.00180098950804189
Position 723: 0.0016282960577572079
Position 129: 0.001417782951353285
Position 1444: 0.0013613872768968118
Position 1161: 0.0010521537686025667
Position 1213: 0.0010207079050465456
Position 1458: 0.0009456652246934553
Position 221: 0.000769214980669238
Position 275: 0.0006717858866944341
Position 393: 0.0005112915134371571
Position 1211: 0.00047903596379513024
Position 449: 0.0003606755335239404
Position 742: 0.0002430065178635404
Position 558: 0.0002213218250220061
Position 507: 0.0001803953478846188
Position 1321: 0.00016842398886695562
Position 231: 0.00013306075208284175
Position 536: 0.0001288143730948324
Position 629: 0.0001279292761077336
Position 489: 0.00011616305280836213
Position 495: 9.877807756367222e-05
Position 825: 8.918184354407754e-05
Position 70: 8.171830820689048e-05
Position 252: 8.134003512056232e-05
Position 347: 6.413218503864187e-05
Position 1615: 5.7531192133244524e-05
Position 532: 5.3755851642912844e-05
Position 51: 5.0833013276194135e-05
Position 1066: 3.238225326219806e-05
Position 207: 2.1991316023178787e-05
Position 461: 2.059462615085585e-05
Position 726: 1.9291757727568033e-05
Position 20: 1.2643681195197938e-05
Position 201: 7.618005370738183e-06
Position 747: 5.440059770248816e-06
Position 674: 4.964705648660329e-06
Position 353: 3.385027878140085e-06
Position 819: 3.1025836734450774e-06
Position 225: 2.852662889126796e-06
Position 568: 1.0726652573837286e-06
Position 417: 7.939106818666564e-07
Position 223: 7.181149473975402e-07
Position 566: 1.7276964334384036e-09
Position 520: 8.39466679625799e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1741: 0.7365397105026696
Position 1515: 0.4523572689806659
Position 1285: 0.2989566691409883
Position 849: 0.29882699694468734
Position 245: 0.1520426311772667
Position 1148: 0.11651681429408645
Position 210: 0.0722639690089647
Position 1473: 0.054951620344873046
Position 1251: 0.04350695331455417
Position 510: 0.022534916741120292
Position 738: 0.019718964943263563
Position 161: 0.017235489640247667
Position 1121: 0.01499390796870515
Position 627: 0.013070675202647675
Position 540: 0.011479241873053204
Position 1496: 0.011106882396471063
Position 1541: 0.007388911759103401
Position 274: 0.00423688196683627
Position 372: 0.003581467744791494
Position 1788: 0.002658816215502029
Position 884: 0.0025218575271314966
Position 129: 0.0019355418005249769
Position 478: 0.0018421820226479898
Position 1588: 0.0017622673437429578
Position 639: 0.0017371386017820101
Position 1095: 0.0017160166026007717
Position 314: 0.0017126590561468364
Position 650: 0.0012028953028524975
Position 564: 0.0008924731036234083
Position 1253: 0.00086161775699707
Position 336: 0.0005450718286494666
Position 433: 0.0003956750290769225
Position 1008: 0.00034629785779534904
Position 1297: 0.00033881943388522866
Position 427: 0.00022828611433049008
Position 1793: 0.00022680413437398803
Position 283: 0.00019663193401545223
Position 742: 0.0001866318956585111
Position 214: 0.00017901010640669464
Position 770: 0.00014086049247410672
Position 968: 2.8857285591414604e-05
Position 1571: 2.8543531816713274e-05
Position 647: 2.3083394767482107e-05
Position 767: 1.4777129202790794e-05
Position 168: 6.077714650296655e-06
Position 904: 5.4343552573506494e-06
Position 347: 5.441942042658324e-08
Position 92: 4.216933413095306e-08
Position 353: 3.530229682519978e-08
Position 105: 1.152747525604734e-08
Position 163: 4.695832160439766e-09
Position 83: 2.9225723018900015e-09
Position 63: 2.8453553499978395e-10
Position 293: 7.903374697779927e-11
Position 96: 7.849203502174378e-11
Position 287: 9.15259017462145e-13
Position 65: 5.487363454633564e-13
Position 67: 2.191968178848681e-13
Position 285: 3.860431772900677e-19
