Gene = Scox
index = 1476
Annotated 5SS: [504]
Annotated 3SS: [566]
SMsplice 5SS: [504]
SMsplice 3SS: [566]
top_k =  1000
Partition function (log Z): -1.7855302777596287

Sorted 5' Splice Sites (High to Low Probability):
Position 504: 0.9973244346038895
Position 105: 0.17093338049426796
Position 76: 0.017325481734271952
Position 134: 0.0031753692859548726
Position 653: 0.0021913797193786515
Position 500: 0.0012814570779567903
Position 508: 0.0011541630619095137
Position 638: 0.0006398614276509241
Position 280: 0.00045217960833696797
Position 321: 0.0002647603293557348
Position 973: 0.000174250748002932
Position 820: 0.000109420639458951
Position 10: 8.78815566119968e-05
Position 859: 6.077006587779424e-05
Position 624: 6.0673810191423086e-05
Position 949: 5.247283079130704e-05
Position 990: 4.2017767143863036e-05
Position 957: 4.0543604311356565e-05
Position 695: 2.8755378154701334e-05
Position 641: 2.2730108057455034e-05
Position 661: 2.205304956442999e-05
Position 1003: 2.131042731636355e-05
Position 144: 2.0073142558121723e-05
Position 284: 1.5959968694310473e-05
Position 147: 1.4891557487840051e-05
Position 960: 1.4710855850748978e-05
Position 213: 1.4309029464145944e-05
Position 878: 1.3250989025998305e-05
Position 796: 1.2208463045109953e-05
Position 713: 1.0711361023210182e-05
Position 491: 8.5740418255891e-06
Position 174: 8.003100927657942e-06
Position 357: 7.788356915805268e-06
Position 919: 7.237689969444724e-06
Position 803: 6.53550442433426e-06
Position 731: 5.44568709239729e-06
Position 892: 4.900708928246756e-06
Position 266: 3.044532700772628e-06
Position 861: 2.4333654800490034e-06
Position 231: 1.9837099525450922e-06
Position 776: 1.6399787479237365e-06
Position 611: 1.5568711862641895e-06
Position 368: 1.3013672289518049e-06
Position 415: 1.1061816727620881e-06
Position 488: 1.0864550332444454e-06
Position 590: 1.0012714068688996e-06
Position 112: 9.594369490403395e-07
Position 1012: 4.3198761590397476e-07
Position 571: 3.829004534248155e-07
Position 952: 2.5208706807545214e-07
Position 824: 1.828341486950568e-07
Position 386: 1.2468350159069478e-07
Position 715: 9.67710934914121e-08
Position 239: 2.2768391965443708e-08
Position 548: 2.203934581959287e-12
Position 459: 7.163086621247133e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 566: 0.9986481121531542
Position 194: 0.18328201778322922
Position 134: 0.0043482401476592795
Position 741: 0.0025720991266128764
Position 206: 0.0016448019134997088
Position 231: 0.0008650105592271208
Position 379: 0.0008137326002273553
Position 713: 0.000568809786940776
Position 228: 0.0005316892670124643
Position 163: 0.0004274293425168123
Position 571: 0.00041340747493603366
Position 1053: 0.00019483396917525033
Position 590: 0.0001898350812329422
Position 729: 0.00018771719620949416
Position 1059: 0.00015636662071438128
Position 587: 0.00015356545333733226
Position 887: 0.00011462181802453307
Position 1012: 0.00011423492396030053
Position 141: 8.460721416991623e-05
Position 410: 5.64435418775123e-05
Position 620: 4.9342492545290086e-05
Position 289: 4.299230033435134e-05
Position 721: 2.88080964351256e-05
Position 211: 2.768650986180405e-05
Position 69: 2.536963301560139e-05
Position 820: 2.2890418849710455e-05
Position 66: 2.1776384238165187e-05
Position 344: 1.6243111032228574e-05
Position 357: 9.803600382443088e-06
Position 913: 9.288551115720544e-06
Position 924: 4.02434053033526e-06
Position 473: 3.1171124129300556e-06
Position 341: 2.8270393676492e-06
Position 853: 2.6020565151294465e-06
Position 263: 2.474724133281158e-06
Position 400: 2.3752900305988387e-06
Position 859: 1.5609821199446925e-06
Position 635: 1.1414163222550458e-06
Position 368: 1.076332569219554e-06
Position 257: 9.410131853065237e-07
Position 295: 7.205528427178304e-07
Position 595: 7.03716779258311e-07
Position 928: 5.905729311586962e-07
Position 659: 4.2696210542958405e-07
Position 325: 2.8836686018708245e-07
Position 81: 2.4550919798923795e-07
Position 248: 1.5720690723905988e-07
Position 304: 1.395597783716664e-07
Position 383: 6.85850020679391e-08
Position 892: 6.151362001114075e-08
Position 298: 4.72375272012243e-08
Position 475: 4.645139974226533e-08
Position 266: 2.8404833015267913e-08
Position 109: 2.7975634027337255e-08
Position 637: 2.4376510287868713e-08
Position 942: 2.0633794329731618e-08
Position 478: 1.586169276745259e-08
Position 500: 1.2527555976373284e-08
Position 415: 9.148765702944714e-09
Position 316: 1.539460010596347e-09
Position 469: 5.617274898024112e-10
Position 319: 3.472232442926468e-10
Position 511: 3.784084528830053e-13
Position 309: 3.913220182939299e-17
Position 291: 5.29601588756962e-19
