Gene = ics
index = 1732
Annotated 5SS: [ 583 1493 2743]
Annotated 3SS: [1331 2120 2805]
SMsplice 5SS: [ 307 1493 2743]
SMsplice 3SS: [1331 2120 2805]
top_k =  1000
Partition function (log Z): 4.554865207495535

Sorted 5' Splice Sites (High to Low Probability):
Position 2743: 0.9989017489049171
Position 1493: 0.9214232509637058
Position 307: 0.5799429663033546
Position 583: 0.48758428810101984
Position 2468: 0.32970960396031335
Position 2394: 0.16430555220087872
Position 961: 0.12158521865513602
Position 1561: 0.037970609841734636
Position 375: 0.02256390157183943
Position 2406: 0.017395794965944213
Position 1611: 0.013848036755781837
Position 335: 0.01048211863849839
Position 587: 0.010222176095003182
Position 2978: 0.00919752649440674
Position 2943: 0.008911253133300316
Position 1632: 0.008274520016135429
Position 247: 0.007642966597431386
Position 22: 0.007043132052596264
Position 2952: 0.0036366655375177116
Position 237: 0.0034804818853029942
Position 990: 0.002516629656146001
Position 936: 0.0020749743451747094
Position 774: 0.0019732012255071624
Position 921: 0.0015734581981099861
Position 272: 0.0015250936039431359
Position 302: 0.001518807662008512
Position 1119: 0.0012595572971776832
Position 593: 0.0011615748649425534
Position 1776: 0.001122050579231731
Position 873: 0.0011204797699046422
Position 2472: 0.00108191671359908
Position 596: 0.0010326639626770623
Position 2008: 0.0009940262590493296
Position 2956: 0.0009635982671778116
Position 1497: 0.0008899753688107692
Position 552: 0.0008136363004341163
Position 422: 0.0008113632813388249
Position 2074: 0.0006941969637354618
Position 1650: 0.0006335986755798345
Position 2452: 0.0005810660595453807
Position 2896: 0.0005679005831280861
Position 1817: 0.0005094843865112755
Position 35: 0.0005055457870284137
Position 415: 0.0004999849530332162
Position 1549: 0.00048467186230472024
Position 2537: 0.00040922478474278873
Position 2171: 0.0003932482620555459
Position 1763: 0.00038230318682064724
Position 410: 0.0003520969703750169
Position 932: 0.00031070452939242435
Position 2994: 0.0002939200773372048
Position 520: 0.00029219198054609394
Position 2339: 0.0002826659624332615
Position 2428: 0.000245986519513841
Position 2384: 0.0002442756866391843
Position 428: 0.000240617448148184
Position 390: 0.00022943690402836827
Position 567: 0.00021339229839849953
Position 2941: 0.0001367862629947156
Position 2959: 0.00012850385437449563
Position 191: 0.00012209155543248655
Position 2972: 0.00011577796570119455
Position 2019: 0.00010518413301459626
Position 1228: 9.926453572274667e-05
Position 608: 9.231619707235847e-05
Position 956: 9.035939768034995e-05
Position 892: 8.791292859232716e-05
Position 1636: 8.43613296397026e-05
Position 1565: 8.138798330200794e-05
Position 436: 7.502974374141638e-05
Position 2505: 6.684338714842665e-05
Position 1491: 6.50939337301661e-05
Position 1798: 5.8027056881654435e-05
Position 1754: 5.543883934386533e-05
Position 534: 5.3346905465015175e-05
Position 817: 5.1548062224634084e-05
Position 2348: 4.203572800851981e-05
Position 730: 2.9899892455421413e-05
Position 1405: 2.8962510924100697e-05
Position 1796: 2.2376085466234286e-05
Position 29: 2.032146303145921e-05
Position 2178: 1.695634540744065e-05
Position 420: 1.588453279020534e-05
Position 2549: 1.554179426800082e-05
Position 2288: 1.4765859263908524e-05
Position 845: 1.4677782355438533e-05
Position 292: 1.3706828347734859e-05
Position 2747: 1.3206396156888801e-05
Position 3012: 1.295824852416677e-05
Position 345: 1.1928329408009276e-05
Position 1746: 1.0484438059360557e-05
Position 2635: 1.0020051182187771e-05
Position 479: 9.969733210072505e-06
Position 2947: 9.219202233259308e-06
Position 1752: 8.738559860122099e-06
Position 1084: 8.173018924235135e-06
Position 2421: 7.541857437250167e-06
Position 1440: 7.433594794074265e-06
Position 311: 7.027295733384322e-06
Position 426: 6.632100389147928e-06
Position 525: 6.5919997728761e-06
Position 450: 6.033958182651491e-06
Position 468: 5.157142831870466e-06
Position 1479: 5.01137151471436e-06
Position 2249: 4.621497892937307e-06
Position 2260: 4.107014147903578e-06
Position 2290: 3.817617409103389e-06
Position 3025: 3.5964344150585e-06
Position 1375: 3.4445862833598547e-06
Position 1644: 3.2987582700335854e-06
Position 2666: 2.678978307920053e-06
Position 1141: 2.507033490849342e-06
Position 44: 2.4359909257891493e-06
Position 1647: 1.6874216006206792e-06
Position 2708: 1.554875106489552e-06
Position 1358: 1.4871557864869474e-06
Position 856: 9.604034633765133e-07
Position 2591: 8.150028948558704e-07
Position 2257: 7.454934945422148e-07
Position 1467: 5.759775586252891e-07
Position 2776: 4.951205392877189e-07
Position 1464: 4.3922283342795254e-07
Position 2086: 1.8322794335709375e-07
Position 2703: 9.778165642178962e-08
Position 2838: 9.167153086166186e-08
Position 61: 4.88906518070674e-08
Position 460: 4.7628210309380057e-08
Position 3082: 4.3877202895631795e-08
Position 72: 3.372416067460854e-08
Position 392: 7.319764832759094e-09
Position 2639: 7.736435698227881e-10
Position 2614: 1.3998852273750954e-10
Position 2359: 6.157567256123247e-11
Position 735: 5.303816728759494e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2805: 0.9985887226426731
Position 2120: 0.9844353368392558
Position 1331: 0.9674516040948254
Position 2583: 0.5069214269480201
Position 409: 0.15036271514195254
Position 375: 0.07947006174442517
Position 895: 0.023846264951871598
Position 3040: 0.020595651794878444
Position 809: 0.006591634376601122
Position 2537: 0.005239685561999055
Position 72: 0.004782035725348903
Position 1260: 0.0045750999867033935
