Gene = GC
index = 1175
Annotated 5SS: [ 303 4227 4632]
Annotated 3SS: [3622 4284 4703]
SMsplice 5SS: [ 303 4632]
SMsplice 3SS: [3622 4703]
top_k =  1000
Partition function (log Z): -3.7186572472198143

Sorted 5' Splice Sites (High to Low Probability):
Position 4632: 0.9963740948876414
Position 303: 0.550854932872183
Position 4186: 0.18267819040420719
Position 225: 0.1713567896488232
Position 702: 0.1671577911658163
Position 57: 0.11981303298803468
Position 4227: 0.10924828329113981
Position 3742: 0.06297676321784032
Position 3567: 0.034436393416409
Position 366: 0.02892530377248415
Position 4128: 0.017722698906414362
Position 1766: 0.016853252874770096
Position 3425: 0.01405382173888476
Position 4218: 0.013972899130514135
Position 1447: 0.013077274257014078
Position 930: 0.012046472734001641
Position 204: 0.011411719481249295
Position 1459: 0.011041085079952627
Position 253: 0.010584406772810381
Position 378: 0.006091053462044324
Position 1598: 0.0060382634096569346
Position 337: 0.005861382489890195
Position 3958: 0.004545004085271961
Position 2042: 0.004290409335554215
Position 5113: 0.0040116448490942124
Position 127: 0.003726820932882693
Position 170: 0.0032729038936507382
Position 3717: 0.0032344577819424306
Position 2402: 0.003218761290557245
Position 490: 0.002807354809834092
Position 2944: 0.00274848591349342
Position 4323: 0.002703309880343258
Position 1589: 0.002684889010274312
Position 257: 0.0025679106932632546
Position 4948: 0.0013473845145835707
Position 219: 0.001309882827326238
Position 5083: 0.0013030162163892001
Position 342: 0.0012690487001967858
Position 1829: 0.0012274297202064805
Position 1209: 0.0012135267699386538
Position 3941: 0.0011450319021571473
Position 566: 0.0010811811408538614
Position 5104: 0.001024754885745937
Position 614: 0.0010027616685224414
Position 307: 0.0008645084768335938
Position 4625: 0.000747399890598701
Position 319: 0.0006541420734654521
Position 3963: 0.0006041562844213532
Position 575: 0.0005856990006199394
Position 1629: 0.0005132068060630539
Position 952: 0.0004693971409649087
Position 965: 0.00044185361825739593
Position 836: 0.0003911850462589585
Position 3120: 0.00038765013263441334
Position 774: 0.00037820006666757877
Position 4621: 0.0003654043075037046
Position 172: 0.000358140299914636
Position 1928: 0.0003357984684080857
Position 369: 0.00032670048291262295
Position 2192: 0.00028603438235324374
Position 750: 0.0002703496691329629
Position 5653: 0.00024611536467642104
Position 5771: 0.0002393802178081437
Position 3720: 0.00022979070327626953
Position 5009: 0.00022147442328687917
Position 328: 0.00022078554288708387
Position 1078: 0.00021284944101941124
Position 1181: 0.00020270853943903601
Position 2934: 0.00019693389884443374
Position 957: 0.0001951773605455374
Position 3002: 0.00017743367991555307
Position 3865: 0.00017179352176568483
Position 1213: 0.0001699757862748769
Position 771: 0.00015936260953390243
Position 916: 0.00014887094908420755
Position 1697: 0.0001464898025513981
Position 498: 0.00013688849393018304
Position 1271: 0.00013448139878389823
Position 1779: 0.00012417221685797621
Position 5828: 0.00012376933174770797
Position 2656: 0.00011627785783186964
Position 4472: 0.0001154973507549541
Position 5065: 0.00011364249695596423
Position 262: 9.035880503770623e-05
Position 1481: 7.915762632701488e-05
Position 971: 7.462623607255296e-05
Position 551: 7.357433131423005e-05
Position 1176: 6.544334169705476e-05
Position 2912: 6.467126010828137e-05
Position 107: 6.102273177380594e-05
Position 5819: 5.802619058534832e-05
Position 934: 5.43682154804614e-05
Position 817: 5.269166099209109e-05
Position 5737: 5.189636092773598e-05
Position 5523: 4.671342349839683e-05
Position 2593: 4.671187597550145e-05
Position 608: 4.2596088922346046e-05
Position 5342: 4.08692994466709e-05
Position 5921: 3.631173903946598e-05
Position 1231: 3.213705608964038e-05
Position 4973: 3.045661695629145e-05
Position 5853: 2.7753928962972176e-05
Position 606: 2.584773638640318e-05
Position 5690: 1.6210143150556217e-05
Position 4386: 1.1633058910951397e-05
Position 4378: 1.0524144718970795e-05
Position 5707: 1.0325522514841176e-05
Position 5033: 7.730334362005301e-06
Position 5099: 6.9378561810232615e-06
Position 4513: 4.739192876286254e-06
Position 397: 3.3406029101993615e-06
Position 1207: 3.002031916602411e-06
Position 1194: 1.9800665760011344e-06
Position 4451: 1.1386701943948e-06
Position 63: 6.911351151871058e-07
Position 810: 3.400800630097818e-07
Position 49: 3.351097949984585e-07
Position 93: 3.020912524741319e-07
Position 310: 2.5257081402916856e-07
Position 616: 2.504671621599806e-07
Position 847: 2.2870163639098353e-07
Position 739: 2.1249067747291232e-07
Position 533: 1.052808142089452e-07
Position 15: 9.838476848215358e-08
Position 4: 9.307824632957131e-08
Position 86: 5.5402433326446244e-08
Position 734: 3.3728928530850696e-08
Position 820: 2.998622091322668e-08
Position 4878: 2.972942842103093e-08
Position 17: 1.6015199877183818e-08
Position 822: 1.4133542186182301e-08
Position 4718: 1.2902064787102454e-08
Position 792: 1.0889556027190508e-08
Position 960: 8.025586446430314e-09
Position 5012: 2.6525638229918373e-09
Position 4780: 2.5559204909476404e-09
Position 41: 1.2491435012433515e-09
Position 3806: 1.0253776419744967e-09
Position 892: 1.4051260609760411e-10
Position 845: 1.3960736820146095e-10
Position 974: 1.1375179592085197e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4703: 0.9959423988944597
Position 3622: 0.8062905551796526
Position 4284: 0.27452118691619526
Position 4360: 0.23171890903141235
Position 4385: 0.06991892474368837
Position 442: 0.05347215021551968
Position 674: 0.026903460455493536
Position 397: 0.025389139032738983
Position 3009: 0.018430226431915168
Position 466: 0.015350925189020396
Position 1346: 0.015276300010357603
Position 3348: 0.014684728961434017
Position 2812: 0.012220198085734177
Position 1003: 0.01072758894514054
Position 361: 0.005845785863692735
Position 3931: 0.005642615646078515
Position 5209: 0.005246983839593338
Position 1378: 0.0028770881517952438
Position 4749: 0.002382739037900577
Position 4296: 0.0023473276492032096
Position 522: 0.002289256460294897
Position 410: 0.0021197071631600126
Position 2526: 0.0020109664055771885
Position 551: 0.0017799060502753541
Position 3046: 0.0017499151144489088
Position 1663: 0.0016759476616332511
Position 3910: 0.0013246307227366267
Position 3796: 0.0012426388735499322
Position 2803: 0.0010289374016912449
Position 3077: 0.0010221539667839195
Position 5008: 0.0008772429231214729
Position 3562: 0.0008186414922320892
Position 3860: 0.0008103905437867041
Position 5767: 0.0007847595622466202
Position 1264: 0.0006719807542211666
Position 1207: 0.000656796110021035
Position 4315: 0.0006251121414291309
Position 1402: 0.0006094019273409991
Position 4996: 0.0005763754625186081
Position 159: 0.00056439711462056
Position 369: 0.0005426455197742558
Position 3027: 0.0005365834836721717
Position 5825: 0.0005119412628452851
Position 378: 0.0004925411378688369
Position 1642: 0.00046959952183763486
Position 3848: 0.00043084563532681656
Position 490: 0.0003930957587304596
Position 3830: 0.00038696553527532186
Position 3596: 0.00037632183515828323
Position 1297: 0.0003189050186469151
Position 5455: 0.0003137316362756958
Position 5890: 0.00031060776112885164
Position 1282: 0.00028807199023487293
Position 4094: 0.00027666328497332284
Position 1672: 0.000273290609101643
Position 3015: 0.0002443457807577928
Position 1316: 0.00023323838419984574
Position 3868: 0.0002059357355505585
Position 6062: 0.000195750405085307
Position 262: 0.0001814143434765053
Position 5507: 0.00014965500623105737
Position 5912: 0.00014491681866874242
Position 1954: 0.00013879868656161378
Position 211: 0.000131673673923725
Position 1405: 0.00011755905944086823
Position 2068: 0.00010513537432218438
Position 120: 0.00010045111872625504
Position 1029: 8.808452503682826e-05
Position 198: 7.456885055687831e-05
Position 1651: 6.849607912631202e-05
Position 5617: 6.357671998849454e-05
Position 1828: 5.935606272090658e-05
Position 1231: 5.781851528303906e-05
Position 3739: 5.647624457799546e-05
Position 1854: 5.224612521029874e-05
Position 5674: 4.868273811162879e-05
Position 5143: 4.2265401821461456e-05
Position 337: 3.6045137773447346e-05
Position 1320: 3.597106958745772e-05
Position 4733: 3.218150166215518e-05
Position 3638: 2.8229278468154762e-05
Position 342: 2.427770398107975e-05
Position 5569: 2.241134278496293e-05
Position 5707: 1.8562675315802413e-05
Position 5704: 1.8239963165852446e-05
Position 4848: 1.6047586457976132e-05
Position 4921: 1.3028005707364738e-05
Position 303: 1.2613721383446786e-05
Position 5251: 1.2219646230382407e-05
Position 676: 1.0434657691196948e-05
Position 4792: 1.0211792149895957e-05
Position 213: 1.019106332016253e-05
Position 5233: 4.720435475514549e-06
Position 4808: 4.318853652145505e-06
Position 771: 2.7749882981544025e-06
Position 734: 2.304686629688799e-06
Position 310: 1.408582361154889e-06
Position 798: 1.3658556795307896e-06
Position 706: 1.1694678252235e-06
Position 1425: 8.001906750648829e-07
Position 1063: 5.192166920898799e-07
Position 930: 3.125449345643818e-07
Position 474: 2.0560890095240676e-07
Position 216: 6.854209838537657e-08
Position 56: 5.8828325673702805e-08
Position 127: 3.9221725513591076e-08
Position 1588: 3.57886223147582e-08
Position 307: 3.502473030643484e-08
Position 229: 3.25497871259344e-08
Position 219: 1.0675088383745032e-08
Position 93: 5.496218761184781e-09
Position 124: 5.861787040924961e-10
Position 208: 1.1219624632340501e-11
Position 61: 2.1841322691441566e-12
Position 679: 1.948466597621847e-13
Position 63: 6.678090995157297e-17
