Gene = Mrtf
index = 1286
Annotated 5SS: [ 4914 37892 38117 41860]
Annotated 3SS: [37066 37975 41793 42477]
SMsplice 5SS: [  279 37892 38117 41860]
SMsplice 3SS: [37066 37975 41793 48699]
top_k =  1000
Partition function (log Z): -8.960438182480535

Sorted 5' Splice Sites (High to Low Probability):
Position 37892: 0.9996879023624753
Position 38117: 0.9957344983712462
Position 41860: 0.9026725468987788
Position 279: 0.8014216612614397
Position 38477: 0.5276766371358331
Position 911: 0.39079888940339835
Position 43369: 0.29619089941404725
Position 402: 0.19174869037335732
Position 42359: 0.16788571288855997
Position 48376: 0.08577498975459746
Position 43192: 0.0743817391112883
Position 41712: 0.05598063354450577
Position 39252: 0.054566452461976576
Position 44928: 0.04378581215917959
Position 43140: 0.03819124940222655
Position 42417: 0.030031216394856956
Position 39065: 0.01585378230773801
Position 48274: 0.009685257171336115
Position 39049: 0.008731680936317284
Position 40826: 0.008275213790708929
Position 43163: 0.007930172333918467
Position 41681: 0.007677101791415897
Position 42145: 0.006790499606991866
Position 356: 0.0041754983258450295
Position 39256: 0.0038625117710542325
Position 38570: 0.0025536408982544216
Position 38138: 0.002502540446445439
Position 41316: 0.0023335078967452383
Position 41864: 0.0021884122247977306
Position 42433: 0.001670301056749353
Position 41266: 0.001310731681632031
Position 39211: 0.001034255429219595
Position 39249: 0.0009478806177941949
Position 345: 0.0009084914541215498
Position 38282: 0.0007999929964306073
Position 38959: 0.0007926812545326158
Position 39220: 0.0007746095597635329
Position 43183: 0.0007079152901237471
Position 41314: 0.000684501792457819
Position 360: 0.0006389479892633591
Position 38693: 0.0005752430393193338
Position 42306: 0.0005513421091725402
Position 38481: 0.0005121688750714484
Position 38496: 0.00046414240099561406
Position 330: 0.0004464840690883191
Position 38744: 0.00043491095088927167
Position 43606: 0.00038864129997259056
Position 43185: 0.0003237882859611213
Position 41903: 0.0003211814085970438
Position 43204: 0.00031044027179558657
Position 269: 0.0003070929136066209
Position 38461: 0.0002751735030759667
Position 42251: 0.00019167123631110298
Position 39933: 0.0001765776996998069
Position 42274: 0.0001696388083851132
Position 41871: 0.0001444021227488268
Position 39475: 0.0001363196933501504
Position 39045: 0.0001177312249235367
Position 38842: 0.0001107188415772366
Position 340: 8.58364520010986e-05
Position 42948: 7.964377133681553e-05
Position 42304: 6.64985661202762e-05
Position 43914: 5.668729089924925e-05
Position 334: 5.38639194724544e-05
Position 38929: 4.4547303177985496e-05
Position 40427: 3.580945459392337e-05
Position 110: 3.193690221648079e-05
Position 27: 2.9763863710297005e-05
Position 41814: 2.672399750849701e-05
Position 32: 2.178872899956866e-05
Position 699: 1.9441495143888614e-05
Position 10: 1.867912996896523e-05
Position 41924: 1.8213199782965406e-05
Position 351: 1.3114569314807716e-05
Position 38: 1.2866366744000112e-05
Position 134: 1.2389339906863557e-05
Position 694: 1.1604734757300034e-05
