Gene = LSm-4
index = 1248
Annotated 5SS: [ 375  593 1211 1313 1474]
Annotated 3SS: [ 448  652 1270 1374 1646]
SMsplice 5SS: [ 375  593 1211 1313 1474]
SMsplice 3SS: [ 448  652 1270 1374 1646]
top_k =  1000
Partition function (log Z): 10.052542357204823

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.9992429277200734
Position 375: 0.9945616915385063
Position 1211: 0.9737595714722398
Position 1474: 0.8837889470287149
Position 1313: 0.7530708492398943
Position 1494: 0.03898879654449096
Position 1417: 0.02251197093565055
Position 27: 0.008011637928153873
Position 750: 0.007374446404653723
Position 1579: 0.004966100457139467
Position 245: 0.004930290004918093
Position 1231: 0.0035587711276285332
Position 1013: 0.003219366905358116
Position 803: 0.001838514173590196
Position 15: 0.0017171650583862024
Position 1549: 0.0016662300031214591
Position 922: 0.0016506215252284884
Position 1504: 0.001327427966962096
Position 1032: 0.0006808579353527574
Position 1456: 0.0006148449808297165
Position 103: 0.00045088774731580995
Position 1498: 0.0004319902442689057
Position 597: 0.0003970588290023451
Position 395: 0.00035745617266931876
Position 58: 0.0003215208238340561
Position 379: 0.0002979204556183378
Position 1320: 0.0002504314920308624
Position 168: 0.0002194976705177282
Position 844: 0.0002026899853778483
Position 849: 0.0001679711570334183
Position 1006: 0.00011224869756807946
Position 1149: 0.00010878494264957379
Position 43: 0.0001051923032018055
Position 1023: 9.986688382151226e-05
Position 819: 9.376457256644598e-05
Position 208: 9.228224063144604e-05
Position 1055: 8.933535169474345e-05
Position 740: 8.461905811830033e-05
Position 1184: 8.40054170083617e-05
Position 1394: 7.29456872393085e-05
Position 1421: 6.40531143186032e-05
Position 269: 5.995822184313206e-05
Position 1760: 5.663828721516538e-05
Position 195: 5.4573520585125254e-05
Position 1725: 5.1475808860723034e-05
Position 31: 5.1301730314334095e-05
Position 1526: 4.816652560823968e-05
Position 788: 4.5047978356238394e-05
Position 1431: 3.668482756161314e-05
Position 141: 2.9204148049086232e-05
Position 201: 2.6508222866566593e-05
Position 1515: 2.3765419617858276e-05
Position 826: 2.1452417499691534e-05
Position 734: 1.813302363394696e-05
Position 331: 1.3434873656599151e-05
Position 37: 1.0515576437194622e-05
Position 1374: 9.798633375390006e-06
Position 356: 9.265348922822171e-06
Position 166: 5.9389614260621644e-06
Position 557: 5.269555000466105e-06
Position 72: 4.331572240091216e-06
Position 101: 3.4292193774055115e-06
Position 1073: 3.3930189408047474e-06
Position 1737: 3.2398082995839598e-06
Position 1355: 2.6791703048091265e-06
Position 1378: 2.5211448707381158e-06
Position 551: 2.3840781702679093e-06
Position 328: 2.3835416239598095e-06
Position 1175: 1.998358886255568e-06
Position 1630: 1.9838474948621238e-06
Position 681: 1.3063212932580494e-06
Position 78: 1.013630860789232e-06
Position 1340: 8.265349677289527e-07
Position 147: 8.258667524229249e-07
Position 1912: 7.881583900860311e-07
Position 543: 7.543181704285279e-07
Position 152: 7.54027676440113e-07
Position 1120: 5.344097956894958e-07
Position 286: 5.023187972028065e-07
Position 1885: 4.807545859626651e-07
Position 172: 4.7249321767636935e-07
Position 154: 4.20027094434695e-07
Position 1658: 3.452421773935355e-07
Position 429: 3.1781273596621004e-07
Position 876: 3.170343697054613e-07
Position 504: 2.6550643651259373e-07
Position 1528: 2.593744547606268e-07
Position 1409: 1.5640044760147008e-07
Position 483: 1.4127226169778123e-07
Position 541: 1.3706136508279322e-07
Position 1122: 8.64183149812548e-08
Position 1678: 8.556466222858557e-08
Position 69: 7.83248403918718e-08
Position 1936: 6.963850938744802e-08
Position 448: 5.496767208159981e-08
Position 1262: 4.2306446782107354e-08
Position 864: 4.189787142484413e-08
Position 1138: 3.6506489475989155e-08
Position 657: 3.4746202259158806e-08
Position 414: 1.72869879136934e-08
Position 465: 1.3737455201428531e-08
Position 441: 1.1484390159334713e-08
Position 652: 7.876221161490762e-09
Position 1264: 4.44932493361444e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 448: 0.9884491505450438
Position 652: 0.9737049869553264
Position 1270: 0.9611785573558189
Position 1646: 0.9391949997700074
Position 1374: 0.750224310634245
Position 1518: 0.01956617809559482
Position 681: 0.016833593130151477
Position 83: 0.009318969152449176
Position 978: 0.00842374392112678
Position 1295: 0.0079142192087868
Position 1586: 0.007316054007087718
Position 314: 0.005913290064528848
Position 456: 0.003683954046100851
Position 788: 0.0029191621588223918
Position 1097: 0.002762894953754642
Position 900: 0.002020410022716004
Position 1080: 0.0017205165158783971
Position 695: 0.0015912886841370551
Position 849: 0.001460958836975143
Position 459: 0.001271051502834713
Position 483: 0.0010744633180969664
Position 1149: 0.0010165594280975472
Position 723: 0.0010057740841541794
Position 166: 0.00034558250363520785
Position 1116: 0.0003231709432937036
Position 1023: 0.0003132904063505807
Position 525: 0.0002931081130363758
Position 984: 0.000274365632250069
Position 471: 0.0002504819011888614
Position 501: 0.0002394471096783088
Position 910: 0.00022051291454153055
Position 1817: 0.00018277401702782375
Position 98: 0.0001652573585524617
Position 195: 0.00012848289960334965
Position 1300: 0.00011808745190841178
Position 1340: 0.00011780747971382608
Position 1725: 8.894277571483726e-05
Position 707: 7.78025728494883e-05
Position 1776: 7.546197652666235e-05
Position 141: 6.812249898108625e-05
Position 1473: 6.337304862204845e-05
Position 819: 5.3803299997422804e-05
Position 1001: 4.1465588311661706e-05
Position 1745: 4.0680032517027025e-05
Position 192: 2.2834884853345918e-05
Position 324: 2.244398624091429e-05
Position 1742: 1.563723353366408e-05
Position 1421: 1.484660070410639e-05
Position 1608: 1.2033388094154171e-05
Position 101: 1.1004389572432607e-05
Position 799: 9.532873211182042e-06
Position 750: 8.560869352797354e-06
Position 108: 7.814352603910805e-06
Position 1042: 6.978066330244902e-06
Position 1874: 3.3898262773476334e-06
Position 557: 3.271329029632949e-06
Position 1317: 3.2347000005971376e-06
Position 1240: 2.508981762113977e-06
Position 515: 2.1899868210352977e-06
Position 244: 2.0301842516689784e-06
Position 1982: 1.8213563301122459e-06
Position 1754: 1.6469014123932409e-06
Position 336: 1.324974460097916e-06
Position 1693: 4.903833772174709e-07
Position 1960: 4.342190829619314e-07
Position 208: 3.054484623818102e-07
Position 918: 2.2209990111913036e-07
Position 1242: 1.740886962617154e-07
Position 1215: 1.5769917526831536e-07
Position 1032: 1.5484883696644445e-07
Position 1302: 4.57363701559047e-08
Position 375: 1.1496383842641438e-08
Position 58: 9.503438336803204e-09
Position 379: 6.878798792928044e-09
Position 568: 1.9650347676115744e-09
Position 593: 1.3044867931563484e-09
Position 1383: 2.974645580186614e-10
Position 345: 1.6339699473007277e-10
Position 511: 6.900236818733273e-11
Position 597: 2.0334720034704716e-12
