Gene = Acp26Aa
index = 8
Annotated 5SS: [59]
Annotated 3SS: [114]
SMsplice 5SS: [59]
SMsplice 3SS: [114]
top_k =  1000
Partition function (log Z): -5.4059918706786245

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.9972904717444356
Position 347: 0.058824219630744856
Position 570: 0.032237791551199775
Position 181: 0.004785406776980952
Position 676: 0.004363707290032818
Position 476: 0.004211904664906815
Position 196: 0.002613827775591505
Position 145: 0.002132666612901671
Position 691: 0.001556255434544883
Position 261: 0.0014151760422493728
Position 922: 0.0004047468166777253
Position 878: 0.00026741027458239126
Position 754: 0.00026705731980892746
Position 213: 0.0002642252372830316
Position 499: 0.00021866563097156644
Position 451: 0.00021518482635110624
Position 738: 8.78677008366047e-05
Position 578: 3.306416235527078e-05
Position 722: 2.614528742954911e-05
Position 63: 1.3747850005817198e-05
Position 892: 1.307941026268772e-05
Position 929: 9.414383378260319e-06
Position 828: 7.944919496557415e-06
Position 612: 4.813196688852637e-06
Position 685: 3.2212722361549063e-06
Position 662: 2.770451235942915e-06
Position 816: 1.873717902311042e-06
Position 787: 8.635186377717595e-07
Position 99: 5.582099233880652e-07
Position 129: 2.8408580883539956e-08
Position 109: 1.432283589632178e-09
Position 114: 6.680975822168663e-10
Position 674: 1.7243777490235421e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.6080435644547696
Position 129: 0.3631214203960482
Position 402: 0.08164152278568095
Position 622: 0.03597762991931179
Position 346: 0.006113069594863222
Position 408: 0.0037324393434518717
Position 780: 0.002478824242685546
Position 981: 0.002215375069193039
Position 594: 0.002022860634457211
Position 728: 0.0017152635232372043
Position 1010: 0.0014281153606553053
Position 543: 0.0004268967369016338
Position 165: 0.0004023405504363929
Position 722: 0.00022194720864134417
Position 426: 0.00021033658108651732
Position 537: 0.00018815496473548047
Position 908: 0.0001519946897148164
Position 662: 0.0001233949815514346
Position 451: 0.0001169082499804029
Position 878: 0.00011653361259862019
Position 570: 0.00010995221804963014
Position 196: 0.0001033746610743731
Position 816: 8.907016195585796e-05
Position 438: 8.685665225944403e-05
Position 787: 7.422248817917723e-05
Position 239: 4.6278414804861534e-05
Position 224: 3.77891289123752e-05
Position 691: 3.753060229632173e-05
Position 578: 3.088728566003259e-05
Position 364: 2.3631624515024226e-05
Position 264: 2.2205794793872262e-05
Position 473: 1.622413615212225e-05
Position 671: 1.5620838452910806e-05
Position 136: 1.4830124844321198e-05
Position 742: 1.4709244340238602e-05
Position 913: 1.4156399417404824e-05
Position 794: 1.34568252999968e-05
Position 732: 1.134631913612348e-05
Position 461: 9.813031474061586e-06
Position 249: 9.106808297140317e-06
Position 181: 8.838390704832573e-06
Position 855: 8.305633297959385e-06
Position 284: 4.9416639574376315e-06
Position 255: 4.153365422490905e-06
Position 145: 3.7554318214165185e-06
Position 839: 3.3995660320193027e-06
Position 939: 2.36816859073821e-06
Position 791: 2.1965493187179494e-06
Position 273: 2.1532728440304224e-06
Position 602: 1.7218798865909104e-06
Position 491: 1.6974211393597198e-06
Position 922: 8.912480814788718e-07
Position 499: 2.3357319767110334e-08
Position 475: 5.653084497637349e-09
Position 550: 3.3335977948699605e-09
Position 488: 7.414588240126572e-10
Position 233: 6.765417588546129e-10
Position 545: 3.4563184193203154e-10
Position 149: 3.240454473637448e-11
