Gene = sturkopf
index = 1898
Annotated 5SS: [122 658]
Annotated 3SS: [255 716]
SMsplice 5SS: [658]
SMsplice 3SS: [716]
top_k =  1000
Partition function (log Z): -7.407985610560356

Sorted 5' Splice Sites (High to Low Probability):
Position 658: 0.9426203641944474
Position 122: 0.08197732644233467
Position 1010: 0.06863854829108748
Position 1412: 0.05857652521266239
Position 1075: 0.014325139136189897
Position 1078: 0.011509569058895825
Position 849: 0.008330621881679082
Position 524: 0.007307192621174816
Position 1033: 0.007018232279098654
Position 1024: 0.006212623928070836
Position 1031: 0.004694035487265447
Position 338: 0.0044542574700564275
Position 689: 0.004430173199263003
Position 943: 0.004080732307749136
Position 1533: 0.0035008703969588405
Position 592: 0.0031092676190381577
Position 1073: 0.0027116456624402
Position 761: 0.0014428128803060044
Position 651: 0.0013601582204539437
Position 5: 0.0013016360997481317
Position 1406: 0.0011184030928246315
Position 998: 0.0010462242934236082
Position 1238: 0.0007759810492295214
Position 341: 0.0007319224736527905
Position 965: 0.0006062044707403368
Position 45: 0.0005578694780046941
Position 1214: 0.0005246011604934246
Position 415: 0.0005134020378951784
Position 31: 0.0004937181799293401
Position 400: 0.00044326904054575256
Position 583: 0.00043361797218434845
Position 889: 0.00038571534029423774
Position 1337: 0.0003031906546154552
Position 1264: 0.00028341915628957615
Position 180: 0.0002806312820074221
Position 1292: 0.00017737643761122886
Position 1449: 0.00014977041328204522
Position 1440: 0.00014350998372113927
Position 1000: 0.00010998078965370839
Position 629: 9.153599855811091e-05
Position 662: 9.050338056478158e-05
Position 1442: 8.619321964602369e-05
Position 1169: 8.348187338921271e-05
Position 174: 7.992334243204409e-05
Position 1181: 7.487768884320684e-05
Position 605: 6.173988675988984e-05
Position 126: 6.070237125602309e-05
Position 982: 5.970971457215977e-05
Position 854: 4.786419448187013e-05
Position 59: 4.179464396686189e-05
Position 685: 4.160683990903174e-05
Position 1456: 4.1141728837695753e-05
Position 360: 3.210260652696423e-05
Position 391: 3.1285963115974644e-05
Position 842: 2.8475347463140326e-05
Position 750: 2.720290961924961e-05
Position 930: 2.4260840494222206e-05
Position 645: 2.1135144560579903e-05
Position 389: 1.8460173214528674e-05
Position 1584: 1.8055127884997475e-05
Position 101: 1.589470822763047e-05
Position 664: 1.3887985748740463e-05
Position 209: 1.1341677464546903e-05
Position 1153: 1.0826641894460154e-05
Position 319: 1.0478296384713345e-05
Position 672: 9.864680887525584e-06
Position 258: 6.153344869941368e-06
Position 480: 5.530100061717297e-06
Position 437: 4.697691231959911e-06
Position 558: 3.89828960608859e-06
Position 189: 2.7301475413376806e-06
Position 260: 1.7559159146685082e-06
Position 1184: 1.4817837844691184e-06
Position 1572: 5.100042516487963e-07
Position 113: 4.2666858136784723e-07
Position 955: 1.9325344950723626e-07
Position 218: 5.803929050447685e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.7924393129264963
Position 1132: 0.31627409263196393
Position 1611: 0.041900658393286064
Position 186: 0.03886990984909786
Position 1512: 0.02073533677908376
Position 1470: 0.0063428509540696485
Position 437: 0.005255709769998581
Position 591: 0.004551486970962674
Position 432: 0.0032509561102158162
Position 1315: 0.002353735400432832
Position 197: 0.002222627735810617
Position 523: 0.0015837510158360705
Position 1172: 0.0014182474002124624
Position 307: 0.001197131259622092
Position 453: 0.001047260130860144
Position 603: 0.0008677866310899882
Position 1053: 0.0007582791157111391
Position 161: 0.0007151315150509339
Position 414: 0.0006917030237791544
Position 258: 0.0005903124869522387
Position 255: 0.0005828770477095882
Position 743: 0.0004972703358765341
Position 1584: 0.00040085817464043143
Position 1598: 0.00037404311560965906
Position 456: 0.0003625484034619249
Position 268: 0.0003133198589205843
Position 904: 0.0003087218707005425
Position 657: 0.00024320576841704134
Position 325: 0.0002321219060962238
Position 1336: 0.00019502209405885718
Position 1153: 0.00014790791241840802
Position 398: 0.00013730407512263783
Position 141: 0.00012912367313732122
Position 1636: 0.00010243930322853617
Position 774: 9.453019988319377e-05
Position 1478: 9.274862498104664e-05
Position 1099: 8.910924472713979e-05
Position 1396: 5.735914878419699e-05
Position 1541: 4.37381199398321e-05
Position 1643: 2.7988302656190847e-05
Position 1009: 2.5745595273936573e-05
Position 1241: 2.390091551727792e-05
Position 1204: 2.2445528410249204e-05
Position 1552: 2.231519787293918e-05
Position 107: 2.1759713395820505e-05
Position 1620: 1.948836734797923e-05
Position 943: 1.936257277177415e-05
Position 1180: 1.7529356481534658e-05
Position 612: 1.6162391751186787e-05
Position 645: 1.5108951569610858e-05
Position 745: 1.2862290360971821e-05
Position 1264: 1.2309127695647174e-05
Position 126: 1.1418971648115218e-05
Position 695: 1.1276219513016363e-05
Position 376: 1.0739888911147723e-05
Position 1325: 1.0558240952305257e-05
Position 1230: 1.0115991881589049e-05
Position 551: 7.538364966546747e-06
Position 626: 6.548754716208285e-06
Position 554: 6.4814215029343576e-06
Position 1432: 6.3491286024289656e-06
Position 859: 6.335489164192701e-06
Position 470: 6.0732953635806345e-06
Position 849: 4.569978183027768e-06
Position 835: 4.548006128020591e-06
Position 270: 4.312998732100097e-06
Position 473: 3.285735641827044e-06
Position 1348: 2.5232672067717244e-06
Position 332: 1.8978383600066012e-06
Position 351: 1.496040048788269e-07
Position 1234: 6.000404718640598e-08
Position 400: 1.6296681434862008e-08
Position 337: 1.4975104974124914e-08
Position 662: 1.5994255432594363e-10
