Gene = Culd
index = 1112
Annotated 5SS: [ 292  685 1153 2055 2818]
Annotated 3SS: [ 353  747 1685 2112 2883]
SMsplice 5SS: [ 292 1153 1519 2055 2818]
SMsplice 3SS: [ 353 1348 1685 2112 2883]
top_k =  1000
Partition function (log Z): 5.384208112520134

Sorted 5' Splice Sites (High to Low Probability):
Position 2055: 0.9927960672974941
Position 292: 0.9804528382201673
Position 1153: 0.9687676397782391
Position 2818: 0.937048300205496
Position 1519: 0.6654776446036692
Position 2998: 0.45823587532608545
Position 685: 0.396155084807821
Position 909: 0.3164632853420051
Position 2544: 0.14231185222410553
Position 1615: 0.1378490930768956
Position 1000: 0.06937204525604089
Position 705: 0.04103266713585737
Position 2264: 0.027400559706803475
Position 1591: 0.020997759417710905
Position 594: 0.01472504886088488
Position 3197: 0.00928983899489066
Position 868: 0.008079955148375948
Position 1550: 0.006710202309624681
Position 437: 0.005915281738494773
Position 1265: 0.005870567851987167
Position 1495: 0.005189724678024167
Position 1216: 0.0038014623185566292
Position 1430: 0.002874801291608907
Position 3213: 0.0027610880397567214
Position 1255: 0.0025749227090247216
Position 1555: 0.0023928953408347354
Position 1026: 0.0023158628541792756
Position 481: 0.00220483735380539
Position 1514: 0.0021178101845268503
Position 1504: 0.001910559936523983
Position 1098: 0.0014149687092748914
Position 3002: 0.0012892928047294147
Position 2406: 0.0012188651296901967
Position 1558: 0.0007263301662250381
Position 1509: 0.0006407471598475869
Position 3822: 0.0006356144777291411
Position 2822: 0.0005726238726163782
Position 271: 0.0005021224947970182
Position 1157: 0.00040497242544314764
Position 256: 0.000404480282264819
Position 822: 0.0003004790465004862
Position 762: 0.00026658883629897463
Position 2385: 0.00025758654844285886
Position 2455: 0.0002469080415635718
Position 1433: 0.0002419306305745547
Position 2425: 0.0002292031977507059
Position 3833: 0.0001987348202546448
Position 3204: 0.00018868153615487102
Position 709: 0.00017588846921413155
Position 2815: 0.00017427209816986238
Position 298: 0.000161526477826066
Position 2059: 0.0001518959554957492
Position 3809: 0.0001488330758862236
Position 701: 0.00014637328432902182
Position 1442: 0.00014630295428007075
Position 1572: 0.0001354277767464623
Position 1080: 0.0001340090895041917
Position 1757: 0.00012194038307346023
Position 3201: 0.00012166693400943419
Position 2000: 0.00012151944360513068
Position 1437: 0.00011775225578822268
Position 836: 0.00011354085685063209
Position 802: 9.996756061544326e-05
Position 401: 9.288388679908359e-05
Position 1595: 8.460474434361671e-05
Position 296: 8.223567465490013e-05
