Gene = NUCB1
index = 1307
Annotated 5SS: [388]
Annotated 3SS: [2726]
SMsplice 5SS: [388]
SMsplice 3SS: [2726]
top_k =  1000
Partition function (log Z): -4.449617929915846

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9889978121045822
Position 2601: 0.22466355150454564
Position 1418: 0.024484545914193762
Position 2415: 0.008243283746832737
Position 350: 0.007980368668751663
Position 592: 0.00745847952976607
Position 2001: 0.007017977828313271
Position 2646: 0.006313634092559136
Position 1585: 0.005300358731241122
Position 1308: 0.004199274706754921
Position 1960: 0.003993989317020279
Position 613: 0.003651869787468137
Position 644: 0.003549303079352945
Position 1189: 0.003489938855435713
Position 1883: 0.0031095966564716644
Position 1855: 0.002995199585127519
Position 2877: 0.0029314588125475003
Position 2498: 0.0028122018668211403
Position 392: 0.0027810597343998623
Position 1332: 0.002320938373495137
Position 11: 0.002089609873478517
Position 2212: 0.002025501348467208
Position 606: 0.0019604232395850746
Position 686: 0.001952638220024719
Position 2511: 0.001902377412920719
Position 1255: 0.0015368838627044011
Position 3792: 0.0013930939367866888
Position 2515: 0.0013324051721264158
Position 1392: 0.0012430270940476365
Position 756: 0.0012412723768181117
Position 641: 0.0012133158414250173
Position 4253: 0.0011159030168210995
Position 3352: 0.0009776385038444532
Position 650: 0.0008127995184725537
Position 2389: 0.0007057475882571245
Position 36: 0.000662137622756444
Position 4337: 0.0006486342727433307
Position 631: 0.0005308726505718516
Position 1515: 0.0004896135285029896
Position 148: 0.0004015412710980829
Position 16: 0.00039415020274897013
Position 4137: 0.0003867331048016569
Position 1880: 0.00035486170954527376
Position 2085: 0.0003452104536003939
Position 2571: 0.0003368053755070045
Position 534: 0.0003111881240557998
Position 1055: 0.0003011396214316549
Position 2015: 0.0002673428507674921
Position 1663: 0.0002328958747716771
Position 109: 0.00023146135280093674
Position 3002: 0.00022281205010375905
Position 1604: 0.00022242486115121052
Position 3749: 0.0001913557420200442
Position 3294: 0.0001860294304134672
Position 531: 0.0001854076583755947
Position 3423: 0.0001841980938320928
Position 1167: 0.00013831880973971282
Position 2017: 0.0001222722257870509
Position 1690: 0.00012111354709485369
Position 1401: 0.00011785533466844099
Position 639: 0.00011671984404505757
Position 3537: 9.611192744752868e-05
Position 316: 9.519433372791309e-05
Position 2393: 9.455488042674527e-05
Position 1790: 8.400003787164428e-05
Position 1249: 8.093976044899877e-05
