Gene = Sfp77F
index = 1494
Annotated 5SS: [98]
Annotated 3SS: [154]
SMsplice 5SS: [98]
SMsplice 3SS: [154]
top_k =  1000
Partition function (log Z): -5.86676597960885

Sorted 5' Splice Sites (High to Low Probability):
Position 98: 0.968174223835195
Position 345: 0.16320615619211454
Position 431: 0.11773887389049688
Position 403: 0.11651901969553374
Position 461: 0.09955006557247043
Position 421: 0.04303350418450584
Position 241: 0.033176384082097665
Position 692: 0.004059649877937154
Position 304: 0.0019320561020424374
Position 425: 0.001745685385041943
Position 824: 0.001252212314242528
Position 349: 0.0007861083814499908
Position 208: 0.0005401773532328273
Position 133: 0.0005230795814538578
Position 245: 0.0005122597397372586
Position 828: 0.0003603076749568686
Position 753: 0.0003354322920962211
Position 778: 0.00019508272993949525
Position 838: 0.0001948179131153953
Position 265: 0.00018423741936206403
Position 106: 0.00010493384784836874
Position 543: 8.984552458321949e-05
Position 765: 8.956649429569926e-05
Position 916: 8.305448299411257e-05
Position 274: 6.325695747821952e-05
Position 158: 6.025310494931005e-05
Position 28: 4.7018421894173354e-05
Position 33: 4.2529385238851784e-05
Position 505: 3.6102160917528306e-05
Position 854: 2.0124421469908072e-05
Position 154: 1.5774037038962743e-05
Position 407: 1.4538971438309267e-05
Position 465: 1.433403382138978e-05
Position 224: 1.1825915211415769e-05
Position 435: 9.303142622219733e-06
Position 613: 7.550705986933408e-06
Position 206: 7.527454088071466e-06
Position 817: 7.150947679183804e-06
Position 508: 6.605374797962509e-06
Position 683: 6.091376928653454e-06
Position 782: 2.7761127943646464e-06
Position 957: 1.8498719703880008e-06
Position 490: 1.1172906762063291e-06
Position 31: 6.901232159085696e-07
Position 962: 3.574969608710665e-07
Position 5: 5.474037913183727e-10
Position 479: 7.609882440978593e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 154: 0.9445979529575823
Position 525: 0.4933498568646283
Position 622: 0.0331535502547975
Position 494: 0.03276535505465741
Position 809: 0.014468298881261566
Position 673: 0.01156245827126786
Position 185: 0.005916096822006487
Position 403: 0.0031094795019301624
Position 911: 0.002686234805220029
Position 236: 0.002634920559721127
Position 583: 0.002499272094882498
Position 503: 0.0013128831486521175
Position 765: 0.0009042547319328624
Position 530: 0.0008813522038506248
Position 854: 0.0007830610822216908
Position 216: 0.0005166166767897707
Position 546: 0.0004473561570860087
Position 1083: 0.0004300378632395919
Position 658: 0.00042205974995399476
Position 431: 0.00035179445544557795
Position 508: 0.0003335895015863331
Position 1072: 0.0003280550765235812
Position 557: 0.0003065533933559246
Position 265: 0.0001905762019714289
Position 319: 0.00013954678725364617
Position 162: 0.0001265557087917622
Position 286: 0.00012501840412562618
Position 1132: 9.439992424011702e-05
Position 329: 8.156208383170826e-05
Position 1046: 7.66842902740073e-05
Position 368: 4.6474565844776236e-05
Position 641: 4.241988384462992e-05
Position 303: 2.808522074431494e-05
Position 980: 2.2568531778189488e-05
Position 1043: 1.487618565599125e-05
Position 241: 3.750021485488551e-06
Position 916: 3.0422069767642107e-06
Position 244: 2.703961492902505e-06
Position 691: 2.200774675904617e-06
Position 645: 1.2505587119977624e-06
Position 75: 5.841781390536917e-07
Position 336: 8.557585527391938e-08
Position 133: 2.540637523816995e-08
Position 102: 7.314828930074995e-09
Position 90: 3.410630449766422e-09
Position 539: 1.0744263782914957e-09
Position 49: 3.3390273059010124e-11
Position 53: 4.834312175574684e-12
Position 59: 3.3142001893349046e-12
