Gene = PIG-U
index = 1358
Annotated 5SS: [ 187  872 1206]
Annotated 3SS: [ 246  933 1265]
SMsplice 5SS: [ 187  872 1206]
SMsplice 3SS: [ 246  933 1265]
top_k =  1000
Partition function (log Z): 4.277507152252203

Sorted 5' Splice Sites (High to Low Probability):
Position 1206: 0.9966867586914949
Position 872: 0.9906563056367831
Position 187: 0.9848740565640551
Position 476: 0.04623282571270501
Position 303: 0.04032751624498277
Position 603: 0.02103461951897418
Position 1516: 0.008751052312299376
Position 191: 0.00452549599311385
Position 645: 0.0035872837411660198
Position 1449: 0.0020569517491715672
Position 540: 0.001696248394372204
Position 573: 0.0016733480765776278
Position 865: 0.0010987982989666446
Position 503: 0.0007058760803939158
Position 1068: 0.00042694258681742043
Position 546: 0.00040225857295301816
Position 200: 0.000285084774934694
Position 344: 0.0002850167244178139
Position 792: 0.00023844303940100827
Position 860: 0.00017363452230669517
Position 362: 0.0001713382306995519
Position 756: 0.00016838275912022595
Position 1106: 0.00016321954156097658
Position 424: 0.00015223512241822193
Position 976: 9.983400461106333e-05
Position 714: 9.449168496491552e-05
Position 901: 8.887625896381167e-05
Position 1046: 7.482267821402399e-05
Position 617: 7.157231487309349e-05
Position 1210: 6.959274391639502e-05
Position 562: 6.718631852345303e-05
Position 1197: 5.952153900044417e-05
Position 675: 4.7035179275836275e-05
Position 766: 4.634058169107496e-05
Position 693: 4.4485249544790266e-05
Position 1535: 4.2529781233078546e-05
Position 1470: 3.57058968924828e-05
Position 1562: 2.9537430538872158e-05
Position 994: 2.3457989674999056e-05
Position 1508: 1.954057310464868e-05
Position 223: 1.9154894066440206e-05
Position 738: 1.868695682428514e-05
Position 1339: 1.8548259690336735e-05
Position 435: 1.7944751239333344e-05
Position 905: 1.7762223713437624e-05
Position 150: 1.7527303831246278e-05
Position 1138: 1.5479041901880588e-05
Position 155: 1.1650614275279521e-05
Position 683: 8.343407972658895e-06
Position 1058: 8.111928061980034e-06
Position 1286: 7.076688100060708e-06
Position 813: 6.747169371710377e-06
Position 894: 5.956336200894921e-06
Position 99: 5.392756321606051e-06
Position 1380: 4.515124651834867e-06
Position 1252: 3.475497671153843e-06
Position 799: 2.8839864652563043e-06
Position 25: 2.64075170291539e-06
Position 1186: 2.4815421540579024e-06
Position 274: 2.2066456921060205e-06
Position 1015: 1.893797809500238e-06
Position 807: 1.794080272147183e-06
Position 828: 1.5880443500611001e-06
Position 1157: 1.36080626383713e-06
Position 1294: 1.3358984735555482e-06
Position 1529: 1.2779616409445746e-06
Position 796: 8.103295849164342e-07
Position 234: 7.269094433162304e-07
Position 1224: 7.047335351340951e-07
Position 1112: 6.107716834571138e-07
Position 1393: 5.346862282228687e-07
Position 1442: 5.304503476503035e-07
Position 68: 3.2472666758522576e-07
Position 966: 2.967288508297699e-07
Position 1462: 2.681788275360764e-07
Position 1304: 2.2332992646452607e-07
Position 29: 8.789489891273168e-08
Position 915: 8.285345326543586e-08
Position 1283: 7.00659047269991e-08
Position 1432: 6.172478676499419e-08
Position 246: 6.081745381242311e-08
Position 1127: 5.382498237371383e-08
Position 1453: 4.821723890040302e-08
Position 768: 3.056455131164497e-08
Position 115: 2.9274417202497168e-08
Position 1227: 2.7989789192236212e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1265: 0.9966464818367833
Position 933: 0.9800741381581056
Position 246: 0.8837632766368098
Position 723: 0.11016623154914695
Position 362: 0.03972914877406071
Position 272: 0.0347945067507689
Position 675: 0.0221318996287954
Position 955: 0.013842560010148225
Position 1567: 0.0067962834595086865
Position 700: 0.006782638768718614
Position 562: 0.004780737356869269
Position 1635: 0.0019274740905565458
Position 760: 0.0010985473691222031
Position 1134: 0.0007798083166595368
Position 1593: 0.0007635187397981889
Position 650: 0.0007059161468146075
Position 1529: 0.0006613221382748355
Position 1573: 0.0006483109424550413
Position 1408: 0.00031748251422666364
Position 328: 0.00020375243217865666
Position 440: 0.00015856958877132104
Position 252: 9.684454419202312e-05
Position 1352: 9.268531418595565e-05
Position 838: 8.701391456891537e-05
Position 1535: 5.74702848854127e-05
Position 796: 5.412022984315322e-05
Position 1516: 5.001059103015698e-05
Position 813: 4.436861165817515e-05
Position 610: 3.0059004018886747e-05
Position 1100: 2.9731999628350084e-05
Position 1520: 2.8718213878635477e-05
Position 1068: 2.5605151938989808e-05
Position 449: 2.4700168867752613e-05
Position 424: 2.077072125518094e-05
Position 446: 1.73584601977637e-05
Position 1474: 1.192919612402329e-05
Position 1477: 7.614212556614554e-06
Position 1547: 7.0411669832021976e-06
Position 1610: 6.815255352077905e-06
Position 1146: 5.9331760058159836e-06
Position 430: 3.807535061033917e-06
Position 1554: 3.736759058647157e-06
Position 455: 3.390964625679792e-06
Position 1075: 3.3325435251936674e-06
Position 1499: 2.9014881771358877e-06
Position 1508: 2.0747338629692353e-06
Position 1084: 1.9139030068075008e-06
Position 1194: 1.817362982015177e-06
Position 234: 9.795013798534227e-07
Position 1615: 9.742727233580673e-07
Position 777: 8.300760833233435e-07
Position 458: 5.244232949019858e-07
Position 254: 4.215451586917559e-07
Position 521: 3.1588625799253503e-07
Position 763: 2.640447512819245e-07
Position 1227: 2.2694056704275135e-07
Position 1495: 1.4657224775387853e-07
Position 580: 1.3017534373640344e-07
Position 1000: 1.0396227548547386e-07
Position 68: 1.0184049306608118e-07
Position 894: 7.936557415796834e-08
Position 214: 6.870424124517277e-08
Position 1087: 4.557499932302946e-08
Position 1453: 2.8222399636403307e-08
Position 1503: 1.9498760922136647e-08
Position 223: 2.8561731340143933e-09
Position 464: 2.5361778623183385e-09
Position 182: 2.266425350895453e-09
Position 485: 1.357743494522627e-09
Position 503: 1.2489575955344175e-09
Position 274: 5.55824026392568e-10
Position 155: 5.511418559210895e-10
Position 473: 5.024882172208223e-10
Position 187: 2.6621043739579974e-10
Position 203: 1.0451045636361017e-10
Position 495: 6.935127572878522e-11
Position 467: 1.3602773359821797e-11
Position 200: 4.2402200749546375e-12
Position 1244: 2.132299856269267e-13
Position 191: 1.4439344385467293e-13
Position 150: 1.315289258993778e-13
Position 476: 3.734919282947472e-14
Position 497: 2.9388127645911204e-14
