Gene = Tg
index = 1557
Annotated 5SS: [  479 15079]
Annotated 3SS: [13111 15142]
SMsplice 5SS: [  479 15079]
SMsplice 3SS: [13111 15142]
top_k =  1000
Partition function (log Z): -3.9046436022952635

Sorted 5' Splice Sites (High to Low Probability):
Position 15079: 0.9985502401736143
Position 479: 0.9567186126180558
Position 1699: 0.28388398649587293
Position 7932: 0.17068922393333733
Position 15356: 0.08495732004784282
Position 8184: 0.08447795598565344
Position 9815: 0.08368982342521573
Position 239: 0.056251526308972295
Position 3870: 0.05174237758108993
Position 9875: 0.03965163885325141
Position 8300: 0.022701054133096418
Position 4493: 0.019117258746914993
Position 3024: 0.017520277037107953
Position 5871: 0.009466572282313426
Position 12372: 0.00844562524912303
Position 2825: 0.008028410838014173
Position 7553: 0.007526378737811988
Position 8864: 0.006481379173037461
Position 319: 0.005992417105012059
Position 7285: 0.005804715349543711
Position 1456: 0.0057021104237263915
Position 7231: 0.004570247938717911
Position 1047: 0.004436690348193722
Position 268: 0.0038663056854118037
Position 3338: 0.003162569641942531
Position 7767: 0.0024420104318728856
Position 1023: 0.0024200815816036105
Position 15380: 0.002266916634020979
Position 15408: 0.0018532118095705397
Position 3762: 0.0017472542114700437
Position 8030: 0.00154100086748065
Position 286: 0.0015211661962016784
Position 7528: 0.0014947581238645357
Position 2415: 0.0013321608712065728
Position 775: 0.0013306120049465014
Position 9539: 0.0012779909398371785
Position 10095: 0.0012500263498779515
Position 2361: 0.0011823027437254626
Position 15387: 0.00112704190717369
Position 3559: 0.0011159197027638971
Position 6891: 0.0009235386778257604
Position 7289: 0.000853315472910502
Position 1415: 0.0005298196491414693
Position 15390: 0.00044740847217870455
Position 15398: 0.0004331798376854823
Position 2419: 0.0002589612298574357
Position 6608: 0.00018848316627234114
Position 143: 0.00017196286828401555
Position 1510: 0.00017002283929770236
Position 750: 0.00014457777500640186
Position 540: 0.00012585827012613366
Position 119: 0.00012050805325748466
Position 483: 0.00011708362420583912
Position 165: 0.00011393677298628425
Position 3000: 0.00010953467771543455
Position 170: 0.00010929022639761029
Position 4077: 0.00010554447340522272
Position 1747: 0.00010398114903123843
Position 849: 0.00010316892340419749
Position 2401: 0.00010012315954860309
Position 548: 8.584320661367097e-05
Position 1656: 6.288368482019339e-05
Position 197: 6.185374775712417e-05
Position 1548: 5.860954835724849e-05
Position 884: 5.731171741035352e-05
Position 886: 5.4336420862698115e-05
Position 65: 5.4038915367826635e-05
Position 323: 5.2918399805349353e-05
Position 1384: 5.2495589298134045e-05
Position 1370: 4.782988616354121e-05
Position 422: 3.660954163024116e-05
Position 2579: 3.613052860043179e-05
Position 1172: 3.480958821377956e-05
Position 15405: 3.450437023812528e-05
Position 619: 3.2334729155770186e-05
Position 773: 3.141211466943879e-05
Position 14183: 3.044608582227445e-05
Position 1727: 2.499541374205196e-05
Position 656: 2.450073551512461e-05
Position 178: 2.2967057460410347e-05
Position 3518: 2.278742678355188e-05
Position 13738: 2.110552664802104e-05
Position 1489: 2.092803114704248e-05
Position 2606: 2.0641237151457056e-05
Position 13626: 1.97153296477344e-05
Position 2075: 1.8914818677063325e-05
Position 2798: 1.866535629081291e-05
Position 8366: 1.6030233982816907e-05
Position 1004: 1.3314436605327474e-05
Position 15220: 1.2265477750951171e-05
Position 609: 1.2263433137031585e-05
Position 2298: 1.1124194270341485e-05
Position 1009: 1.1034122111813157e-05
Position 6138: 9.276111713491606e-06
Position 1460: 8.135835233011146e-06
Position 650: 7.96393516413271e-06
Position 2865: 7.656980033439946e-06
Position 855: 7.038948859353967e-06
Position 1821: 5.275744114573322e-06
Position 712: 4.8713249297381184e-06
Position 321: 4.6427776661394605e-06
Position 16: 4.516703076417252e-06
Position 369: 3.927989488531163e-06
Position 2593: 3.905033099072488e-06
Position 1375: 3.877266985243162e-06
Position 326: 3.5683198686639166e-06
Position 679: 3.509547367439926e-06
Position 6013: 3.202692788568142e-06
Position 5922: 2.9439286424726637e-06
Position 689: 2.5959062149523317e-06
Position 77: 2.5562468730535374e-06
Position 2086: 1.785485295162434e-06
Position 2541: 1.575462708610696e-06
Position 1908: 1.1764997033086325e-06
Position 3: 1.127504220297253e-06
