Gene = tomb
index = 1914
Annotated 5SS: [201]
Annotated 3SS: [262]
SMsplice 5SS: [201]
SMsplice 3SS: [262]
top_k =  1000
Partition function (log Z): -3.8326477968091566

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9650024498002128
Position 471: 0.46007774102441434
Position 197: 0.03160232239490914
Position 418: 0.016573947849499854
Position 481: 0.0025216600895889736
Position 184: 0.000922982975528966
Position 804: 0.0004878391453701888
Position 438: 0.00015323806949837031
Position 506: 8.321216176234743e-05
Position 280: 4.042924944240019e-05
Position 104: 3.142535882242218e-05
Position 739: 2.8365641840919765e-05
Position 133: 2.54556755725937e-05
Position 189: 2.1686245299849384e-05
Position 619: 1.3657473155805753e-05
Position 288: 6.210230386385593e-06
Position 717: 5.623449601776328e-06
Position 127: 4.676054214390316e-06
Position 87: 3.5781544964935445e-06
Position 254: 3.5036818802533797e-06
Position 751: 3.4964323334878943e-06
Position 601: 2.998679460583152e-06
Position 571: 2.7549403979927095e-06
Position 762: 2.732626095670383e-06
Position 163: 1.9655779456419754e-06
Position 328: 1.7337011427273607e-06
Position 397: 1.273353432939358e-06
Position 664: 1.0431096336758176e-06
Position 54: 4.78267298284495e-07
Position 292: 3.037739924757649e-07
Position 741: 2.4022516501370416e-07
Position 655: 1.3263625932356898e-07
Position 684: 8.702674960764458e-08
Position 509: 7.95793574115954e-08
Position 56: 4.318312751015436e-08
Position 5: 3.591891965946982e-08
Position 307: 7.04825370354054e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.992342983929188
Position 544: 0.4788668583854151
Position 660: 0.0021753881029185464
Position 562: 0.0018426016915414948
Position 566: 0.000773508817528293
Position 855: 0.0005047111561941197
Position 269: 0.00045831346683548917
Position 315: 0.00026677414133168063
Position 323: 0.00012741950437568885
Position 638: 6.107837474736202e-05
Position 699: 5.87714138441297e-05
Position 862: 5.5374986950306185e-05
Position 868: 1.866770031239266e-05
Position 481: 1.7115649256724072e-05
Position 335: 1.525571629464318e-05
Position 509: 1.2367369764414444e-05
Position 471: 8.791451568307903e-06
Position 339: 5.187593555029775e-06
Position 684: 5.0406425975264825e-06
Position 277: 2.491460856153111e-06
Position 506: 2.0966942147991745e-06
Position 571: 2.0940727029814646e-06
Position 163: 1.4115990452773461e-06
Position 717: 1.0859227006338994e-06
Position 809: 8.075505357006464e-07
Position 288: 7.853154606598454e-07
Position 402: 7.114097474632204e-07
Position 780: 4.7258403510859586e-07
Position 221: 3.9220768102097957e-07
Position 576: 1.4276666274637938e-07
Position 813: 1.0426265390233522e-07
Position 408: 8.963009346145567e-08
Position 342: 8.759908561550931e-08
Position 747: 7.003128030730078e-08
Position 184: 5.407566862750062e-08
Position 417: 5.2708945561189574e-08
Position 450: 4.412447087501842e-08
Position 804: 4.185340796572753e-08
Position 363: 3.615490265411921e-08
Position 792: 1.7138239871594538e-08
Position 739: 1.5409364000701204e-08
Position 376: 1.508972748239466e-08
Position 370: 1.3291404095347929e-08
Position 65: 1.1948636435072005e-08
Position 367: 9.394725377524662e-09
Position 79: 6.412074831858604e-09
Position 133: 6.0433291949502714e-09
Position 51: 5.365179397014916e-09
Position 709: 5.08783489028459e-09
Position 760: 5.049442163777953e-09
Position 732: 4.998078341046755e-09
Position 279: 4.6902466949688255e-09
Position 142: 3.0456188818353476e-09
Position 54: 2.733500938681979e-09
Position 762: 1.2714394990024396e-09
Position 124: 4.932902941190498e-10
Position 76: 4.431638939514799e-10
Position 98: 3.4027969892334037e-10
Position 109: 3.072699610071679e-10
Position 384: 5.719889838445207e-11
Position 356: 3.978394756705056e-11
Position 85: 2.3525392848430457e-11
Position 95: 9.990130790069384e-12
Position 92: 3.3470506289276724e-12
