Gene = vir-1
index = 1926
Annotated 5SS: [  117  1799 13984 15890 16255]
Annotated 3SS: [ 1609 13815 15704 15972 19261]
SMsplice 5SS: [  577  1799 13984 15890 16255]
SMsplice 3SS: [ 1609 13815 15704 15972 19157]
top_k =  1000
Partition function (log Z): 1.137639843362562

Sorted 5' Splice Sites (High to Low Probability):
Position 15890: 0.9990745682216422
Position 13984: 0.9725817766290537
Position 1799: 0.9605093119901521
Position 16255: 0.856674772359048
Position 18874: 0.6013803522861542
Position 19004: 0.534995659955093
Position 14758: 0.4517409351482152
Position 577: 0.28434148145851673
Position 117: 0.22628510065752153
Position 18481: 0.20204223659128212
Position 106: 0.17896906851648559
Position 13255: 0.14733768176126577
Position 7825: 0.1349703163066948
Position 16231: 0.13483741650290715
Position 161: 0.08762454891812446
Position 18149: 0.08046741759310219
Position 13247: 0.05836186420883431
Position 889: 0.0464378992081958
Position 1075: 0.04505865800488841
Position 14606: 0.029969971436418177
Position 17660: 0.029754326636685435
Position 13239: 0.02549300492340628
Position 659: 0.025010112136597595
Position 16838: 0.024500884784347046
Position 17274: 0.022271267428574156
Position 179: 0.02167724672673999
Position 9862: 0.020402289997698365
Position 1493: 0.01789978599220405
Position 15577: 0.017511041151012235
Position 13350: 0.01580012972360119
Position 15629: 0.015687731618049854
Position 14204: 0.014962634607728504
Position 1470: 0.014748028710707222
Position 14685: 0.010810757824834526
Position 6520: 0.010009691925601466
Position 18103: 0.00927474190464102
Position 1107: 0.008568521374616495
Position 9226: 0.005808314460833096
Position 13385: 0.005735665312072097
Position 559: 0.00548852485461187
Position 9036: 0.005412299648229982
Position 16569: 0.0050950826061841245
Position 2542: 0.0046554636476067715
Position 2370: 0.004484726009292306
Position 19860: 0.0038445570303971234
Position 15224: 0.003761112097051506
Position 15026: 0.003670584952383949
Position 10130: 0.003351080804374378
Position 12519: 0.0032182453956844373
Position 1003: 0.003189704942269388
Position 14009: 0.003174149428871934
Position 4523: 0.0031579586285119077
Position 1294: 0.0031153800512830963
Position 6283: 0.0030534193131469493
Position 165: 0.0029134197336884954
Position 2128: 0.0027618629993686958
Position 8887: 0.002698012917669136
Position 78: 0.0025640906723888293
Position 1270: 0.002369528511740035
Position 17056: 0.0022535302683375823
Position 7361: 0.0021496730440794588
Position 5544: 0.002138970771317402
Position 14489: 0.002007828984821631
Position 16899: 0.001980310246750618
Position 18708: 0.0019483261376082408
Position 1513: 0.0016866779346742084
Position 2153: 0.0016395433735450573
Position 663: 0.001633382285285907
Position 762: 0.0015836863637150493
Position 10877: 0.0015354032044492326
Position 671: 0.0015258443262024962
Position 5363: 0.001455530977908977
Position 14750: 0.0014138886062796938
Position 15386: 0.0012396539679651345
Position 19284: 0.0012013900843317173
Position 8203: 0.001196552341062624
Position 18993: 0.0011415593231524327
Position 4626: 0.0011399810196099482
Position 387: 0.0009378096824792661
Position 3679: 0.0008710556991343262
Position 513: 0.0008688939571143772
Position 2730: 0.0008573866414172481
Position 4517: 0.0008527591233387821
Position 16109: 0.0008003795778017968
Position 17748: 0.0007718408936797202
Position 7842: 0.0007536186319332892
Position 7533: 0.0007325260583856
Position 14996: 0.0007139384901003778
