Gene = Phf5a
index = 1378
Annotated 5SS: [138 405 556]
Annotated 3SS: [213 469 620]
SMsplice 5SS: [405 556]
SMsplice 3SS: [469 620]
top_k =  1000
Partition function (log Z): -2.094231714290448

Sorted 5' Splice Sites (High to Low Probability):
Position 405: 0.9728792042714981
Position 556: 0.918095083479663
Position 138: 0.3502543400530751
Position 332: 0.014076627651589832
Position 606: 0.013187679847274205
Position 134: 0.0012617752469173422
Position 560: 0.0004308019424979484
Position 417: 0.00031827167851985295
Position 442: 0.00024042697508473983
Position 6: 0.00022602663279193077
Position 409: 0.00021861524150673683
Position 248: 0.0001395218424058234
Position 12: 8.801727954737386e-05
Position 491: 4.96605278186327e-05
Position 270: 1.6809220794941857e-05
Position 430: 1.5067271684924688e-05
Position 575: 1.4534386919784291e-05
Position 439: 1.0658294345420334e-05
Position 288: 9.827908478509118e-06
Position 380: 8.674825165999317e-06
Position 49: 8.185763205036721e-06
Position 359: 7.588045216106756e-06
Position 28: 4.923304340019814e-06
Position 158: 4.574965863738931e-06
Position 142: 3.056537096949615e-06
Position 4: 2.3064320993388887e-06
Position 250: 1.3447463451206735e-06
Position 336: 1.1693691065475803e-06
Position 252: 4.976931311526194e-07
Position 343: 4.4055973993306945e-07
Position 357: 2.577808350540197e-07
Position 227: 2.1381784296780327e-07
Position 460: 1.8647883200018678e-07
Position 520: 1.392628830140616e-07
Position 229: 1.1890088572044445e-07
Position 305: 3.735517934552119e-08
Position 450: 1.7390335701777365e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 469: 0.9841265379957187
Position 620: 0.6444332698385434
Position 213: 0.338868914658218
Position 674: 0.2915840462832744
Position 237: 0.0036620987601359
Position 326: 0.003649969266764652
Position 500: 0.002055785431248502
Position 395: 0.0008720624326401104
Position 248: 0.0007039483647751872
Position 401: 0.0006936329149466075
Position 504: 0.0003671251681943074
Position 331: 0.00019497550775432655
Position 127: 0.0001594001313647313
Position 171: 8.866888185596888e-05
Position 535: 3.538449579320113e-05
Position 124: 3.4798185886618856e-05
Position 487: 2.5004267818625895e-05
Position 553: 9.581081143411587e-06
Position 380: 4.6721626299395635e-06
Position 556: 3.3136455488792596e-06
Position 417: 1.3235655005906902e-06
Position 305: 1.0169978768822508e-06
Position 511: 1.0023737508342436e-06
Position 348: 5.785328943806517e-08
Position 567: 4.202939255894986e-08
Position 357: 2.7551981082117837e-08
Position 572: 1.7491249179857435e-08
Position 575: 5.079130308629639e-09
Position 409: 3.5190425809666785e-10
Position 142: 2.1218640343766707e-10
