Gene = Cen
index = 1066
Annotated 5SS: [228]
Annotated 3SS: [312]
SMsplice 5SS: [228]
SMsplice 3SS: [312]
top_k =  1000
Partition function (log Z): -12.556399566580664

Sorted 5' Splice Sites (High to Low Probability):
Position 228: 0.3072727654495411
Position 1182: 0.2526635953075726
Position 774: 0.10088581609952425
Position 561: 0.06902136848182573
Position 1591: 0.05526173464288913
Position 113: 0.0525474422554954
Position 1926: 0.052375031707248956
Position 2024: 0.024975802881758435
Position 1711: 0.024039580339886447
Position 993: 0.019479502098722797
Position 117: 0.018513875645726825
Position 373: 0.016685524455054696
Position 175: 0.015867895254276957
Position 2520: 0.015363813440690972
Position 1726: 0.015300817373486127
Position 2723: 0.014682390473352045
Position 1339: 0.011056752037890185
Position 1449: 0.00684126509150514
Position 237: 0.006138415993483585
Position 55: 0.0060941734483297375
Position 973: 0.005939838428386109
Position 2742: 0.0050696527315989715
Position 183: 0.004203880596498846
Position 1917: 0.0034442172947802877
Position 2229: 0.0032425570056421904
Position 870: 0.0029034043323486903
Position 1017: 0.002834631891100837
Position 1690: 0.0026270493349898703
Position 582: 0.0024464296024568595
Position 823: 0.0023561148175628172
Position 1201: 0.0022886783261689622
Position 1336: 0.002156745400565765
Position 488: 0.0020704867404798175
Position 2833: 0.0020078972153212667
Position 1102: 0.0013592231895302649
Position 393: 0.0011347045513420615
Position 341: 0.0010770039377594883
Position 1199: 0.0009152092766967506
Position 93: 0.0009149104845364475
Position 64: 0.000909403795289285
Position 1983: 0.0007728191163312919
Position 243: 0.0007557946475733278
Position 1548: 0.0006943651764864635
Position 2073: 0.0006358368265300953
Position 937: 0.0005586938578029328
Position 950: 0.0005534094267207975
Position 600: 0.0005117823112167113
Position 1073: 0.00044487760172452875
Position 2386: 0.0004263119976272199
Position 2559: 0.00042184428773304577
Position 1077: 0.00041925689414256783
Position 40: 0.0004137679311351947
Position 868: 0.00039963207279691197
Position 1980: 0.00036687553450937465
Position 30: 0.00036090942236066844
Position 189: 0.0003481722362962668
Position 1027: 0.00019974806016058861
Position 2711: 0.00012118740521794243
Position 2419: 9.259347658785379e-05
Position 2472: 8.416191856785086e-05
Position 62: 5.61418319841801e-05
Position 2800: 4.625947017893743e-05
Position 102: 2.9153880578318115e-05
Position 17: 2.7584054289413462e-05
Position 1163: 2.4975699633266842e-05
Position 1052: 1.7358625458797556e-05
Position 385: 1.2990687996321529e-05
Position 875: 9.765255989829104e-06
Position 782: 6.107125392857388e-06
Position 891: 3.876157885907001e-06
Position 157: 2.581177369064906e-06
Position 47: 2.3689048563098304e-06
Position 347: 2.0104843763783105e-06
Position 192: 1.7558367308836873e-06
Position 828: 1.3592104399681382e-06
Position 854: 1.274727291165902e-06
Position 198: 1.2477960000547874e-06
Position 835: 1.2185199766058794e-06
Position 401: 8.981105239965581e-07
Position 830: 8.150223265553244e-07
Position 2018: 7.654089914453919e-07
Position 1735: 3.936962237650842e-07
Position 314: 1.8938565843096282e-07
Position 724: 3.251115626759894e-08
Position 696: 1.263468952991588e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2232: 0.3811250616765209
Position 312: 0.27018933769802966
Position 2125: 0.15852276753443664
Position 1393: 0.07175781180500411
Position 2893: 0.0417500639743095
Position 1976: 0.022571022563913107
Position 2588: 0.017670102806130985
Position 2610: 0.014862905617707294
Position 1422: 0.014106526410195636
Position 1275: 0.00978116392917097
Position 1336: 0.009252052884343128
Position 632: 0.009140550123659063
Position 1992: 0.008619152016107162
Position 937: 0.008541583978905374
Position 1049: 0.00837548538153039
Position 2173: 0.008360004579595572
Position 1805: 0.00783591036519492
Position 888: 0.006449018928308547
Position 1046: 0.006208435099987966
Position 2592: 0.005459468302227121
Position 1792: 0.005242587090746413
Position 2329: 0.00460087584888554
Position 581: 0.004133354400911241
Position 1555: 0.0040230679015332655
Position 1787: 0.0038030103677068865
Position 432: 0.0036580003323623623
Position 2278: 0.0025709079824820028
Position 1300: 0.002267706053380011
Position 1623: 0.002193004796437554
Position 2771: 0.002134283228428046
Position 835: 0.0020956062473143603
Position 401: 0.0020844319755620212
Position 2814: 0.0018950430203135919
Position 429: 0.001850948771045645
Position 2006: 0.0017970408589159173
