Gene = MCU
index = 1255
Annotated 5SS: [  132  1212 11681 12102 40098 40262 40423 40680]
Annotated 3SS: [ 1025 11583 11828 39865 40155 40320 40475 40740]
SMsplice 5SS: [ 1212 11681 12102 40098 40250 40423 40680]
SMsplice 3SS: [11583 11828 39865 40155 40320 40475 40740]
top_k =  1000
Partition function (log Z): -18.474464661019258

Sorted 5' Splice Sites (High to Low Probability):
Position 12102: 0.9999579541315278
Position 11681: 0.9780281781570553
Position 1212: 0.5035737407713358
Position 529: 0.22248754116071473
Position 1429: 0.05861982346284923
Position 2129: 0.04673019341563652
Position 520: 0.03880549622323256
Position 235: 0.037656467159656426
Position 883: 0.030200681136892966
Position 2133: 0.02585313682742898
Position 132: 0.014755123780227117
Position 11685: 0.014110192705050937
Position 2107: 0.013240935275410742
Position 823: 0.008995689348949471
Position 11689: 0.006473435711536111
Position 11736: 0.0004085627231243317
Position 2324: 8.347277163110362e-05
Position 3975: 6.846363947366034e-05
Position 2902: 2.7407222816582073e-05
Position 2224: 2.1091374355350716e-05
Position 5968: 2.103188412298517e-05
Position 27388: 1.2074962138547109e-05
Position 1484: 6.705778876236909e-06
Position 1372: 5.648324694592636e-06
Position 30867: 4.959784465753553e-06
Position 1304: 3.7202968527690223e-06
Position 4: 2.3273544080813073e-06
Position 903: 2.02461893140261e-06
Position 775: 1.977843111663195e-06
Position 99: 1.938202750799008e-06
Position 592: 1.8870746390134082e-06
Position 694: 1.8200800571338531e-06
Position 9591: 1.7416720957166139e-06
Position 141: 1.6462613974137384e-06
Position 1002: 1.5562038055177124e-06
Position 14: 1.451503821559852e-06
Position 1344: 1.3831530863727521e-06
Position 218: 1.2193319192203567e-06
Position 28116: 1.1827773511818288e-06
Position 376: 1.0825107498119107e-06
Position 1380: 1.0765099764252556e-06
Position 689: 1.0658419370667835e-06
Position 267: 9.527969546336637e-07
Position 393: 7.620765404105604e-07
Position 1783: 7.588997394107031e-07
Position 437: 6.294103385262232e-07
Position 816: 5.911530565249709e-07
Position 909: 4.869891962074948e-07
Position 11952: 4.732079298941746e-07
Position 608: 4.3772960468389883e-07
Position 27549: 4.255846892741143e-07
Position 604: 4.213640111145325e-07
Position 85: 4.02004648309554e-07
Position 1119: 3.8531537142478284e-07
Position 23: 3.698738542844229e-07
Position 673: 3.609488212308656e-07
Position 87: 3.3556599575123337e-07
Position 501: 3.312898367204507e-07
Position 17: 3.0708388320519497e-07
Position 10: 2.88748706109149e-07
Position 1980: 2.8206502477157034e-07
Position 657: 2.808700952789465e-07
Position 994: 2.341941632099449e-07
Position 149: 1.9477719092344974e-07
Position 1383: 1.7943725865757275e-07
Position 1230: 1.726881662247833e-07
Position 225: 1.564075039490432e-07
Position 943: 1.246652921699065e-07
Position 153: 1.1908415542135845e-07
Position 857: 1.1848735741872223e-07
Position 1792: 1.1675181056099717e-07
Position 700: 1.0169369670783959e-07
Position 1045: 8.775789979294435e-08
Position 1249: 8.214439847471772e-08
Position 11841: 7.763549876428715e-08
Position 1420: 7.135072415196812e-08
Position 3302: 7.12067699455438e-08
Position 2111: 6.501106338308761e-08
Position 2311: 5.987405980319214e-08
Position 2356: 5.4570714207273635e-08
Position 3612: 4.76111627255103e-08
Position 1410: 4.7020535068180675e-08
Position 359: 4.5385554825695853e-08
Position 11868: 3.787846051754451e-08
Position 1171: 3.355992391176414e-08
Position 1375: 3.219677967481504e-08
Position 601: 2.757103108993291e-08
Position 320: 2.4867017090502002e-08
Position 3076: 2.4798713923523914e-08
