Gene = elg1
index = 1692
Annotated 5SS: [1211 3759]
Annotated 3SS: [1265 4167]
SMsplice 5SS: [1211 3759]
SMsplice 3SS: [1265 4167]
top_k =  1000
Partition function (log Z): 0.39302072698952917

Sorted 5' Splice Sites (High to Low Probability):
Position 3759: 0.9893979966764158
Position 1211: 0.9550716152013888
Position 262: 0.6185317407956988
Position 2804: 0.09481770359976267
Position 1555: 0.08002147580206179
Position 1956: 0.06478327238290345
Position 4331: 0.040684252805905166
Position 2552: 0.028874659077436204
Position 2353: 0.021375073690036293
Position 211: 0.017624976142188
Position 951: 0.017436306179163117
Position 1346: 0.01627919334068063
Position 1355: 0.015201255038012916
Position 3266: 0.010644729790589893
Position 1761: 0.009901738231229732
Position 1765: 0.008136132837144958
Position 936: 0.00810384855516127
Position 1677: 0.005857086964268817
Position 2899: 0.005788118966577898
Position 602: 0.005118861719045759
Position 1790: 0.004406167895150484
Position 2491: 0.004358003957809435
Position 207: 0.0043467466188685565
Position 495: 0.004160289693563219
Position 227: 0.004048697439521455
Position 205: 0.003508863675768397
Position 2460: 0.0034959875452584125
Position 2624: 0.0026385893287041093
Position 2077: 0.0024368246976807645
Position 511: 0.0022037238177678377
Position 4299: 0.0022029377705637555
Position 1525: 0.002029422675498519
Position 280: 0.0018896519346490303
Position 1542: 0.001799123969273931
Position 1496: 0.0017709368065303563
Position 2485: 0.0016311636348646076
Position 4078: 0.001532701991740961
Position 2644: 0.0012857976242199943
Position 1303: 0.0012560983572821307
Position 2350: 0.000991354228943488
Position 2175: 0.0008998733656151536
Position 61: 0.0008857200747730203
Position 2638: 0.0007269510907960907
Position 2027: 0.0006220000594751539
Position 4377: 0.0006214042312972214
Position 1405: 0.000585552687616806
Position 3013: 0.0005565354934892829
Position 1339: 0.0005196557051458187
Position 1639: 0.0004153609889993665
Position 4294: 0.0003776634553597348
Position 28: 0.00030779587060235613
Position 217: 0.00028832680604510874
Position 3233: 0.00025947911896321543
Position 250: 0.000247768267578506
Position 1975: 0.00022293987292944063
Position 2213: 0.00019237730562359683
Position 2221: 0.000186085988606094
Position 2813: 0.0001813897015714553
Position 4455: 0.00015602915706658198
Position 131: 0.00015299455584221803
Position 215: 0.0001392054511920941
Position 4000: 0.00012860663632502113
Position 225: 0.00011547514620839603
Position 3751: 0.00011222899408833961
Position 91: 0.00011136090048420024
Position 285: 0.00010504889013009119
Position 209: 0.00010060080700063538
Position 4119: 0.00010004712785634377
Position 2135: 9.19114349956481e-05
Position 375: 8.690345307734194e-05
Position 585: 7.35555224687271e-05
Position 293: 7.26689737386937e-05
Position 3920: 6.462176989422058e-05
Position 345: 6.311028556323511e-05
Position 1036: 6.05147346393078e-05
Position 354: 5.277116771134419e-05
Position 768: 4.0695762298421126e-05
Position 334: 3.341032197421953e-05
Position 158: 2.6706409205132308e-05
Position 3946: 2.5085766686697383e-05
Position 191: 2.3694029108330133e-05
Position 940: 1.9272150160984302e-05
Position 4337: 1.4622774765201274e-05
Position 2108: 1.0413556135987853e-05
Position 15: 8.981137706333738e-06
Position 117: 7.5986925395334985e-06
Position 1379: 7.448495107137104e-06
Position 841: 7.196047240278953e-06
Position 1215: 6.723028801666474e-06
Position 3780: 6.440128536377733e-06
Position 1681: 5.4817376825699275e-06
Position 2015: 5.411150186787238e-06
Position 153: 5.228351978245195e-06
Position 2120: 4.819295436052242e-06
Position 1426: 4.745136704822126e-06
Position 4475: 4.073774690435923e-06
Position 3723: 3.3785435648476614e-06
Position 1863: 3.07877129986057e-06
Position 2088: 2.6804213611512382e-06
Position 1887: 2.6167725753188827e-06
Position 2250: 2.577988341282367e-06
Position 3171: 2.5224205945557156e-06
Position 984: 2.474271310838947e-06
Position 2360: 2.2396406906556515e-06
Position 1867: 2.2372263707139277e-06
Position 4528: 2.179608343962113e-06
Position 1423: 1.9255242602202886e-06
Position 1679: 1.0520220592123875e-06
Position 1718: 9.83285744519738e-07
Position 1903: 7.914717427691181e-07
Position 1659: 7.313381937025218e-07
Position 1026: 6.838556817032557e-07
Position 288: 6.023141449443264e-07
Position 502: 3.620176392045015e-07
Position 1831: 2.061801763681351e-07
Position 1175: 1.9538701729146145e-07
Position 1072: 8.547319145044698e-08
Position 675: 5.245128372323047e-08
Position 2475: 2.4604223124200313e-08
Position 2289: 2.4227041079121618e-08
Position 1934: 2.4062658640175374e-08
Position 856: 9.109079977990282e-09
Position 992: 6.316675254346887e-09
Position 829: 5.012818790965422e-09
Position 606: 3.301857120518726e-09
Position 866: 2.890155354071683e-09
Position 942: 9.935514105746643e-10
Position 879: 7.344366889306812e-10
Position 544: 5.07240025695249e-10
