Gene = sick
index = 1872
Annotated 5SS: [ 32514  61476  90956 111528 112503 114068 129578 129787 130148 132632
 132990 160035 160362 160907]
Annotated 3SS: [ 61304  90578 111396 112393 112573 129017 129641 129844 132257 132837
 158187 160105 160426 160967]
SMsplice 5SS: [   459  11221  32514  61476  90956 111528 112004 112503 114068 129578
 129787 130148 132632 132990 154875 160035 160362 160907]
SMsplice 3SS: [ 10979  32407  61304  90578 111396 111610 112292 112573 129017 129641
 129844 132257 132837 154041 158187 160105 160426 160967]
top_k =  1000
Partition function (log Z): -180.22388923932576

Sorted 5' Splice Sites (High to Low Probability):
Position 11221: 0.9333253868700079
Position 459: 0.7593656842747699
Position 29247: 0.6923725223160362
Position 791: 0.11837996556036696
Position 153: 0.06681000288994561
Position 17939: 0.05883456652624573
Position 808: 0.03546108784037943
Position 2305: 0.03042170695099362
Position 274: 0.02942510279897128
Position 1234: 0.00515742219931257
Position 16980: 0.0030716755567540156
Position 8141: 0.0022546631813745986
Position 3992: 0.002186041941841253
Position 262: 0.0017373592716108596
Position 268: 0.001210893424113198
Position 270: 0.0010699406410087362
Position 266: 0.0009355096359616807
Position 525: 0.0005220958557949126
Position 278: 0.0003712700038017271
Position 264: 0.00034128320274150577
Position 1107: 0.00024736233768825507
Position 6753: 0.00019882109236195173
Position 4647: 0.0001956513775663534
Position 3752: 0.00016515644767961245
Position 3969: 0.00014506153334015428
Position 5767: 0.000137129718305742
Position 3996: 0.00011990105302547441
Position 658: 0.00011704375119880381
Position 11151: 0.00011505157137870919
Position 3730: 0.00010728056350076549
Position 8119: 0.00010434488908268165
Position 11377: 8.236352807913805e-05
Position 16598: 7.137931965090379e-05
Position 1501: 7.017077876387321e-05
Position 633: 6.702942407903901e-05
Position 2050: 6.587708270794377e-05
Position 812: 6.373919709560047e-05
Position 1117: 6.281942642810834e-05
Position 280: 5.901077750876874e-05
Position 77: 5.4270476774220005e-05
Position 16066: 4.8016128982918695e-05
Position 1980: 4.472329783763667e-05
Position 1711: 3.8157070999259024e-05
Position 248: 3.464204047599044e-05
Position 1723: 3.435809230009048e-05
Position 282: 3.3658005020010505e-05
Position 1238: 3.1354259678866936e-05
Position 747: 3.011697006590339e-05
Position 1416: 2.5287527056151022e-05
Position 900: 2.5064966874385384e-05
Position 284: 2.3424932429528918e-05
Position 463: 1.9694945153875122e-05
Position 1925: 1.9569010801144316e-05
Position 566: 1.6999065046386234e-05
Position 191: 1.2462766203685561e-05
Position 663: 1.1270601164212226e-05
Position 602: 1.0792067045750644e-05
Position 575: 1.0705413907534071e-05
Position 1945: 1.0520306048303017e-05
Position 1682: 1.032367149757127e-05
Position 1469: 9.687259206007875e-06
Position 206: 9.228701355459368e-06
Position 1756: 8.877459389786943e-06
Position 528: 8.451124838034984e-06
Position 1023: 8.176863616180499e-06
Position 466: 7.69253952823674e-06
Position 580: 7.505792825653685e-06
Position 1994: 6.525666876908582e-06
Position 879: 5.983844267158488e-06
Position 1051: 5.065166102440869e-06
Position 587: 4.943028767547487e-06
Position 398: 4.471298832642922e-06
Position 18: 3.720467277011722e-06
Position 937: 2.5115190809362587e-06
Position 1257: 2.26884994950524e-06
Position 272: 2.0979464165212824e-06
Position 84: 1.7355938533928316e-06
Position 14414: 1.72752452951173e-06
Position 888: 1.2490064447801772e-06
Position 704: 1.1498719437472304e-06
Position 56: 1.0888631707723192e-06
Position 558: 9.707684340919077e-07
Position 67: 9.510791171142242e-07
Position 668: 9.412308884697464e-07
Position 596: 8.33763882686523e-07
Position 322: 6.531176158189015e-07
Position 502: 5.866394837469135e-07
Position 5473: 5.444564658992562e-07
Position 689: 5.441805756552277e-07
Position 1512: 4.362087897494381e-07
Position 734: 3.8329639248534023e-07
Position 1349: 3.138040869893532e-07
Position 242: 3.069728553084116e-07
Position 3720: 2.7729342923333843e-07
Position 863: 2.472353654079883e-07
Position 439: 2.1023628838054354e-07
Position 5: 1.8841745078639066e-07
Position 115: 1.88121673014321e-07
Position 137: 1.7227546480799695e-07
Position 3763: 1.6288820465089e-07
Position 3733: 1.6078908709070727e-07
Position 893: 1.428498146768251e-07
Position 286: 1.0715132826686206e-07
Position 208: 8.820371811006178e-08
Position 682: 7.682413797354697e-08
Position 1006: 7.373032301682103e-08
Position 795: 7.317156685989323e-08
Position 3639: 5.768876000869906e-08
Position 21: 4.476334047603903e-08
Position 470: 3.5284436312972275e-08
Position 7187: 3.1363595081509897e-08
Position 378: 3.1055248115967653e-08
Position 7183: 2.9246556627948277e-08
Position 5408: 2.4627546714897582e-08
Position 117: 2.3288277112905825e-08
Position 2827: 1.4303263616143835e-08
Position 5216: 1.1547064340793078e-08
Position 4041: 1.1388874154431996e-08
Position 1111: 1.0487029518184859e-08
Position 3839: 9.992826597062071e-09
Position 2362: 9.40400961492908e-09
Position 4751: 8.654116754988333e-09
Position 3145: 8.63199836910574e-09
Position 2629: 8.462344234119045e-09
Position 3517: 5.607179097362471e-09
Position 27: 4.622931641761654e-09
Position 16440: 4.044057997575508e-09
Position 3575: 3.6320572517636156e-09
Position 2309: 3.5216084135205294e-09
Position 2175: 1.8314303071658295e-09
Position 2574: 8.583680270463272e-10
Position 288: 8.548192559387566e-10
Position 2408: 5.247430107490725e-10
Position 12391: 7.544450779909402e-11
Position 302: 5.824361137415425e-12
Position 2616: 3.746106106047422e-12
Position 2613: 3.707338471732295e-12
Position 344: 8.302755231833312e-14
Position 4745: 8.195491217649051e-16
Position 3130: 2.766648359115389e-16
Position 2982: 2.2573787411213743e-16
Position 2476: 1.644299839942818e-16
Position 3093: 1.2646117570351555e-16
Position 2744: 1.0221227412705085e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 10979: 0.8924793260887423
Position 28685: 0.7165826490248359
Position 29477: 0.6840206526619347
Position 29297: 0.23785240801438803
Position 29365: 0.048732434467858646
Position 16207: 0.034988567471429206
Position 10982: 0.02884992449420675
Position 2108: 0.02789357232704867
Position 17512: 0.01842623920952505
Position 327: 0.008848558098254524
Position 10520: 0.007396755156770188
Position 587: 0.006062033874117216
Position 25807: 0.005033522058454933
Position 974: 0.004532190346984159
Position 17492: 0.004142967562532531
Position 10350: 0.003061194010152691
Position 17497: 0.002426511942215628
Position 16239: 0.0019957802339198483
Position 3837: 0.0019052860000809688
Position 9375: 0.001734932351287635
Position 7500: 0.0015110193021201806
Position 727: 0.0012439732341276975
Position 626: 0.0007854640703661996
Position 932: 0.0007580884762703921
Position 3482: 0.0005144217285616607
Position 7990: 0.0005098857780798007
Position 3883: 0.00038742140768551484
Position 592: 0.0003807830833411038
Position 654: 0.0003778784922673255
Position 2164: 0.00029146937759332486
Position 7822: 0.000254098648828008
Position 2112: 0.0002258372276150483
Position 1565: 0.00019615493525831083
Position 6594: 0.00017817838338275865
Position 528: 0.00017184430865126952
Position 2248: 0.00014774550969536576
Position 22647: 0.00014499947176522827
Position 3800: 0.00011217936721249594
Position 2159: 8.648529208043404e-05
Position 7998: 8.400436166585611e-05
