Gene = Trl
index = 1567
Annotated 5SS: [3208 4146 6965 7419 7839]
Annotated 3SS: [3718 6498 7082 7577 9273]
SMsplice 5SS: [ 482 4146 6965 7419 7716]
SMsplice 3SS: [ 3718  6498  7082  7577 11004]
top_k =  1000
Partition function (log Z): 3.433086600566033

Sorted 5' Splice Sites (High to Low Probability):
Position 7419: 0.9848980942914685
Position 6965: 0.9705253776329745
Position 4146: 0.9420994521323869
Position 7716: 0.9146488415097925
Position 1407: 0.32647784469267294
Position 227: 0.23082780651815626
Position 991: 0.20263007803963945
Position 8351: 0.2019595706190104
Position 83: 0.14121579102843607
Position 2167: 0.1349879049611875
Position 486: 0.1193495313219248
Position 5799: 0.11811031793314457
Position 55: 0.09643915012298773
Position 309: 0.0913304971028477
Position 10719: 0.07677802535551907
Position 3638: 0.07206317900037817
Position 372: 0.06887318710103374
Position 6589: 0.06595202152002241
Position 9738: 0.03692964551796236
Position 8468: 0.03647298060206425
Position 9901: 0.034427731456841935
Position 3208: 0.03422788212153817
Position 360: 0.02381534155607063
Position 330: 0.020394639460716662
Position 9917: 0.019789415932949278
Position 11333: 0.019270129263014357
Position 9783: 0.01784243007054223
Position 7244: 0.01595151759733177
Position 2373: 0.0159060488319681
Position 5745: 0.01571350009033334
Position 7035: 0.014424125757628583
Position 10685: 0.014029979443757315
Position 1749: 0.013123515761609058
Position 1420: 0.012727272457223777
Position 9477: 0.012691337931387778
Position 115: 0.011128362709474744
Position 11244: 0.010016754016144014
Position 9513: 0.008233985587758601
Position 62: 0.008080348921915758
Position 949: 0.0066496928817269775
Position 9484: 0.006341345516908169
Position 1187: 0.0060117313493252495
Position 511: 0.005981096978783215
Position 537: 0.005799805525799886
Position 7725: 0.005780569164447964
Position 5066: 0.005709555626406108
Position 11248: 0.0053650798897970035
Position 2104: 0.004474371326248397
Position 8876: 0.004281147197999277
Position 6163: 0.004252579120449049
Position 1431: 0.003956012446050121
Position 1061: 0.0038121237198910697
Position 7839: 0.003722749810059987
Position 6949: 0.0035054455776076378
Position 1753: 0.003462216814632822
Position 5795: 0.003288997139624705
Position 9192: 0.00270300858731638
Position 10426: 0.0025974973544085666
Position 2350: 0.002577452018758482
Position 8759: 0.002438765753887221
Position 2160: 0.0023565224068354124
Position 585: 0.0022714437402786575
Position 452: 0.0022586329830950706
Position 9171: 0.0020431582459813848
Position 9712: 0.0017550154572732526
Position 5444: 0.0017350452862230244
Position 6044: 0.001658902744032502
Position 8866: 0.0016441171039509213
Position 1067: 0.0016136554106802078
Position 8899: 0.0015479828904173363
Position 2430: 0.0014316542518599607
Position 6670: 0.0013995114783711252
Position 10460: 0.0012310318260485616
Position 3142: 0.0011121635494554306
Position 1880: 0.001020919308090028
Position 267: 0.0010196224348322824
Position 2916: 0.0010104121581328987
Position 2710: 0.0009880604086941478
Position 8583: 0.0009873040447886262
Position 975: 0.0009323363945562367
Position 4859: 0.0009323155876945199
Position 2137: 0.0009280541272275459
Position 8589: 0.0008163448867713428
Position 12: 0.0008131683810243991
Position 572: 0.0007930599352783661
Position 8938: 0.0007806883786962279
Position 8913: 0.0007722886095851674
Position 3799: 0.0007601502830949936
Position 8904: 0.0007071621113528857
Position 3849: 0.0006861102176598528
Position 4479: 0.0006590122656222567
Position 4686: 0.0006418124263169446
Position 1136: 0.0006302925909676873
Position 7172: 0.0005257565439406322
Position 1611: 0.000513796238333024
Position 602: 0.0005032106843446344
Position 8542: 0.0004970800113808774
Position 7908: 0.0004754619513005222
Position 1745: 0.00045147613400439853
Position 6986: 0.00044292937115495784
Position 704: 0.00043072030355066144
Position 1064: 0.00038880802364574235
Position 5095: 0.00038169212407856523
Position 7286: 0.00038072889727449975
Position 16: 0.00037428174872376253
Position 771: 0.0003706536862143297
Position 1549: 0.0003170168671999299
Position 760: 0.00031583968338028687
Position 4157: 0.0003149348982711034
Position 593: 0.00031308724166320126
Position 3265: 0.00024992417733017436
Position 5807: 0.0002452624704612723
Position 4599: 0.00024226415653261677
Position 8250: 0.00024162559776107713
Position 5263: 0.0002331340812797464
Position 6793: 0.00022108237754339582
Position 999: 0.00020304988742166552
Position 6907: 0.00019733373720727307
Position 1229: 0.00019421309315268245
Position 5567: 0.0001805925119335681
Position 7458: 0.0001743245829389233
Position 965: 0.00017036347888882788
Position 1447: 0.0001494306660361557
Position 2097: 0.00014386909177489145
Position 6024: 0.00014281628577180431
Position 1191: 0.00014080736613749484
Position 8539: 0.00013895878541310603
Position 1244: 0.0001269880091823664
Position 4551: 0.00012226424572327543
Position 1439: 0.00011775900683181033
Position 8800: 0.00011338041412292985
Position 7028: 0.00011134218162850533
Position 1288: 0.00011093265524974358
Position 4905: 0.00010888717479992654
