Gene = Diap1
index = 1135
Annotated 5SS: [577]
Annotated 3SS: [10968]
SMsplice 5SS: [577]
SMsplice 3SS: [10968]
top_k =  1000
Partition function (log Z): -13.36100890475628

Sorted 5' Splice Sites (High to Low Probability):
Position 577: 0.9680907296181192
Position 10597: 0.22156528097136458
Position 4550: 0.07381511027546192
Position 10116: 0.07084649791974865
Position 8628: 0.05925180174812551
Position 1861: 0.03390929542869659
Position 11100: 0.029241759347105153
Position 3814: 0.024276367407328536
Position 8249: 0.01914649585854722
Position 339: 0.0191067342489706
Position 8481: 0.018602536021002317
Position 29: 0.01305013470722522
Position 1173: 0.010069070677902551
Position 26: 0.009428921980052043
Position 7767: 0.007682537935270248
Position 403: 0.007269514829081567
Position 7729: 0.006933667883305021
Position 9193: 0.005545720237692329
Position 10447: 0.005094205728886225
Position 9197: 0.003603577487223665
Position 9881: 0.0029471449497801535
Position 7664: 0.001580243821931824
Position 1582: 0.001430460564783954
Position 7682: 0.0012708864530015767
Position 7778: 0.001162361476223821
Position 15: 0.0011195266011937083
Position 8938: 0.0011186399069752428
Position 581: 0.0009887263529267385
Position 1345: 0.0009429007042451113
Position 6521: 0.0008361159493279565
Position 3811: 0.000684804937357283
Position 17: 0.0006781067094055942
Position 33: 0.0005965827631869055
Position 417: 0.000459131749815087
Position 4377: 0.0003473227272744461
Position 81: 0.00028322765097535364
Position 7536: 0.00028128378041525543
Position 2694: 0.00027159259458932154
Position 412: 0.0002697379455323212
Position 3677: 0.00022526121706868595
Position 4283: 0.00020690688613447583
Position 3284: 0.0002021726785013
Position 483: 0.0001920805551405179
Position 1818: 0.00015074364480017723
Position 1287: 0.00014878475501414737
Position 157: 0.00013004065705611413
Position 2212: 0.00012423303515153412
Position 1108: 9.591351809177883e-05
Position 595: 9.439951282017722e-05
Position 3834: 7.403230628263227e-05
Position 1382: 5.463250108412139e-05
Position 367: 5.3286961269636154e-05
Position 1177: 4.211508774718319e-05
Position 1339: 3.826019985140052e-05
Position 1373: 3.797266671746552e-05
Position 3400: 3.652321731066247e-05
Position 869: 3.6298768462173226e-05
Position 373: 3.062532014564904e-05
Position 3849: 2.8083530416830495e-05
Position 3667: 2.7684986386576325e-05
Position 3782: 2.618599502818541e-05
Position 6126: 1.8687335148832907e-05
Position 1099: 1.4066633777212469e-05
Position 1356: 1.3637643675168055e-05
Position 552: 1.2464966656386495e-05
Position 1419: 1.1767133292126261e-05
Position 1323: 9.363581893233837e-06
Position 471: 7.345089970817709e-06
Position 832: 6.759897782210395e-06
Position 221: 5.5294178135998536e-06
Position 370: 5.3013004680274565e-06
Position 1004: 4.526571702899638e-06
Position 615: 4.4040639939193535e-06
Position 561: 4.224454494267726e-06
Position 449: 4.089461120434651e-06
Position 1480: 3.8266874602050345e-06
Position 949: 3.732893092657128e-06
Position 964: 3.01065635848418e-06
Position 103: 1.8989723059770203e-06
Position 6500: 1.865769071901534e-06
Position 2482: 7.881298448880501e-07
Position 468: 4.712683508478963e-07
Position 2018: 3.051940213569195e-07
Position 123: 2.7172292009390155e-07
Position 508: 2.4724009215244205e-07
Position 570: 2.1515108551609777e-07
Position 415: 1.841128079489264e-07
Position 977: 1.6044728412984113e-07
Position 235: 1.0194786131408015e-07
Position 397: 3.9930422584568793e-08
Position 2090: 3.139188636506883e-08
Position 637: 2.6832855093051962e-08
Position 1150: 2.3294671567701723e-08
Position 922: 1.0646760303238022e-08
Position 891: 9.668025471853617e-09
Position 824: 9.42849610629622e-09
Position 599: 5.1607771943252606e-09
Position 686: 1.8326714206642913e-09
Position 902: 1.7714129563863396e-09
Position 597: 1.382084187364981e-09
Position 932: 5.858214779635247e-10
Position 1195: 7.273546917373335e-11
Position 2106: 6.767659775744843e-11
Position 1918: 4.8761378547428784e-11
Position 1422: 2.8881322415286012e-11
Position 2273: 2.1385029113715094e-11
Position 725: 1.3626199779690704e-12
Position 968: 1.8295716414975098e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 10968: 0.6260856069747288
Position 10115: 0.23671451225358323
Position 10349: 0.15439160696188298
Position 7916: 0.10687730272034082
Position 9421: 0.05570917806784657
Position 4134: 0.043663223340699414
Position 10066: 0.03996231150296908
Position 11155: 0.03441426495813131
