Gene = haf
index = 1721
Annotated 5SS: [   77  1787 45697 46784 47529 48501 49208 49757 50357]
Annotated 3SS: [ 1703 45486 45832 47192 47814 49068 49631 49969 51260]
SMsplice 5SS: [  625 26646 27735 28371 35570 37323 45697 46784 47529 48501 49208 49757]
SMsplice 3SS: [25701 26777 27783 35449 37202 45486 45832 46884 47814 49068 49631 51260]
top_k =  1000
Partition function (log Z): -46.19138083805009

Sorted 5' Splice Sites (High to Low Probability):
Position 26646: 0.6970170931375191
Position 1787: 0.5678699466468586
Position 625: 0.49648893845301423
Position 77: 0.40033405367463537
Position 1360: 0.09042415538925384
Position 1320: 0.07611471632543716
Position 1338: 0.04828966947910131
Position 618: 0.03709177163655693
Position 81: 0.01871218753150688
Position 83: 0.014472542901708154
Position 713: 0.0047040251994673685
Position 967: 0.0045163404200894205
Position 792: 0.00281757474327758
Position 335: 0.0027167679538047987
Position 874: 0.0018537494605354032
Position 908: 0.0017870917527689728
Position 108: 0.0013737973259272472
Position 85: 0.0010969772993258235
Position 568: 0.0009666096313583048
Position 314: 0.0007780407586569657
Position 87: 0.0005525342894404274
Position 711: 0.0003529347956415402
Position 988: 0.0003025014063271681
Position 864: 0.0002271427759822918
Position 1596: 0.00022579035211905068
Position 582: 0.00020886021897241965
Position 97: 0.0001719032427451502
Position 368: 0.0001675428939588111
Position 803: 0.00015851022312897176
Position 218: 0.00014825550496156418
Position 504: 0.0001037220668351195
Position 849: 9.54847177119133e-05
Position 442: 8.795452135941695e-05
Position 1041: 7.385628829462987e-05
Position 1302: 6.154073867449478e-05
Position 445: 5.045688017925915e-05
Position 1541: 4.267721892799083e-05
Position 106: 3.823278863437631e-05
Position 259: 3.1681314589356305e-05
Position 421: 3.059763183954899e-05
Position 1529: 2.8409102789229905e-05
Position 201: 2.2389687214731978e-05
Position 756: 1.80114325208925e-05
Position 9: 1.589460597067555e-05
Position 99: 1.4983924789440019e-05
Position 294: 1.3191774247261406e-05
Position 112: 1.3191379409460473e-05
Position 402: 8.714378143001407e-06
Position 32: 8.06006823480706e-06
Position 724: 7.660764092691267e-06
Position 299: 7.603396257988008e-06
Position 509: 6.209792056325916e-06
Position 337: 5.843375493098801e-06
Position 822: 4.291897772430668e-06
Position 471: 4.2866406720208776e-06
Position 114: 4.087577617799898e-06
Position 41: 3.1216472280681414e-06
Position 448: 2.8169362768791037e-06
Position 899: 2.153011543934755e-06
Position 491: 2.145195674242095e-06
Position 409: 2.067686779783765e-06
Position 270: 1.5640148092110717e-06
Position 736: 1.164799113359085e-06
Position 451: 9.916733199749657e-07
Position 1110: 8.099037339816818e-07
Position 454: 1.972659878301879e-07
Position 747: 1.0903447367363031e-07
Position 457: 9.835256001715882e-08
Position 213: 8.511202759988675e-08
