Gene = DCP2
index = 1119
Annotated 5SS: [ 953 3177 3461 4353]
Annotated 3SS: [2433 3241 3614 4408]
SMsplice 5SS: [ 953 2256 3177 3461 4353]
SMsplice 3SS: [2016 2336 3241 3614 4411]
top_k =  1000
Partition function (log Z): -2.9930971118410237

Sorted 5' Splice Sites (High to Low Probability):
Position 3177: 0.9967192601234866
Position 4353: 0.9897057163736838
Position 953: 0.8689038587072432
Position 2256: 0.4573799632920492
Position 2609: 0.3211966199607123
Position 3465: 0.30801617410488086
Position 1976: 0.25033530835561024
Position 2261: 0.20191770767863337
Position 1628: 0.10116004513329903
Position 6657: 0.09938077270071505
Position 5881: 0.0914226426002288
Position 1809: 0.06711123835733293
Position 1488: 0.037343392355147935
Position 6318: 0.036418083873364177
Position 5525: 0.03503516065653766
Position 5138: 0.03152380174867434
Position 990: 0.029427743627627036
Position 1385: 0.028669763852955093
Position 5112: 0.0277708588513734
Position 979: 0.02243647947412496
Position 1943: 0.018308379593300318
Position 3500: 0.01572520719777605
Position 2251: 0.015505434685542656
Position 2616: 0.014653974079699457
Position 3544: 0.013790665971742453
Position 6422: 0.012899678775310027
Position 1919: 0.011142495808637479
Position 210: 0.009432755226860651
Position 785: 0.0091629231937578
Position 1641: 0.008275416773870295
Position 174: 0.007698963272032206
Position 1859: 0.007693179143647385
Position 7609: 0.0075327254429881675
Position 5908: 0.005988161927319121
Position 220: 0.005717361653929808
Position 475: 0.005364015962750627
Position 3522: 0.004637128769866357
Position 443: 0.00326570655268409
Position 5854: 0.0028577639469000277
Position 3343: 0.002807736707492771
Position 138: 0.002774638797818167
Position 2866: 0.002690320490258084
Position 5476: 0.002673682405611801
Position 578: 0.002565111557007171
Position 3704: 0.0024643523794498656
Position 1604: 0.0024023958995143214
Position 3447: 0.0023985227918615526
Position 3567: 0.002155855919636215
Position 961: 0.0020846356514922708
Position 103: 0.00193838757651025
Position 1909: 0.0018343011957769398
Position 3525: 0.001829807113223845
Position 734: 0.001705819771825813
Position 1745: 0.0016988325211297008
Position 2003: 0.001635611690244985
Position 1397: 0.0016205029463773227
Position 469: 0.0013909168564795562
Position 3833: 0.0012239577356395227
Position 5262: 0.0012055705958989706
Position 2162: 0.001094133789422044
Position 3893: 0.0008284101204831095
Position 3317: 0.0008251190392244374
Position 1254: 0.0008055409003135303
Position 3527: 0.0007134016422842964
Position 1051: 0.0007029710141202629
Position 4967: 0.0006895629145971752
Position 1028: 0.0006475793325544743
Position 5471: 0.0006399270522581987
Position 257: 0.0005727098900052969
Position 1676: 0.0005416210991499106
Position 3371: 0.0004684194239802218
Position 1626: 0.000461580166555783
Position 1479: 0.00044410682662200467
Position 2447: 0.00043678517787265375
Position 1545: 0.0004078999822990956
Position 5641: 0.00038496933216554375
Position 1632: 0.00032324396784728606
Position 1751: 0.0002866355071268961
Position 1726: 0.00028509467843348523
Position 4385: 0.0002774889434018872
