Gene = poe
index = 1841
Annotated 5SS: [  177   453   989  3411  4000 10055 10317 11059 12784 13323 15316 16968]
Annotated 3SS: [  357   575  1243  3471  4068 10111 10365 11119 12839 13379 15370 17030]
SMsplice 5SS: [  453   989  1374  1970  3411  4000  4294 10055 10317 11059 12784 13323
 15316 15500 16968]
SMsplice 3SS: [  642  1243  1809  2090  3471  4068  9338 10111 10365 11119 12839 13379
 15370 16522 17030]
top_k =  1000
Partition function (log Z): 37.48616553826414

Sorted 5' Splice Sites (High to Low Probability):
Position 13323: 0.9998022780579391
Position 4000: 0.9993134183984497
Position 16968: 0.9980476957985288
Position 15316: 0.9954075159929776
Position 10317: 0.9946180261856157
Position 10055: 0.9924225667404512
Position 3411: 0.9880191566051036
Position 4294: 0.9864638991321745
Position 12784: 0.9584824690251441
Position 11059: 0.9162944884642495
Position 453: 0.7928100517320005
Position 1374: 0.6864971488520855
Position 1970: 0.6739214300196004
Position 15500: 0.6099580087274402
Position 989: 0.608774886676393
Position 177: 0.6008717218303385
Position 13687: 0.24818977775382964
Position 11490: 0.10508873152027538
Position 13713: 0.09989284928682997
Position 11876: 0.09721995780151607
Position 1082: 0.08480199967607617
Position 12263: 0.07262449408508749
Position 16811: 0.07186022850327121
Position 12457: 0.058258134060138765
Position 12071: 0.052998392298683084
Position 11067: 0.04932563030555916
Position 15178: 0.04857133252472949
Position 1078: 0.042001957281351074
Position 12345: 0.038615993653429326
Position 9162: 0.036366363391447346
Position 10892: 0.03154521975436713
Position 13101: 0.029228552222736712
Position 13090: 0.024373878255481096
Position 12767: 0.02388946624465006
Position 13756: 0.023001669094078993
Position 1914: 0.02239898988221728
Position 16361: 0.020540321948987313
Position 14926: 0.019220476588964364
Position 10529: 0.019167900003985456
Position 1316: 0.01856443110612168
Position 14124: 0.018375615069053358
Position 15625: 0.015788466167773532
Position 3704: 0.014436102716158562
Position 15815: 0.014165610423347132
Position 11700: 0.013269209490995214
Position 11433: 0.012924072373279761
Position 11074: 0.012698717871280697
Position 1310: 0.011434332333887165
Position 14062: 0.011252945435550759
Position 15174: 0.01115861021793127
Position 11470: 0.00943371382995466
Position 4458: 0.008896442826507943
Position 2133: 0.0087504473797128
Position 4204: 0.008184841428248333
Position 16019: 0.00807841184032988
Position 13480: 0.00805736510182916
Position 15914: 0.007757389785561577
Position 11643: 0.007713567122845498
Position 7545: 0.0071965922547982675
Position 5940: 0.006538955309736838
Position 1587: 0.0063504159333526945
Position 16562: 0.006254285704995297
Position 1653: 0.006180110727631023
Position 9613: 0.006062784876840923
Position 6076: 0.005942180716072683
Position 868: 0.005765962617811263
Position 742: 0.005640061944751863
Position 11930: 0.005450284174168362
Position 14510: 0.005054200934138538
Position 13736: 0.004972832920050982
Position 758: 0.004914241158603629
Position 1312: 0.004779391497735809
Position 2343: 0.004724102307923327
Position 5331: 0.004636566244514978
Position 889: 0.00404983699498646
Position 3650: 0.0039332329052241405
Position 974: 0.00387675606358185
Position 905: 0.0034276387594692737
Position 10667: 0.0033338511146728785
Position 13921: 0.0032499210469597987
Position 1162: 0.0032364625084426164
Position 11977: 0.003148227072591697
Position 1662: 0.0030989459118443306
Position 11883: 0.0030300358268549364
Position 1715: 0.0029536228520750506
Position 15022: 0.0028735728434978744
Position 11296: 0.0028083296892985783
Position 16407: 0.0026100019866704275
Position 11035: 0.002568565269223489
Position 1403: 0.0025329215954973494
Position 1646: 0.002429886463724528
Position 15677: 0.002213365181365751
Position 3266: 0.002119957783725713
Position 13559: 0.0020748984253055784
Position 1045: 0.002063542405116902
Position 1917: 0.0019206109356137667
Position 1167: 0.0018858713439156175
Position 12116: 0.0017895919035909595
Position 1036: 0.0017780226143787772
Position 4: 0.0013613493043953258
Position 17168: 0.001286557150103965
Position 12965: 0.001226423771173471
Position 13512: 0.0012098703101255568
Position 3606: 0.0011405744268691352
Position 12276: 0.0010766152193644918
Position 2567: 0.0010643224812084662
Position 14017: 0.0010262772091268956
Position 7594: 0.0010217694448435056
Position 11731: 0.0010180732227916597
Position 16410: 0.0010121204772901176
Position 10194: 0.0009783781799301806
Position 13033: 0.0009691423298591015
Position 12680: 0.0009394040578016002
Position 251: 0.0009387870217056028
Position 2054: 0.0008244194835940355
Position 767: 0.0008128244047999209
Position 3498: 0.0007638680907168428
Position 13528: 0.0007631820227819206
Position 2253: 0.0007497849999906378
Position 11754: 0.0007448499633581869
Position 16212: 0.0007373726122827841
Position 11309: 0.0007283931578957242
Position 11487: 0.0007077806621338627
Position 15321: 0.0006959688231424027
Position 13105: 0.0006883497995505098
Position 10061: 0.0006553753399143676
Position 1533: 0.0006098399804049309
Position 14136: 0.0005990789474228751
Position 3550: 0.0005946775166506316
Position 15504: 0.0005902166951486014
Position 16026: 0.0005647129251471752
Position 11263: 0.0005409042209840175
Position 13152: 0.0005333821802834004
Position 2110: 0.00048147035119604486
Position 730: 0.0004631517437002442
Position 1909: 0.00045364061625401077
Position 13022: 0.0004317898043504699
Position 16863: 0.0004247495268654222
Position 13738: 0.00038780271249728483
Position 181: 0.0003870995330061866
Position 11047: 0.00036112576888650786
Position 13017: 0.00036067928827686454
Position 594: 0.0003533645756163139
Position 837: 0.0003511494996987956
Position 15283: 0.00034471676326652356
Position 13156: 0.0003441020239570898
Position 3644: 0.00033819405014805476
Position 2150: 0.0003274222079646351
Position 2555: 0.0003102465074041577
Position 1506: 0.0003007500055861924
Position 13108: 0.0002905783747791457
Position 956: 0.0002885928371520156
Position 1955: 0.0002882215872887399
Position 3739: 0.0002581311498520782
Position 10675: 0.0002533637783405881
Position 3762: 0.00023326847498871675
Position 10087: 0.00022826372072900348
Position 16974: 0.00022634617747595395
Position 565: 0.00022314469042149956
Position 282: 0.00021285432183152002
Position 221: 0.00020744354093958
Position 13771: 0.0001862066571989176
Position 1707: 0.0001783785187050306
Position 1314: 0.00017791945219517485
Position 10896: 0.00017107651299288123
Position 4004: 0.0001701312275974803
Position 16075: 0.00016974173737099843
Position 1418: 0.0001650843337803714
Position 13291: 0.00016240437534671982
Position 1756: 0.00016049378878137214
Position 119: 0.00015509565928508606
Position 145: 0.00015160977171653484
Position 715: 0.00014748459665991397
Position 6693: 0.00014069336175403155
Position 11239: 0.00013568862948203891
Position 13009: 0.00013373098048279043
Position 14024: 0.00013114960495967488
Position 1827: 0.0001308769169274997
Position 13499: 0.00012900299650949032
Position 10443: 0.00012442485344462512
Position 2316: 0.00011543494787542802
Position 1049: 0.00011352590170727851
Position 11289: 9.905401627047057e-05
Position 11246: 9.886164096340667e-05
Position 10508: 9.875587809314812e-05
Position 148: 8.742458330663948e-05
Position 575: 8.667927839070776e-05
Position 1012: 8.384986658210983e-05
Position 4306: 7.72940877936899e-05
Position 11171: 7.678215067527858e-05
Position 520: 7.645674349982184e-05
Position 13785: 7.615522179556285e-05
Position 503: 7.460838192590768e-05
Position 5343: 7.096608910753728e-05
Position 1659: 6.399240194251483e-05
Position 1749: 6.206195567617832e-05
Position 1165: 5.3965242155227323e-05
Position 11713: 5.250842997010839e-05
Position 13168: 4.886315266134808e-05
Position 3964: 4.728091746810771e-05
Position 6354: 4.531018469074235e-05
Position 457: 4.518755541738074e-05
Position 1894: 4.5186727569411745e-05
Position 1528: 4.396892475537826e-05
Position 94: 4.327538826546227e-05
Position 3415: 4.0935992251183745e-05
Position 13497: 3.686233944617465e-05
Position 10284: 3.449958099883711e-05
Position 11684: 3.39033520148221e-05
Position 3287: 3.30410755878183e-05
Position 733: 3.2763920852748964e-05
Position 7200: 3.076347522140991e-05
Position 10535: 2.8364955604409823e-05
Position 10248: 2.779981252766232e-05
Position 3925: 2.724274426320087e-05
Position 13: 2.393654572463285e-05
Position 97: 2.3339303921271618e-05
Position 10703: 2.297614844543563e-05
Position 17126: 2.1820212662982423e-05
Position 2156: 2.0880501928395057e-05
Position 13396: 2.0852006050345978e-05
Position 16569: 2.079566209883048e-05
Position 4026: 2.027304013755312e-05
Position 10832: 1.9462826112537343e-05
Position 3982: 1.9453455596189594e-05
Position 13950: 1.813932769098219e-05
Position 859: 1.7622991752621207e-05
Position 4347: 1.6746717570158097e-05
Position 4319: 1.4820145800857863e-05
Position 11697: 1.468223003786475e-05
Position 60: 1.3979641861055316e-05
Position 4902: 1.39022688330069e-05
Position 14866: 1.3335461458530867e-05
Position 3912: 1.3308042797674908e-05
Position 11193: 1.3125449810370772e-05
Position 1464: 1.2949599026597117e-05
Position 20: 1.2872258417989828e-05
Position 673: 1.2519752557811183e-05
Position 11776: 1.2212642714090576e-05
Position 655: 9.568434311581145e-06
Position 3887: 9.43573374996788e-06
Position 14079: 9.242998663711562e-06
Position 14353: 8.713723417178088e-06
Position 13797: 8.640417948426929e-06
Position 3814: 8.502764873855547e-06
Position 11023: 8.403852359895781e-06
Position 4566: 7.962322947942447e-06
Position 224: 7.840970498868682e-06
Position 13998: 7.823877117101028e-06
Position 4196: 6.697449300895641e-06
Position 543: 5.771523607954252e-06
Position 825: 5.688126266725245e-06
Position 16730: 5.552520422707518e-06
Position 16433: 4.8620932340380955e-06
Position 5694: 4.841232226694828e-06
Position 3878: 4.815537140454587e-06
Position 242: 4.702285186642961e-06
Position 16357: 4.482599373885311e-06
