Gene = Csl4
index = 1110
Annotated 5SS: [256]
Annotated 3SS: [309]
SMsplice 5SS: [256]
SMsplice 3SS: [309]
top_k =  1000
Partition function (log Z): -3.0524532309211607

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9907652278479823
Position 767: 0.019050359280793357
Position 248: 0.007210654858477146
Position 23: 0.005101889066159495
Position 823: 0.0025554318323391706
Position 260: 0.0018132099209615053
Position 778: 0.00025492605262227046
Position 316: 0.0002539278936328905
Position 319: 0.00024130931907648403
Position 730: 0.00019038639252258205
Position 888: 0.00018398684564415623
Position 927: 0.00018250815882831403
Position 721: 0.00016485158596439876
Position 414: 0.00010902679125575097
Position 556: 7.679311864423938e-05
Position 219: 7.5887026401716e-05
Position 757: 6.0652347798339677e-05
Position 743: 4.614413674849029e-05
Position 919: 4.01547139385241e-05
Position 430: 3.186165683733206e-05
Position 59: 2.6989396479736454e-05
Position 894: 2.5138852791900822e-05
Position 37: 2.4951900440562294e-05
Position 229: 1.4550662629789805e-05
Position 667: 1.082661100478432e-05
Position 827: 8.082253866174323e-06
Position 508: 7.326722901837868e-06
Position 661: 6.113057257139782e-06
Position 522: 5.791311942784206e-06
Position 687: 4.78305213414936e-06
Position 25: 4.449892156445616e-06
Position 817: 2.6994854109152885e-06
Position 632: 2.353328364980933e-06
Position 652: 2.2937380248703997e-06
Position 6: 2.24341561798271e-06
Position 941: 1.7135719737441617e-06
Position 803: 1.5364281416985004e-06
Position 439: 1.5285594692674823e-06
Position 27: 1.3710455221430823e-06
Position 385: 5.095975056598317e-07
Position 484: 5.057893529470471e-07
Position 616: 3.064157461056488e-07
Position 613: 2.2264099540819158e-07
Position 169: 1.9465138333806787e-07
Position 370: 1.6838287869013665e-07
Position 121: 1.617054947536127e-07
Position 276: 1.0156764181689519e-07
Position 576: 8.347723293416173e-08
Position 101: 2.1088314033373006e-08
Position 323: 3.0965904648102574e-09
Position 124: 1.9083465671173183e-09
Position 325: 1.2449846315298074e-09
Position 391: 1.1595093113226863e-09
Position 541: 1.0171026811923104e-09
Position 82: 6.64607613688608e-10
Position 309: 2.711058203995263e-10
Position 373: 2.075849040146714e-10
Position 852: 6.217653449863819e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 309: 0.9609857897614011
Position 315: 0.029896331020841122
Position 823: 0.016095151902884765
Position 358: 0.008842534423752463
Position 111: 0.004163857803662445
Position 865: 0.0027828850647225595
Position 981: 0.0014112115602654064
Position 108: 0.0008900230725787672
Position 837: 0.000838969107142123
Position 914: 0.0007184440435306149
Position 887: 0.0006528664870569861
Position 990: 0.0003281679404589561
Position 414: 0.00016375866425697694
Position 941: 0.00013303154778206453
Position 477: 0.00011915258101197204
Position 827: 9.856699780250659e-05
Position 379: 8.038738711507937e-05
Position 576: 5.874681337964984e-05
Position 455: 5.67320180300894e-05
Position 632: 4.341778564483399e-05
Position 789: 4.165085645701562e-05
Position 152: 3.32994040726994e-05
Position 323: 2.3644200392011984e-05
Position 645: 1.9329176511959712e-05
Position 867: 1.731208931393207e-05
Position 333: 1.5506787613434047e-05
Position 124: 6.615198776222633e-06
Position 101: 5.528603857512373e-06
Position 367: 5.5029669367789535e-06
Position 786: 4.864329023194443e-06
Position 898: 4.700976608876732e-06
Position 385: 4.5780945371033925e-06
Position 452: 4.5384852238868055e-06
Position 522: 3.3348755831540987e-06
Position 573: 3.2582005240900563e-06
Position 502: 2.2211200956870872e-06
Position 766: 1.7084174732968908e-06
Position 164: 1.3390608058360703e-06
Position 117: 1.313029274355753e-06
Position 930: 1.2823241136827531e-06
Position 383: 1.263303094349655e-06
Position 59: 9.507884806068742e-07
Position 480: 9.401009566693162e-07
Position 181: 6.569685479077291e-07
Position 241: 2.402766648397308e-07
Position 219: 2.2168856348164787e-07
Position 195: 1.451853096237742e-07
Position 696: 1.0851086419548231e-07
Position 927: 6.993510379328446e-08
Position 159: 3.291619528291712e-08
Position 169: 2.9830503064324166e-08
Position 554: 1.488637940621534e-09
Position 687: 9.483910755121466e-10
Position 708: 5.03624012358531e-10
Position 492: 3.3856434753997893e-10
Position 192: 2.945494127643272e-11
Position 141: 2.726565456412097e-11
Position 256: 4.5898012234798815e-12
Position 260: 2.6935827937378208e-14
