Gene = DCTN5-p25
index = 1120
Annotated 5SS: [140 528]
Annotated 3SS: [227 584]
SMsplice 5SS: [528]
SMsplice 3SS: [584]
top_k =  1000
Partition function (log Z): -2.636844248612756

Sorted 5' Splice Sites (High to Low Probability):
Position 528: 0.9967039212453441
Position 243: 0.04787482218289674
Position 235: 0.026312696352753098
Position 144: 0.0024860296705507333
Position 503: 0.0016549042493016356
Position 31: 0.0016216070012827315
Position 442: 0.0007776891423711644
Position 13: 0.0005378493858492012
Position 131: 0.0005256580634165136
Position 780: 0.00040032392380079466
Position 36: 6.65690077114051e-05
Position 361: 5.113778092474272e-05
Position 297: 4.543423467753501e-05
Position 258: 4.041615592293982e-05
Position 363: 2.8899606085906962e-05
Position 69: 2.1839251530283996e-05
Position 501: 1.293774416194161e-05
Position 761: 1.0266590218356812e-05
Position 220: 9.790809641407033e-06
Position 713: 7.480312780231538e-06
Position 438: 6.378773164026068e-06
Position 670: 4.333452270640514e-06
Position 303: 3.819231288236967e-06
Position 265: 3.7072103726097187e-06
Position 342: 2.566109882133604e-06
Position 395: 2.542837321554655e-06
Position 381: 1.868720637706617e-06
Position 615: 1.8531150931023632e-06
Position 545: 1.3031667510374844e-06
Position 697: 1.0976324421135967e-06
Position 247: 8.883002127875044e-07
Position 471: 5.998320644067913e-07
Position 556: 5.188235305396709e-07
Position 456: 5.122578932048807e-07
Position 268: 4.409519327953904e-07
Position 474: 2.536433957569583e-07
Position 595: 1.5310591728190912e-07
Position 597: 1.1871614313916807e-07
Position 720: 1.0119332356410297e-07
Position 654: 4.323461978323699e-08
Position 450: 3.765767128380105e-08
Position 589: 2.636334528646588e-08
Position 613: 6.075009589004232e-09
Position 656: 3.2204754700295704e-09
Position 633: 9.600630143339188e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 584: 0.9995792524768105
Position 296: 0.0620180751887818
Position 308: 0.011642588603673381
Position 227: 0.004024650615320384
Position 69: 0.00042928809531518267
Position 837: 0.00042024042696987813
Position 606: 0.0002739909059467177
Position 117: 0.00024378837034076588
Position 409: 0.00019979253820067236
Position 181: 0.0001860925406047927
Position 355: 4.1785911701652094e-05
Position 661: 3.851188882217978e-05
Position 645: 2.3807495962804524e-05
Position 413: 1.9230349195305627e-05
Position 374: 1.9151074841969367e-05
Position 134: 1.5536650620969767e-05
Position 465: 1.2995935287630235e-05
Position 468: 9.392359400330052e-06
Position 737: 8.983838487030244e-06
Position 122: 3.628573101997749e-06
Position 247: 3.3274938688866907e-06
Position 471: 3.0838188360529253e-06
Position 243: 2.882798368859589e-06
Position 515: 1.343906724556734e-06
Position 761: 6.877579531281231e-07
Position 188: 6.048103463538951e-07
Position 792: 4.0300163880201395e-07
Position 784: 1.6264699423314618e-07
Position 623: 5.549803630396287e-08
Position 704: 3.400957712267073e-08
Position 190: 2.622737879123349e-08
Position 144: 2.5235954238193192e-08
Position 695: 5.435514865078066e-09
Position 310: 5.152928154949438e-09
Position 682: 4.4828981493673815e-09
Position 773: 3.450620823556898e-09
Position 743: 2.6644309521164416e-09
Position 798: 1.6791068316913088e-09
Position 532: 8.399908919224538e-10
Position 528: 7.630134556638859e-10
Position 136: 6.552545871606966e-10
Position 802: 1.2009739923689518e-10
Position 446: 4.706877661536348e-11
