Gene = Irbp18
index = 1237
Annotated 5SS: [187]
Annotated 3SS: [313]
SMsplice 5SS: [187]
SMsplice 3SS: [313]
top_k =  1000
Partition function (log Z): -7.4482915981519024

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.958381458260065
Position 360: 0.09243535698312844
Position 407: 0.030301279032420123
Position 465: 0.009514533333824224
Position 208: 0.0008087131823322952
Position 264: 0.00038782380413273184
Position 604: 0.00019384832531019444
Position 156: 0.00011852788854067268
Position 134: 8.68424846233889e-05
Position 423: 3.159241963166253e-05
Position 199: 2.152254243737806e-05
Position 191: 1.596945327425791e-05
Position 237: 1.4170370355844017e-05
Position 59: 7.404654859257475e-06
Position 251: 5.536096726607933e-06
Position 618: 4.435020955494897e-06
Position 22: 3.372305314166996e-06
Position 616: 1.320864446152759e-06
Position 243: 1.0714584407551246e-06
Position 607: 9.874352474188403e-07
Position 4: 7.738288879181448e-07
Position 102: 5.332843377250181e-07
Position 317: 3.561037493866379e-07
Position 646: 1.8740629671154113e-07
Position 629: 1.8165513930969075e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 313: 0.8245121717245698
Position 463: 0.11930632697691945
Position 447: 0.07404285008889322
Position 629: 0.0419051641520452
Position 412: 0.014755208766981293
Position 499: 0.003259695362861568
Position 261: 0.0028915216633923066
Position 406: 0.0026622752469820953
Position 591: 0.0018753815478950676
Position 322: 0.0013989238476854629
Position 277: 0.0012258990752693302
Position 518: 0.0011655584749443266
Position 673: 0.0006549915993654236
Position 337: 0.0006315850546614995
Position 384: 0.0005611407534716068
Position 689: 0.00045830206770321327
Position 418: 0.00030480003071147783
Position 264: 0.00028487847624786153
Position 532: 0.00014815801946945606
Position 364: 9.150329250111597e-05
Position 678: 7.789991199932242e-05
Position 343: 6.531219408145589e-05
Position 502: 1.701996961185436e-05
Position 699: 1.2617453751015685e-05
Position 388: 1.0513683949463799e-05
Position 215: 8.964445778500184e-06
Position 478: 3.941869714363349e-06
Position 469: 1.5571354788398946e-06
Position 449: 8.739405139184511e-07
Position 59: 6.969638334028731e-07
Position 197: 4.785057180214715e-07
Position 134: 4.6331845676422934e-07
Position 90: 2.147205359516804e-07
Position 224: 2.0961538597218652e-07
Position 110: 1.6456415559554224e-07
Position 199: 1.2311108504053597e-07
Position 548: 8.972179206980954e-08
Position 92: 8.88045300920559e-08
Position 119: 7.0253064619862e-08
Position 145: 6.478732854539003e-08
Position 72: 6.029861624984515e-08
Position 191: 1.909563712286853e-08
Position 186: 1.3913527849180958e-08
Position 217: 1.466492014473422e-09
Position 154: 8.709455779795487e-10
Position 551: 8.218130848392985e-10
Position 174: 3.477479096175757e-10
Position 170: 9.5312165719995e-11
Position 163: 5.966390329337495e-11
Position 355: 2.170286801863075e-11
Position 219: 9.661671101141602e-12
Position 423: 2.2083065649820005e-14
