Gene = Ance-2
index = 20
Annotated 5SS: [ 328 1331 1944]
Annotated 3SS: [ 383 1382 2000]
SMsplice 5SS: [ 281 1331 1944]
SMsplice 3SS: [ 383 1382 2000]
top_k =  1000
Partition function (log Z): 1.173541615421378

Sorted 5' Splice Sites (High to Low Probability):
Position 1331: 0.9939576860848018
Position 1944: 0.8722438152995329
Position 281: 0.7999328662572438
Position 1924: 0.1006064541487592
Position 328: 0.08562201738313885
Position 575: 0.031368690884719226
Position 194: 0.024061016300088226
Position 1190: 0.01874180964058001
Position 2201: 0.013155241340674511
Position 1508: 0.010767020793679942
Position 1533: 0.010523228984253738
Position 1935: 0.00978414761255067
Position 1521: 0.009292538557244842
Position 1709: 0.008280102111113396
Position 2060: 0.006381491919665928
Position 2191: 0.004999053798376987
Position 1722: 0.003882998966845463
Position 579: 0.0026755604402428483
Position 628: 0.002644492195489418
Position 2182: 0.0015027492206772643
Position 1689: 0.0014222174637793484
Position 47: 0.0013067042971813215
Position 72: 0.0007710741864554651
Position 860: 0.0005885492811436877
Position 272: 0.0004217546733686085
Position 1071: 0.0003698811161757423
Position 285: 0.00035745411469203397
Position 1607: 0.00035564450734456985
Position 297: 0.0003447612975041345
Position 299: 0.000340795284416029
Position 390: 0.00032649884742631027
Position 1625: 0.00026388300741889186
Position 807: 0.00021133152270764592
Position 902: 0.00021104750406483025
Position 608: 0.00020784551772511597
Position 1839: 0.00020065904998591155
Position 1149: 0.00018822464506489778
Position 1312: 0.00016847137473464613
Position 240: 0.00016506068962800002
Position 322: 0.00015611941541851892
Position 346: 0.00014755448438029772
Position 552: 0.00012412113935700802
Position 1176: 0.00010756812095428401
Position 229: 0.00010427443031706281
Position 1741: 9.678529452048873e-05
Position 290: 9.373116908934015e-05
Position 570: 9.135601713357066e-05
Position 1295: 9.070225807884366e-05
Position 55: 7.743090937147285e-05
Position 26: 7.21999115663519e-05
Position 1335: 5.7100193396764144e-05
Position 871: 5.477899488266371e-05
Position 1058: 5.092082566678349e-05
Position 1350: 5.067551780506094e-05
Position 242: 4.9228195150529935e-05
Position 86: 4.893421693327923e-05
Position 80: 4.862204435792106e-05
Position 1893: 4.055896720414008e-05
Position 77: 3.8073498169997e-05
Position 486: 3.3720545635732515e-05
Position 974: 3.304713723300097e-05
Position 1643: 3.0791316804188986e-05
Position 58: 3.0378040456449896e-05
Position 1487: 2.9632839506100182e-05
Position 2167: 2.8442298243981886e-05
Position 2293: 2.768345154053836e-05
Position 531: 2.5848919277237598e-05
Position 309: 2.559975089812986e-05
Position 758: 2.4616266998974643e-05
Position 708: 2.215461632027146e-05
Position 2314: 2.1798899845846955e-05
Position 83: 1.7203666100265306e-05
Position 198: 1.503353388733577e-05
Position 819: 1.3647534364169804e-05
Position 2034: 1.192563078921724e-05
Position 1768: 9.309210654116436e-06
Position 497: 8.523932256371027e-06
Position 138: 6.293298534567757e-06
Position 2100: 6.264101776916138e-06
Position 1261: 5.905676151905446e-06
Position 2064: 5.539595644257017e-06
Position 1786: 3.5785426340189684e-06
Position 2102: 3.1007631372855954e-06
Position 184: 2.98807170911099e-06
Position 760: 2.664513300741685e-06
Position 866: 2.630883566112551e-06
Position 688: 2.185134075877736e-06
Position 2017: 1.8143746381274169e-06
Position 750: 1.7860717341127662e-06
Position 1249: 1.3000198875484169e-06
Position 2025: 1.2865916735459948e-06
Position 97: 1.2756657106731962e-06
Position 1110: 1.263578793305485e-06
Position 1900: 1.1436832827743144e-06
Position 1275: 1.0450536017130026e-06
Position 1252: 9.631405169494542e-07
Position 1287: 6.858351962395487e-07
