Gene = pim
index = 1837
Annotated 5SS: [150 537]
Annotated 3SS: [212 599]
SMsplice 5SS: [150 537]
SMsplice 3SS: [212 599]
top_k =  1000
Partition function (log Z): 1.4388992077171772

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.9935693530585604
Position 537: 0.992780924205679
Position 418: 0.07647322668074698
Position 273: 0.012721042825300894
Position 413: 0.011307646911722062
Position 888: 0.001939685205780771
Position 164: 0.0018507202805839807
Position 824: 0.0015329334587492144
Position 345: 0.0010656971009408264
Position 541: 0.0006294480628649832
Position 287: 0.00045213684618243506
Position 392: 0.0002910472616555485
Position 865: 0.00022630861756641203
Position 254: 0.00014857873007506988
Position 961: 0.0001369811354879255
Position 516: 9.414993635046045e-05
Position 850: 4.861207632620921e-05
Position 181: 3.711103641162624e-05
Position 389: 2.26563802210873e-05
Position 896: 1.7609409436004405e-05
Position 868: 1.68442288341057e-05
Position 154: 1.3137185439909491e-05
Position 14: 1.1074669513529135e-05
Position 842: 1.0079505387730483e-05
Position 185: 8.500045707323922e-06
Position 348: 8.313137032127615e-06
Position 616: 5.132663832986018e-06
Position 452: 4.253959830035528e-06
Position 984: 8.71329076025429e-07
Position 175: 6.715441803504275e-07
Position 239: 6.205008809104703e-07
Position 484: 5.349257459971342e-07
Position 476: 5.195080361164936e-07
Position 473: 3.975925483683731e-07
Position 576: 2.1758853645130287e-07
Position 316: 2.0651233864919135e-07
Position 965: 1.585823891220378e-07
Position 922: 1.1964059852091582e-07
Position 940: 1.1670743956935243e-07
Position 23: 1.0864050337232802e-07
Position 212: 5.1255967840231576e-08
Position 602: 4.1629159199533066e-08
Position 179: 3.905156810392444e-08
Position 1019: 3.581243582524539e-08
Position 1022: 2.8340107711791953e-08
Position 588: 1.2653107257939646e-08
Position 585: 6.784173679985362e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 212: 0.9942325311300693
Position 599: 0.9921152865260638
Position 471: 0.08712936555602495
Position 324: 0.007810235747029244
Position 343: 0.00485349407351685
Position 952: 0.0020151547658695257
Position 883: 0.001806404112326948
Position 608: 0.0012074627197268327
Position 585: 0.001101516591047916
Position 262: 0.0006974461871782992
Position 348: 0.0004139176202507865
Position 399: 0.0003296486130527907
Position 699: 0.0002122550544018101
Position 218: 0.00019185926340694082
Position 1019: 0.00013236118343097473
Position 1022: 0.00012790153335284283
Position 887: 0.00012293436583960045
Position 716: 0.00011390033693739842
Position 373: 9.29931186164673e-05
Position 1051: 7.956297968527906e-05
Position 196: 6.90916659818088e-05
Position 932: 6.866402095865059e-05
Position 432: 6.698205202714965e-05
Position 868: 6.572378442417483e-05
Position 749: 6.451017714666407e-05
Position 1028: 6.438417731524978e-05
Position 396: 5.1863214792669404e-05
Position 961: 4.381066419278008e-05
Position 835: 4.320632092530022e-05
Position 531: 3.728391528876771e-05
Position 511: 1.5240135878184775e-05
Position 629: 1.125921073177276e-05
Position 523: 9.06716168722517e-06
Position 1041: 8.138790919756142e-06
Position 473: 4.707096850632253e-06
Position 417: 3.737167687338301e-06
Position 358: 2.549536086131228e-06
Position 641: 2.511951832099557e-06
Position 1086: 2.2319860357862103e-06
Position 610: 1.5607325968207254e-06
Position 65: 1.505061671650102e-06
Position 934: 8.549617642123096e-07
Position 239: 7.105641051124216e-07
Position 850: 6.27593951740528e-07
Position 118: 5.327154667239214e-07
Position 815: 4.458324768131619e-07
Position 767: 2.757219398638379e-07
Position 535: 1.923852493161659e-07
Position 163: 2.1250740672868514e-08
Position 413: 1.592704392808157e-08
Position 409: 1.0431517988520378e-08
Position 185: 5.3411565656981095e-09
Position 130: 3.3493500532366186e-09
Position 154: 1.2105877788114066e-10
