Gene = MFS3
index = 1267
Annotated 5SS: [ 210 3272 3625]
Annotated 3SS: [2242 3337 3691]
SMsplice 5SS: [ 210 3272 3625]
SMsplice 3SS: [2242 3337 3691]
top_k =  1000
Partition function (log Z): 3.0696913353745847

Sorted 5' Splice Sites (High to Low Probability):
Position 3272: 0.9975842543784467
Position 3625: 0.9861471846590922
Position 210: 0.41547532195100717
Position 686: 0.39837693057320844
Position 373: 0.1857892348478645
Position 2036: 0.17818573527292886
Position 305: 0.15196891542299595
Position 1742: 0.10078996323120284
Position 1796: 0.0732385041799065
Position 1946: 0.06235604035961324
Position 2607: 0.03557250876855018
Position 408: 0.021799944045069988
Position 1805: 0.0206581710402718
Position 3984: 0.01788792368663098
Position 1801: 0.014125160839674045
Position 2825: 0.012896850819594123
Position 1282: 0.012844103835705363
Position 3581: 0.009526164294511969
Position 369: 0.006729517049722577
Position 2314: 0.006393973531377685
Position 1319: 0.005963018932078779
Position 404: 0.005620854163830156
Position 3160: 0.005578953053858128
Position 521: 0.005536637868086231
Position 4094: 0.0051836901463014765
Position 2200: 0.004663866406351712
Position 309: 0.004397887822524776
Position 2043: 0.003984217000370554
Position 2098: 0.0031736625265985276
Position 540: 0.0030471355731559375
Position 412: 0.002967372720599323
Position 3120: 0.002887835700866853
Position 70: 0.002108150097703858
Position 138: 0.0019373321891957768
Position 7: 0.0019231970611025772
Position 1701: 0.0018622780686930716
Position 65: 0.001645625418896498
Position 3304: 0.0014991092271985243
Position 3058: 0.0013254294753881895
Position 596: 0.0013110428128983304
Position 360: 0.0012946897294739458
Position 3970: 0.0010930504637610891
Position 1213: 0.001001987372517811
Position 344: 0.000990620188346083
Position 820: 0.000794153569304753
Position 416: 0.000760015321260369
Position 1765: 0.0006592804636539264
Position 363: 0.0006504196150338472
Position 1750: 0.0006383662837676825
Position 418: 0.0005975319933895218
Position 3168: 0.0004437368466069472
Position 761: 0.00042694691240788475
Position 4003: 0.00041319500273372903
Position 1271: 0.000412298463451949
Position 414: 0.0004057376644600148
Position 2928: 0.00040541557280781226
Position 912: 0.00038875817589789706
Position 664: 0.0003465682381555007
Position 953: 0.00020889623953193758
Position 288: 0.00019528939468467507
Position 4001: 0.00019313382376113332
Position 2485: 0.0001832083035681178
Position 4066: 0.00016305348579815046
Position 837: 0.000155270243569051
Position 895: 0.00014094976267331873
Position 1076: 0.0001400948475004482
Position 1499: 0.00013656171305083322
Position 3276: 0.00013641470012056407
Position 1073: 0.00012840336776291831
Position 214: 0.00012799927003643232
Position 182: 0.00012215930948647943
Position 773: 0.00011938803797047162
Position 602: 0.00011124466510789574
Position 2344: 0.0001033317682077318
Position 4104: 9.572150614747857e-05
Position 4083: 9.510603060193863e-05
Position 2301: 9.08664600853682e-05
Position 905: 8.999451384171698e-05
Position 438: 8.08278431593723e-05
Position 551: 7.91682818103776e-05
Position 3601: 6.763816883591734e-05
Position 3962: 6.397260937728404e-05
Position 75: 6.076932517649091e-05
Position 367: 5.683770275628597e-05
Position 3586: 5.083037480991e-05
Position 285: 5.068430905603924e-05
Position 4043: 4.627711786464182e-05
Position 3450: 4.589722330021491e-05
Position 696: 4.4129684659946485e-05
Position 809: 3.841929232682314e-05
Position 3547: 3.629239066644373e-05
Position 4098: 3.6267388378779356e-05
Position 1060: 2.3854517842367022e-05
Position 3338: 2.178978874299221e-05
Position 1538: 1.9897550978557856e-05
Position 3847: 1.7097731534389433e-05
Position 377: 1.2092113520795498e-05
Position 875: 1.1863649267534267e-05
Position 748: 1.0272575943618571e-05
Position 420: 8.363343171092278e-06
Position 3459: 7.702624783571657e-06
Position 3: 7.631464560146293e-06
Position 241: 5.891635050957532e-06
Position 3311: 5.175671847646229e-06
Position 933: 4.7928058500781895e-06
Position 3758: 3.8874128591588e-06
Position 3463: 3.2810078487489072e-06
Position 3448: 3.074098188879542e-06
Position 3955: 3.039186911181708e-06
Position 529: 2.727302856223592e-06
Position 33: 2.576099092734779e-06
Position 507: 2.2509671946119046e-06
Position 3257: 1.8765205975774736e-06
Position 296: 1.659184082031924e-06
Position 4069: 1.6340099124219943e-06
Position 59: 1.5709602013675094e-06
Position 54: 1.314201205082575e-06
Position 3400: 1.210758810377813e-06
Position 105: 9.017443047229873e-07
Position 263: 8.210855150955991e-07
Position 3725: 7.83634034220329e-07
Position 4059: 5.256392305850603e-07
Position 80: 4.793970792688244e-07
Position 3610: 3.5615846345644717e-07
Position 498: 3.2929950880029116e-07
Position 395: 2.9160197032157584e-07
Position 3489: 2.5333030858748316e-07
Position 422: 1.921967198987646e-07
Position 217: 8.332226734092015e-08
Position 3793: 4.649613206126486e-08
Position 1453: 8.316485376320002e-09
Position 967: 7.359747582388927e-09
Position 698: 6.2515496490912005e-09
Position 3412: 4.089216806836946e-09
Position 3472: 3.4300037925193743e-09
Position 3434: 1.999995596913646e-09
Position 3734: 1.6589086711511956e-09
Position 3589: 1.4249228033736408e-09
Position 635: 1.312827559134432e-09
Position 736: 8.10965354458516e-10
Position 3504: 4.836646798809575e-10
Position 3739: 3.386149381407933e-10
Position 3404: 1.8242123918758792e-10
Position 446: 4.308617967837418e-12
Position 2611: 3.9678253158913617e-13
Position 3454: 3.0191165542660897e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 3691: 0.9960737206150267
Position 3337: 0.9934048174594267
Position 2242: 0.9772226048981183
Position 1908: 0.13379287950620217
Position 465: 0.12132197036502436
Position 967: 0.11082458204811632
Position 437: 0.10267135466539723
Position 998: 0.04597434755792219
Position 576: 0.043998072514958075
Position 1830: 0.04231334500278279
Position 3159: 0.0274007603960895
Position 3230: 0.020865756538768748
Position 1640: 0.01881587405053778
Position 4055: 0.018536829419395145
Position 3107: 0.015590039062824397
Position 404: 0.014331629246088575
Position 1107: 0.010377659499425195
Position 1040: 0.008178343271277278
Position 1555: 0.008037557614089077
Position 1097: 0.007471437704926822
Position 1529: 0.007019039696955677
Position 4165: 0.006226743568040221
Position 1169: 0.005723708330628651
Position 1507: 0.005504472360137714
Position 3156: 0.003249980381291209
Position 263: 0.003199173781626921
Position 3342: 0.003181489213931678
Position 1809: 0.003063869718022052
Position 3002: 0.0028724608181555484
Position 2909: 0.0023731463980451732
Position 1229: 0.002332502433526437
Position 1587: 0.0022664131544163886
Position 3366: 0.0020815114513518473
Position 1912: 0.0017471894363843847
Position 359: 0.0012905020418124077
Position 1741: 0.0012716228963619478
Position 1441: 0.0011865773609891484
Position 1472: 0.0010980960123814576
Position 1200: 0.0010344736149503944
Position 2946: 0.0009749182944422611
Position 1080: 0.0009286609369214255
Position 1870: 0.0008809256911181831
Position 3138: 0.000847540165712246
Position 2712: 0.000816416752583059
Position 539: 0.0007915789756244521
Position 837: 0.000789679930468905
Position 1411: 0.0007181509306637223
Position 2568: 0.0006596788647628817
Position 112: 0.0006482432990366306
Position 2964: 0.0006285591117653519
Position 3182: 0.0005526337213128225
Position 2428: 0.0004919317424199388
Position 115: 0.00048626772319991117
Position 132: 0.0004805047580927186
Position 3400: 0.00045933944637082335
Position 1485: 0.0004452227120887324
Position 758: 0.00040359223944752716
Position 138: 0.0003419300113122008
Position 1118: 0.00032882791129384286
Position 1369: 0.0002538556710179006
Position 293: 0.00024846523553086056
Position 1383: 0.00023452154947670002
Position 4069: 0.000213240055711511
Position 2781: 0.00019726743918297346
Position 1019: 0.00018102104520215976
Position 296: 0.00017907557241616728
Position 2704: 0.00016599647092855642
Position 2975: 0.00016270527068702991
Position 2356: 0.00015822632476449535
Position 809: 0.0001575354441036611
Position 4076: 0.0001224405353531358
Position 4024: 0.00011525612923426172
Position 4094: 0.00010460829186629815
Position 1708: 9.477860984963296e-05
Position 2211: 8.937185047284353e-05
Position 1241: 8.245282900735964e-05
Position 1449: 8.092927457844484e-05
Position 4181: 7.619424894910394e-05
Position 3783: 7.39999841095804e-05
Position 383: 7.213896048039039e-05
Position 4129: 7.054670815624894e-05
Position 557: 6.860297036799004e-05
Position 122: 6.037191066267252e-05
Position 161: 5.5690055510584495e-05
Position 169: 5.400598864507981e-05
Position 194: 4.4791423962481765e-05
Position 1071: 3.867028955384078e-05
Position 748: 3.601305119045517e-05
Position 198: 2.9814613415941705e-05
Position 1007: 2.7900475304740045e-05
Position 2015: 2.775254524932122e-05
Position 248: 2.694871238606706e-05
Position 2364: 2.439348922734626e-05
Position 3444: 2.3567044458131044e-05
Position 2313: 2.2923978290058843e-05
Position 2221: 1.779564397219964e-05
Position 3955: 1.7764033593520386e-05
Position 1428: 1.6117142739999506e-05
Position 1482: 1.249233215789978e-05
Position 1314: 1.100631238197224e-05
Position 4101: 5.059093477822954e-06
Position 235: 3.0060224375492497e-06
Position 337: 2.4712592586459284e-06
Position 319: 2.381104543261098e-06
Position 4001: 1.5633379795386009e-06
Position 210: 1.4971775686644291e-06
Position 4098: 1.0216053216176903e-06
Position 3790: 8.024691796869125e-07
Position 3951: 7.745429786599272e-07
Position 664: 5.480694927697442e-07
Position 696: 3.397203177714869e-07
Position 142: 3.1359298675320634e-07
Position 182: 3.0830332763056386e-07
Position 3853: 2.6384169349369327e-07
