Gene = GlyP
index = 1192
Annotated 5SS: [ 442 4155 5832]
Annotated 3SS: [3625 4224 5917]
SMsplice 5SS: [ 442 4155 5832]
SMsplice 3SS: [3625 4224 5917]
top_k =  1000
Partition function (log Z): -0.5965265032469768

Sorted 5' Splice Sites (High to Low Probability):
Position 442: 0.9969438374789006
Position 5832: 0.9847544214229268
Position 4155: 0.8303926340760664
Position 5154: 0.3512355791601503
Position 2959: 0.08782707033444162
Position 3485: 0.07284145692592828
Position 5676: 0.06632061243803905
Position 2930: 0.027298159810036776
Position 4027: 0.011975616085638015
Position 5379: 0.006961608230962738
Position 3570: 0.006330942916006101
Position 4909: 0.0037476352567671315
Position 262: 0.0030769430766709343
Position 4419: 0.0029239981510732955
Position 4816: 0.0025457149089104228
Position 5161: 0.0023408799259557883
Position 3055: 0.0020139401020219474
Position 1667: 0.0017895655928586009
Position 3102: 0.0017371857984227678
Position 4452: 0.0015308317931830898
Position 3483: 0.0013320522599731474
Position 3459: 0.0012889762191703716
Position 4159: 0.0012331849520144955
Position 3402: 0.0009147914711114741
Position 3222: 0.0007392204742455645
Position 3259: 0.0007322129864276547
Position 3265: 0.0006374714827199254
Position 5141: 0.0006077839828966023
Position 3170: 0.0005914518107295304
Position 391: 0.0005621157082379675
Position 1656: 0.0005280670028806522
Position 5855: 0.000503177156700749
Position 2272: 0.00040491562767126126
Position 2034: 0.00039276356671038844
Position 52: 0.00039058887611775813
Position 2921: 0.00037505683933221237
Position 3837: 0.0003239775274379358
Position 4097: 0.0003103085800695068
Position 1312: 0.00026731676578683675
Position 3911: 0.00026022540342907405
Position 4175: 0.00025965513177987073
Position 2737: 0.00025251721511402073
Position 811: 0.00024739279887942055
Position 3127: 0.0002381318791135544
Position 2622: 0.00023533209614413875
Position 280: 0.00022312258612083006
Position 3195: 0.00021588737659740956
Position 5171: 0.00020659420763572068
Position 6197: 0.00019854985376021152
Position 46: 0.00018216945569516694
Position 3069: 0.00018009233700776495
Position 3453: 0.00017899704013342783
Position 1071: 0.00017686560472476924
Position 5998: 0.00016444637707573175
Position 2634: 0.00016194716439106745
Position 3786: 0.00015954580785852547
Position 1783: 0.00015199943803942
Position 3445: 0.00015121782327166068
Position 244: 0.00015109353707454048
Position 2142: 0.00014730331163718068
Position 2488: 0.0001467434923207764
Position 1942: 0.00014503296793048415
Position 3789: 0.00012390199062843713
Position 3442: 0.0001220894712778338
Position 3774: 0.00011596953108073881
Position 2963: 0.00011236024303378273
Position 3489: 9.590173692713481e-05
Position 3358: 9.526368586356727e-05
Position 4150: 9.175013689429361e-05
Position 2024: 8.784382108762287e-05
Position 6171: 8.691138276752766e-05
Position 3876: 8.543030411455938e-05
Position 1954: 8.350547358977268e-05
Position 1787: 7.439168746235264e-05
Position 771: 7.221140158886567e-05
Position 6020: 7.150784653397983e-05
Position 720: 5.7791632947915586e-05
Position 3026: 4.772536970885073e-05
Position 3468: 4.6077241974214835e-05
Position 2783: 4.443547376570213e-05
Position 1419: 3.783978847016749e-05
Position 4400: 3.3700899692931774e-05
Position 5756: 3.1964919140651245e-05
Position 5607: 3.17229223509086e-05
Position 1520: 3.164352241888581e-05
Position 6135: 3.0314168466391615e-05
Position 107: 2.5803635037239265e-05
Position 6321: 2.323214454518893e-05
Position 4117: 2.2850764076276757e-05
Position 3317: 2.279480911345106e-05
Position 5479: 2.270050292709365e-05
Position 3375: 2.225699707203032e-05
Position 3295: 2.1763988109518993e-05
Position 2452: 1.815432700200674e-05
Position 6367: 1.6194506784598337e-05
Position 5667: 1.608390861168999e-05
Position 2568: 1.5868253383640473e-05
Position 58: 1.573334933625739e-05
Position 5361: 1.4022716446297412e-05
Position 6104: 1.2469113210339304e-05
Position 5792: 1.1199923174414848e-05
Position 5024: 1.1006600687245736e-05
Position 3871: 9.431454671046127e-06
Position 2449: 8.453854801778699e-06
Position 2066: 8.096032341233051e-06
Position 4352: 7.915288109245032e-06
Position 4046: 7.469249756111829e-06
Position 1323: 7.374385879775655e-06
Position 6123: 7.264786333670044e-06
Position 2539: 7.19070749277975e-06
Position 4574: 7.155054215187319e-06
Position 1759: 6.09105794714467e-06
Position 5010: 4.806780198678594e-06
Position 5536: 4.757654019682533e-06
Position 36: 4.510596778313566e-06
Position 4234: 4.492743406009596e-06
Position 6129: 3.264093226374864e-06
Position 319: 3.0385222512598817e-06
Position 1589: 3.0368709399433883e-06
Position 1274: 2.8410045046377512e-06
Position 4560: 2.8279139877886263e-06
Position 1992: 2.5803885059176755e-06
Position 483: 2.51773633533889e-06
Position 1963: 2.3787782331798667e-06
Position 446: 2.216499475488867e-06
Position 33: 1.7007937488662569e-06
Position 1241: 1.5627440101062256e-06
Position 1374: 1.5509610148278588e-06
Position 2723: 1.4348010057521396e-06
Position 4928: 1.3827463676061627e-06
Position 40: 1.2924556118136718e-06
Position 76: 1.1724590395403473e-06
Position 4567: 1.154373283512832e-06
Position 4695: 1.0908915672711238e-06
Position 6285: 1.0797344634536314e-06
Position 63: 1.0722263747273974e-06
Position 4746: 1.0221687238088359e-06
Position 1103: 9.90820261010069e-07
Position 1481: 9.61503892687357e-07
Position 1390: 8.386041985600731e-07
Position 2268: 7.406880141443295e-07
Position 4889: 6.912738854092374e-07
Position 1566: 6.734112868568583e-07
Position 4794: 6.198114523063598e-07
Position 1811: 5.956609623267649e-07
Position 1753: 5.477159549443013e-07
Position 2398: 5.123111732470449e-07
Position 4924: 4.966957656680025e-07
Position 3364: 1.6426835825930757e-07
Position 2876: 1.431130575394445e-07
Position 510: 1.3276841499925923e-07
Position 61: 5.124004837525697e-08
Position 70: 3.5869821238945826e-08
Position 334: 2.286456837868086e-08
Position 271: 9.84800260742207e-09
Position 336: 7.632303927074005e-09
Position 201: 6.412131986963418e-09
Position 90: 6.306774285008872e-09
Position 3152: 3.428348668887495e-09
Position 963: 1.6518305063677782e-09
Position 507: 1.4713272651326304e-09
Position 1055: 4.2463111471037803e-10
Position 4634: 2.745870358896115e-10
Position 4515: 2.6690531383394523e-10
Position 5331: 2.632473474267141e-10
Position 3721: 2.539143612462611e-10
Position 4330: 2.018133500720845e-10
Position 4292: 1.8217143220276746e-10
Position 4590: 1.6880651680732933e-10
Position 547: 1.6831719497067312e-10
Position 4620: 1.6404192989663329e-10
Position 3706: 1.600053003644319e-10
