Gene = Fas3
index = 1162
Annotated 5SS: [  629 63618 64079 64792]
Annotated 3SS: [63299 63736 64356 66054]
SMsplice 5SS: [  629 36374 37268 37417 63618 64079 64792]
SMsplice 3SS: [36167 36434 37322 63299 63736 64356 72623]
top_k =  1000
Partition function (log Z): -76.34550100726125

Sorted 5' Splice Sites (High to Low Probability):
Position 629: 0.6452809583896071
Position 1124: 0.5225119328424178
Position 23922: 0.23663676839993847
Position 14354: 0.08061924946132148
Position 201: 0.04000307471473932
Position 16515: 0.021588144641012882
Position 13549: 0.020415160515100346
Position 13330: 0.015120361021870211
Position 13585: 0.004179202646184381
Position 657: 0.003152437456814341
Position 203: 0.00277307802404072
Position 14045: 0.001904319904046675
Position 149: 0.001541804808765536
Position 888: 0.0014833940839693261
Position 727: 0.0010946837455161939
Position 14: 0.0008020157488093697
Position 215: 0.0007914728342003651
Position 906: 0.0006444884462361291
Position 717: 0.000599618140127604
Position 871: 0.0004086953260844267
Position 3503: 0.00033717948665044597
Position 571: 0.0003319991138954679
Position 1943: 0.00031052776627289367
Position 899: 0.00029193451067672805
Position 1099: 0.00027253116651185526
Position 2435: 0.00024270862491899693
Position 1058: 0.00024262450385249536
Position 153: 0.00021965311731340893
Position 8578: 0.00017106072059048938
Position 131: 0.00016182450238323153
Position 752: 0.00014869866243829335
Position 402: 0.000146697140223038
Position 11661: 0.00012136919176956694
Position 2053: 0.00011469791762853788
Position 88: 0.0001143282586165829
Position 290: 0.00010586711555390819
Position 412: 0.00010350668153355852
Position 442: 9.345997748627446e-05
Position 2743: 8.769496402007245e-05
Position 5018: 8.726834435681946e-05
Position 873: 7.980375407021818e-05
Position 8957: 7.326798461265653e-05
Position 384: 6.656454622464982e-05
Position 8786: 6.424327923181763e-05
Position 2397: 6.280593140503126e-05
Position 143: 6.026342856822358e-05
Position 719: 4.748212498769198e-05
Position 1036: 4.644401537369344e-05
Position 668: 4.041511003331777e-05
Position 998: 2.9755955401875535e-05
Position 113: 2.30385860217131e-05
Position 1025: 2.046371921684706e-05
Position 460: 1.962963154540712e-05
Position 876: 1.9238876010209008e-05
Position 147: 1.6712640996350096e-05
Position 864: 1.6482316026177303e-05
Position 801: 1.2709971011833066e-05
Position 913: 1.1708961788511477e-05
Position 205: 1.1646979333716973e-05
Position 389: 1.0705219601830039e-05
Position 71: 1.0583809621093561e-05
Position 543: 9.629628106848927e-06
Position 817: 8.10030583623489e-06
Position 698: 8.007377139707345e-06
Position 964: 4.778370807301281e-06
Position 59: 4.241309577554376e-06
Position 1472: 3.968449595150351e-06
Position 598: 3.5183445058064163e-06
Position 122: 3.12487063597238e-06
Position 207: 3.0725587374214435e-06
Position 1000: 2.273524607979716e-06
Position 1283: 2.208666690094455e-06
Position 1090: 2.081664187812259e-06
Position 608: 1.8773568073219641e-06
Position 1370: 1.8474997015649307e-06
Position 937: 1.7991147645195787e-06
