Gene = Tsf2
index = 1570
Annotated 5SS: [ 173  674  887 1113 1624 1852]
Annotated 3SS: [ 245  752  951 1171 1686 1917]
SMsplice 5SS: [ 173  674  887 1113 1624 1852]
SMsplice 3SS: [ 245  752  951 1171 1686 1917]
top_k =  1000
Partition function (log Z): 16.243889485315957

Sorted 5' Splice Sites (High to Low Probability):
Position 1624: 0.9994662673694059
Position 674: 0.9984928714063386
Position 1852: 0.9980171126045642
Position 173: 0.9781426115942676
Position 1113: 0.8567616442118171
Position 887: 0.8540383750549405
Position 2174: 0.11846440017888597
Position 490: 0.05737172307228699
Position 2727: 0.010199537977264167
Position 48: 0.009337314271024253
Position 2535: 0.0069067698548409195
Position 798: 0.00667398957920386
Position 371: 0.004751662993817986
Position 2310: 0.0038084398077955373
Position 1247: 0.003359967777054408
Position 2632: 0.002514409203383973
Position 2950: 0.0024779471998921513
Position 2850: 0.0020453645884796787
Position 839: 0.0018578546841243136
Position 30: 0.0017872708552540224
Position 405: 0.0016925278879911304
Position 1082: 0.0015642044631145543
Position 3229: 0.0013311238725567322
Position 1367: 0.0009128224464702905
Position 2089: 0.0007093393427406605
Position 2112: 0.000687592229184855
Position 35: 0.0006387540018704633
Position 1864: 0.0006034314534950912
Position 635: 0.0004502598629042037
Position 335: 0.00041777650236398355
Position 2119: 0.00038791996940107566
Position 830: 0.0003438159751531472
Position 2827: 0.0003154714626667646
Position 651: 0.00029234995524099466
Position 415: 0.0002892332302394997
Position 2278: 0.00024702731349779096
Position 313: 0.00022605691809618095
Position 32: 0.00021959121992474057
Position 1443: 0.0002035809086840195
Position 1778: 0.00020202748509715523
Position 42: 0.0002003493496584618
Position 77: 0.00019277162579620452
Position 177: 0.00019238605843451803
Position 2585: 0.00018266741473652831
Position 2954: 0.00017755671841885668
Position 2367: 0.00015461933821915078
Position 54: 0.00015291653959126225
Position 832: 0.00014980614558525205
Position 1461: 0.00013713413249008115
Position 620: 0.00013467477207361573
Position 2500: 0.000134593435907449
Position 2743: 0.00012990660361401234
Position 1350: 0.00012965566607530275
Position 678: 0.0001277088281097063
Position 2732: 9.604504542923495e-05
Position 2348: 6.770421139320019e-05
Position 2321: 6.234615862505447e-05
Position 284: 5.492785433809673e-05
Position 1317: 5.376712134449766e-05
Position 2307: 4.768604418090523e-05
Position 2295: 4.289668918926334e-05
Position 1117: 4.247781228790409e-05
Position 2756: 3.902800818537096e-05
Position 2091: 3.079603299060202e-05
Position 1628: 2.976456938465587e-05
Position 373: 2.3524546054550203e-05
Position 1261: 2.2306209878613176e-05
Position 37: 2.1268296102190422e-05
Position 1038: 1.734506382999911e-05
Position 2337: 1.6759926359756576e-05
Position 289: 1.3816948990788992e-05
Position 837: 1.2027510041348949e-05
Position 473: 1.1942691790291706e-05
Position 3216: 1.159945753685339e-05
Position 696: 9.709298249626711e-06
Position 957: 9.61275700051058e-06
Position 197: 8.276353473784158e-06
Position 659: 6.083307633815796e-06
Position 1644: 4.669383489500759e-06
Position 286: 3.6867319064280664e-06
Position 1245: 2.5162732724379046e-06
Position 1326: 2.1242002907778112e-06
Position 777: 1.5143380457234217e-06
Position 1740: 1.416017657462799e-06
Position 1856: 1.1761861154679992e-06
Position 1708: 9.623440779009767e-07
Position 622: 9.565286402249461e-07
Position 780: 8.995614087196635e-07
Position 1214: 8.175893273519969e-07
Position 703: 7.584853761007119e-07
Position 1220: 7.032366249262189e-07
Position 1572: 6.985927288058016e-07
Position 2122: 6.851975520283262e-07
Position 1208: 6.205652989122713e-07
Position 1488: 6.065639076028984e-07
Position 560: 3.304079950182793e-07
Position 2082: 2.884355829519635e-07
Position 2071: 2.4766081093135376e-07
Position 1617: 2.1809093770945333e-07
Position 1587: 1.4346657557883488e-07
Position 142: 1.4319749136776835e-07
Position 225: 1.3691133980814703e-07
