Gene = Skadu
index = 1503
Annotated 5SS: [94]
Annotated 3SS: [148]
SMsplice 5SS: [94]
SMsplice 3SS: [148]
top_k =  1000
Partition function (log Z): -6.802517986760568

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9903494523998162
Position 484: 0.03128928015782382
Position 323: 0.024471558067929007
Position 532: 0.02058281084646642
Position 361: 0.006879420146901408
Position 385: 0.0035875277735709366
Position 302: 0.000639392072916396
Position 215: 0.00045713934404549106
Position 98: 0.0004130086648432772
Position 541: 0.00026616488988495516
Position 389: 0.0002504394526183539
Position 58: 0.000234544214255209
Position 206: 1.6804301214242964e-05
Position 235: 6.751708679203512e-06
Position 73: 3.754873034603802e-06
Position 589: 3.069618984989793e-06
Position 266: 2.281658486373389e-06
Position 452: 2.1561259719031936e-06
Position 661: 1.558128213686418e-06
Position 416: 8.800940992430469e-07
Position 594: 8.461749307054829e-07
Position 178: 7.638779614099681e-07
Position 582: 7.38322138353625e-07
Position 227: 3.132238091690801e-07
Position 624: 1.0041036250616884e-07
Position 673: 1.5172442001961527e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 148: 0.9145212906585869
Position 198: 0.04589201539485173
Position 582: 0.04276374888056854
Position 412: 0.034514480929183126
Position 629: 0.018224807414572244
Position 445: 0.011125146436644862
Position 251: 0.007015762387499749
Position 150: 0.0012679596939663064
Position 651: 0.0009305345492384217
Position 594: 0.0006076844297477497
Position 541: 0.0004855846669683728
Position 361: 0.0003417091239711348
Position 232: 0.00020401378267567927
Position 510: 0.0001991529688113195
Position 235: 0.00018837337720583466
Position 466: 0.0001576184561439233
Position 215: 0.00015188537127905778
Position 206: 0.00014213196810845038
Position 457: 0.00014097991788417116
Position 708: 0.0001190962274527571
Position 385: 0.00010120454717631472
Position 110: 9.653239494017467e-05
Position 220: 7.374674060838206e-05
Position 532: 6.803129491512471e-05
Position 340: 5.877356305429124e-05
Position 343: 4.264181988273639e-05
Position 484: 6.7192582151025316e-06
Position 661: 5.8264076727556336e-06
Position 538: 5.698704528629768e-06
Position 481: 4.838895802249015e-06
Position 302: 1.320194091353472e-06
Position 686: 7.103258347256884e-07
Position 715: 3.517563757061678e-07
Position 683: 2.2134977237732263e-07
Position 514: 1.1957560157596752e-07
Position 293: 3.05127440408311e-08
Position 289: 2.7744822747395837e-08
Position 512: 8.967506684289136e-16
